Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,72.566459,[266  49] ; [50 65],[231.48837209  83.51162791] ; [84.51162791 30.48837209],1
d3,1,0.0,36.875861,[259  57] ; [61 54],[234.61716937  81.38283063] ; [85.38283063 29.61716937],1
a2,1,0.0,29.644883,[127 191] ; [ 14 101],[103.55196305 214.44803695] ; [37.44803695 77.55196305],1
u1,1,2e-06,22.96141,[ 92 226] ; [  8 107],[ 73.44110855 244.55889145] ; [26.55889145 88.44110855],1
b5,1,3e-06,21.586484,[209 109] ; [47 68],[188.00923788 129.99076212] ; [67.99076212 47.00923788],1
v4,1,0.009557,6.715722,[304   9] ; [105  10],[299.10514019  13.89485981] ; [109.89485981   5.10514019],0
p4,1,0.024808,5.037225,[242  75] ; [74 39],[232.95813953  84.04186047] ; [83.04186047 29.95813953],0
u3,1,0.027404,4.865174,[37 19] ; [ 9 14],[32.60759494 23.39240506] ; [13.39240506  9.60759494],0
r1,1,0.029749,4.723754,[277  37] ; [92 23],[270.08391608  43.91608392] ; [98.91608392 16.08391608],0
b2,1,0.030563,4.677359,[ 78 123] ; [39 34],[ 85.82846715 115.17153285] ; [31.17153285 41.82846715],0
b3,1,0.030563,4.677359,[ 78 123] ; [39 34],[ 85.82846715 115.17153285] ; [31.17153285 41.82846715],0
r4,1,0.08401,2.985555,[300  18] ; [103  12],[295.96766744  22.03233256] ; [107.03233256   7.96766744],0
a8,1,0.161888,1.956504,[ 52 227] ; [14 96],[ 47.33676093 231.66323907] ; [18.66323907 91.33676093],0
s5,1,0.163249,1.94387,[124 185] ; [53 58],[130.22142857 178.77857143] ; [46.77857143 64.22142857],0
d1,1,0.168063,1.900135,[224  94] ; [73 42],[218.12009238  99.87990762] ; [78.87990762 36.12009238],0
b4,1,0.169245,1.889617,[184 134] ; [58 57],[177.72748268 140.27251732] ; [64.27251732 50.72748268],0
b1,1,0.177112,1.821691,[129 189] ; [55 60],[135.13163972 182.86836028] ; [48.86836028 66.13163972],0
s6,1,0.195407,1.676375,[226  83] ; [74 37],[220.71428571  88.28571429] ; [79.28571429 31.71428571],0
p12,1,0.195941,1.672374,[ 33 285] ; [  7 105],[ 29.58139535 288.41860465] ; [ 10.41860465 101.58139535],0
v3,1,0.207373,1.589673,[128 175] ; [56 58],[133.69784173 169.30215827] ; [50.30215827 63.69784173],0
p10,1,0.210689,1.566685,[283  34] ; [95 17],[279.31468531  37.68531469] ; [98.68531469 13.31468531],0
v1,1,0.21324,1.549292,[190 123] ; [61 52],[184.42018779 128.57981221] ; [66.57981221 46.42018779],0
p9,1,0.229296,1.445223,[287  29] ; [99 15],[283.66511628  32.33488372] ; [102.33488372  11.66511628],0
s8,1,0.242678,1.364971,[159 155] ; [65 49],[164.3364486 149.6635514] ; [59.6635514 54.3364486],0
p2,1,0.24466,1.35354,[292  25] ; [100  13],[288.98604651  28.01395349] ; [103.01395349   9.98604651],0
v2,1,0.256288,1.288696,[195 110] ; [66 48],[189.98806683 115.01193317] ; [71.01193317 42.98806683],0
r2,1,0.286531,1.135849,[298  14] ; [105   8],[295.84941176  16.15058824] ; [107.15058824   5.84941176],0
n1,1,0.312626,1.019549,[17 37] ; [10 13],[18.93506494 35.06493506] ; [ 8.06493506 14.93506494],0
r3,1,0.321877,0.981303,[305  10] ; [109   6],[303.27906977  11.72093023] ; [110.72093023   4.27906977],0
u4,1,0.332755,0.938145,[  6 311] ; [  4 111],[  7.33796296 309.66203704] ; [  2.66203704 112.33796296],0
u2,1,0.351433,0.868275,[32 24] ; [10 12],[30.15384615 25.84615385] ; [11.84615385 10.15384615],0
s4,1,0.391539,0.734158,[ 49 264] ; [22 93],[ 51.9228972 261.0771028] ; [19.0771028 95.9228972],0
p1,1,0.411274,0.675115,[ 30 286] ; [  8 107],[ 27.86078886 288.13921114] ; [ 10.13921114 104.86078886],0
n3,1,0.422054,0.644588,[44 11] ; [21  3],[45.25316456  9.74683544] ; [19.74683544  4.25316456],0
d4,1,0.44716,0.57784,[271  45] ; [101  13],[273.37674419  42.62325581] ; [98.62325581 15.37674419],0
p3,1,0.495125,0.465369,[200 117] ; [76 38],[202.99767981 114.00232019] ; [73.00232019 40.99767981],0
n5,1,0.514543,0.424818,[245  70] ; [92 22],[247.44755245  67.55244755] ; [89.55244755 24.44755245],0
a4,1,0.534812,0.38524,[172 145] ; [58 56],[169.16473318 147.83526682] ; [60.83526682 53.16473318],0
s7,1,0.547441,0.361922,[168 134] ; [66 46],[170.69565217 131.30434783] ; [63.30434783 48.69565217],0
a3,1,0.57907,0.30774,[261  56] ; [92 23],[259.03009259  57.96990741] ; [93.96990741 21.03009259],0
p11,1,0.58106,0.304523,[261  57] ; [97 18],[262.91916859  55.08083141] ; [95.08083141 19.91916859],0
n6,1,0.640979,0.217464,[272  41] ; [101  13],[273.41686183  39.58313817] ; [99.58313817 14.41686183],0
d5,1,0.664307,0.188334,[275  41] ; [101  13],[276.31627907  39.68372093] ; [99.68372093 14.31627907],0
n4,1,0.715304,0.133036,[258  59] ; [91 23],[256.68909513  60.31090487] ; [92.31090487 21.68909513],0
s1,1,0.736119,0.113567,[  9 304] ; [  4 110],[  9.529274 303.470726] ; [  3.470726 110.529274],0
p8,1,0.757781,0.095108,[218  96] ; [76 36],[216.70422535  97.29577465] ; [77.29577465 34.70422535],0
s2,1,0.76186,0.091833,[169 145] ; [60 55],[167.61305361 146.38694639] ; [61.38694639 53.61305361],0
a1,1,0.80311,0.062163,[ 20 298] ; [  8 107],[ 20.56351039 297.43648961] ; [  7.43648961 107.56351039],0
d2,1,0.808252,0.058895,[180 136] ; [64 51],[178.89559165 137.10440835] ; [65.10440835 49.89559165],0
s3,1,0.84889,0.036303,[179 131] ; [67 47],[179.85849057 130.14150943] ; [66.14150943 47.85849057],0
n2,1,0.896234,0.01701,[42 13] ; [18  6],[41.7721519 13.2278481] ; [18.2278481  5.7721519],0
p6,1,0.901771,0.015234,[154 164] ; [53 58],[153.44055944 164.55944056] ; [53.55944056 57.44055944],0
p5,1,0.981292,0.00055,[ 47 269] ; [17 98],[ 46.92343387 269.07656613] ; [17.07656613 97.92343387],0
