Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.578192,[29  3] ; [15 36],[16.96385542 15.03614458] ; [27.03614458 23.96385542],1
s6,1,0.002545,9.108263,[16 16] ; [43 10],[22.21176471  9.78823529] ; [36.78823529 16.21176471],0
d4,1,0.015389,5.871412,[30  2] ; [39 15],[25.6744186  6.3255814] ; [43.3255814 10.6744186],0
b4,1,0.035111,4.439761,[25  7] ; [30 24],[20.46511628 11.53488372] ; [34.53488372 19.46511628],0
a3,1,0.049641,3.853546,[24  8] ; [29 25],[19.72093023 12.27906977] ; [33.27906977 20.72093023],0
n3,1,0.073638,3.2,[1 3] ; [9 3],[2.5 1.5] ; [7.5 4.5],0
d1,1,0.073649,3.199757,[25  7] ; [32 22],[21.20930233 10.79069767] ; [35.79069767 18.20930233],0
v1,1,0.082134,3.022156,[21 11] ; [23 27],[17.17073171 14.82926829] ; [26.82926829 23.17073171],0
a5,1,0.103309,2.653708,[27  5] ; [37 17],[23.81395349  8.18604651] ; [40.18604651 13.81395349],0
p5,1,0.109301,2.564293,[ 3 29] ; [ 1 53],[ 1.48837209 30.51162791] ; [ 2.51162791 51.48837209],0
b1,1,0.124684,2.357479,[10 22] ; [26 28],[13.39534884 18.60465116] ; [22.60465116 31.39534884],0
s4,1,0.129117,2.303091,[ 3 29] ; [12 42],[ 5.58139535 26.41860465] ; [ 9.41860465 44.58139535],0
d3,1,0.138755,2.191711,[24  8] ; [32 22],[20.8372093 11.1627907] ; [35.1627907 18.8372093],0
r1,1,0.170549,1.878111,[29  3] ; [42 11],[26.72941176  5.27058824] ; [44.27058824  8.72941176],0
a8,1,0.170762,1.876238,[ 7 23] ; [ 6 45],[ 4.81481481 25.18518519] ; [ 8.18518519 42.81481481],0
a6,1,0.179703,1.800077,[23  9] ; [31 23],[20.09302326 11.90697674] ; [33.90697674 20.09302326],0
a2,1,0.240706,1.376455,[ 8 24] ; [ 8 46],[ 5.95348837 26.04651163] ; [10.04651163 43.95348837],0
p9,1,0.252541,1.30919,[29  3] ; [44 10],[27.1627907  4.8372093] ; [45.8372093  8.1627907],0
s1,1,0.254539,1.298217,[ 2 28] ; [ 1 53],[ 1.07142857 28.92857143] ; [ 1.92857143 52.07142857],0
v4,1,0.280431,1.164998,[31  1] ; [49  5],[29.76744186  2.23255814] ; [50.23255814  3.76744186],0
a4,1,0.283839,1.148617,[15 17] ; [19 35],[12.65116279 19.34883721] ; [21.34883721 32.65116279],0
d5,1,0.345537,0.88978,[29  3] ; [45  9],[27.53488372  4.46511628] ; [46.46511628  7.53488372],0
n1,1,0.350201,0.872727,[2 2] ; [3 9],[1.25 2.75] ; [3.75 8.25],0
a7,1,0.386126,0.751108,[25  6] ; [39 15],[23.34117647  7.65882353] ; [40.65882353 13.34117647],0
p8,1,0.419098,0.652842,[20 11] ; [30 24],[18.23529412 12.76470588] ; [31.76470588 22.23529412],0
p3,1,0.425809,0.634226,[20 12] ; [29 25],[18.23255814 13.76744186] ; [30.76744186 23.23255814],0
p4,1,0.429828,0.623287,[18 14] ; [35 19],[19.72093023 12.27906977] ; [33.27906977 20.72093023],0
p2,1,0.465333,0.533036,[29  3] ; [46  8],[27.90697674  4.09302326] ; [47.09302326  6.90697674],0
s3,1,0.493712,0.468425,[16 15] ; [32 22],[17.50588235 13.49411765] ; [30.49411765 23.50588235],0
n4,1,0.544233,0.36775,[25  7] ; [39 15],[23.81395349  8.18604651] ; [40.18604651 13.81395349],0
n2,1,0.582493,0.302222,[4 1] ; [8 4],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
r2,1,0.604904,0.267663,[30  2] ; [48  5],[29.36470588  2.63529412] ; [48.63529412  4.36470588],0
p1,1,0.604907,0.267658,[ 1 31] ; [ 3 51],[ 1.48837209 30.51162791] ; [ 2.51162791 51.48837209],0
p6,1,0.642171,0.215915,[12 20] ; [23 31],[13.02325581 18.97674419] ; [21.97674419 32.02325581],0
b5,1,0.657372,0.196732,[18 14] ; [33 21],[18.97674419 13.02325581] ; [32.02325581 21.97674419],0
n5,1,0.66479,0.187757,[22 10] ; [34 19],[21.08235294 10.91764706] ; [34.91764706 18.08235294],0
s2,1,0.697101,0.151505,[13 18] ; [25 29],[13.85882353 17.14117647] ; [24.14117647 29.85882353],0
n6,1,0.702021,0.146378,[26  6] ; [42 12],[25.30232558  6.69767442] ; [42.69767442 11.30232558],0
r3,1,0.704943,0.143381,[31  1] ; [53  1],[31.25581395  0.74418605] ; [52.74418605  1.25581395],0
b2,1,0.71763,0.130774,[ 9 11] ; [14 21],[ 8.36363636 11.63636364] ; [14.63636364 20.36363636],0
b3,1,0.71763,0.130774,[ 9 11] ; [14 21],[ 8.36363636 11.63636364] ; [14.63636364 20.36363636],0
d2,1,0.729495,0.119576,[19 13] ; [30 24],[18.23255814 13.76744186] ; [30.76744186 23.23255814],0
u1,1,0.730566,0.118593,[ 5 27] ; [ 7 47],[ 4.46511628 27.53488372] ; [ 7.53488372 46.46511628],0
p10,1,0.732501,0.116828,[27  5] ; [44 10],[26.41860465  5.58139535] ; [44.58139535  9.41860465],0
u2,1,0.766735,0.088,[4 4] ; [14 11],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
s5,1,0.862314,0.030078,[ 8 21] ; [15 36],[ 8.3375 20.6625] ; [14.6625 36.3375],0
p7,1,0.872972,0.025563,[21 10] ; [35 18],[20.66666667 10.33333333] ; [35.33333333 17.66666667],0
u3,1,0.938811,0.005893,[5 3] ; [16  9],[5.09090909 2.90909091] ; [15.90909091  9.09090909],0
p11,1,0.950455,0.003861,[28  4] ; [47  7],[27.90697674  4.09302326] ; [47.09302326  6.90697674],0
