Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,33.402353,[30  4] ; [12 38],[17. 17.] ; [25. 25.],1
d5,1,0.0,25.84653,[33  2] ; [20 30],[21.82352941 13.17647059] ; [31.17647059 18.82352941],1
d3,1,0.0,25.325268,[27  8] ; [11 39],[15.64705882 19.35294118] ; [22.35294118 27.64705882],1
d4,1,1.4e-05,18.911836,[34  1] ; [27 23],[25.11764706  9.88235294] ; [35.88235294 14.11764706],1
a4,1,3.5e-05,17.151584,[22 12] ; [10 40],[12.95238095 21.04761905] ; [19.04761905 30.95238095],1
a2,1,0.001365,10.25212,[10 25] ; [ 2 48],[ 4.94117647 30.05882353] ; [ 7.05882353 42.94117647],0
u1,1,0.005156,7.823864,[ 7 28] ; [ 1 49],[ 3.29411765 31.70588235] ; [ 4.70588235 45.29411765],0
a3,1,0.012197,6.281983,[26  9] ; [23 26],[20.41666667 14.58333333] ; [28.58333333 20.41666667],0
a5,1,0.019956,5.415742,[25 10] ; [23 27],[19.76470588 15.23529412] ; [28.23529412 21.76470588],0
n2,1,0.032818,4.555248,[ 6 13] ; [12  6],[9.24324324 9.75675676] ; [8.75675676 9.24324324],0
n3,1,0.056417,3.639706,[ 5 12] ; [10  6],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
a7,1,0.070621,3.26852,[22 13] ; [21 28],[17.91666667 17.08333333] ; [25.08333333 23.91666667],0
p6,1,0.08503,2.966029,[ 1 33] ; [ 7 42],[ 3.27710843 30.72289157] ; [ 4.72289157 44.27710843],0
s4,1,0.100336,2.700188,[ 6 29] ; [ 3 47],[ 3.70588235 31.29411765] ; [ 5.29411765 44.70588235],0
p7,1,0.114238,2.494593,[ 6 28] ; [16 32],[ 9.12195122 24.87804878] ; [12.87804878 35.12195122],0
s2,1,0.17618,1.82956,[ 6 29] ; [15 35],[ 8.64705882 26.35294118] ; [12.35294118 37.64705882],0
a8,1,0.212315,1.555568,[ 1 32] ; [ 5 43],[ 2.44444444 30.55555556] ; [ 3.55555556 44.44444444],0
s7,1,0.238428,1.389862,[ 9 23] ; [ 8 39],[ 6.88607595 25.11392405] ; [10.11392405 36.88607595],0
b2,1,0.284073,1.1475,[ 7 17] ; [13 17],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
