Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,52.633132,[131  26] ; [65 84],[100.5620915  56.4379085] ; [95.4379085 53.5620915],1
v1,1,1.8e-05,18.425143,[116  40] ; [72 71],[98.08695652 57.91304348] ; [89.91304348 53.08695652],1
n4,1,0.003875,8.341408,[143  15] ; [118  32],[133.88961039  24.11038961] ; [127.11038961  22.88961039],0
n5,1,0.007216,7.218319,[137  20] ; [113  37],[127.85016287  29.14983713] ; [122.14983713  27.85016287],0
a1,1,0.007247,7.21071,[ 16 142] ; [  4 148],[ 10.19354839 147.80645161] ; [  9.80645161 142.19354839],0
s6,1,0.015344,5.876569,[119  36] ; [132  19],[127.14052288  27.85947712] ; [123.85947712  27.14052288],0
d4,1,0.031685,4.615436,[139  18] ; [121  31],[132.10355987  24.89644013] ; [127.89644013  24.10355987],0
p5,1,0.032417,4.576321,[ 32 126] ; [ 17 133],[ 25.13636364 132.86363636] ; [ 23.86363636 126.13636364],0
p1,1,0.051638,3.787446,[ 18 139] ; [  8 143],[ 13.25324675 143.74675325] ; [ 12.74675325 138.25324675],0
d3,1,0.053446,3.729914,[114  44] ; [94 58],[106.01290323  51.98709677] ; [101.98709677  50.01290323],0
n6,1,0.054907,3.684897,[144  12] ; [129  22],[138.72312704  17.27687296] ; [134.27687296  16.72312704],0
s7,1,0.061629,3.492992,[120  29] ; [104  42],[113.13898305  35.86101695] ; [110.86101695  35.13898305],0
d5,1,0.066234,3.37398,[138  19] ; [122  30],[132.10355987  24.89644013] ; [127.89644013  24.10355987],0
p12,1,0.07493,3.171569,[ 24 133] ; [ 13 137],[ 18.9218241 138.0781759] ; [ 18.0781759 131.9218241],0
d1,1,0.094197,2.801139,[107  51] ; [89 63],[99.89677419 58.10322581] ; [96.10322581 55.89677419],0
a4,1,0.132334,2.264907,[80 78] ; [64 88],[73.39354839 84.60645161] ; [70.60645161 81.39354839],0
s5,1,0.156538,2.007354,[67 84] ; [53 93],[61.01010101 89.98989899] ; [58.98989899 87.01010101],0
p3,1,0.184645,1.759834,[97 61] ; [82 70],[91.23225806 66.76774194] ; [87.76774194 64.23225806],0
u4,1,0.221016,1.497765,[  7 151] ; [  3 149],[  5.09677419 152.90322581] ; [  4.90322581 147.09677419],0
p11,1,0.230453,1.438064,[134  24] ; [121  31],[129.96774194  28.03225806] ; [125.03225806  26.96774194],0
n2,1,0.280059,1.166803,[23  5] ; [29 12],[21.10144928  6.89855072] ; [30.89855072 10.10144928],0
a3,1,0.319773,0.989877,[129  28] ; [118  34],[125.49838188  31.50161812] ; [121.50161812  30.49838188],0
b5,1,0.327102,0.960337,[88 70] ; [93 59],[92.2516129 65.7483871] ; [88.7483871 63.2516129],0
r1,1,0.330725,0.946057,[137  20] ; [125  25],[133.98697068  23.01302932] ; [128.01302932  21.98697068],0
r4,1,0.342641,0.900525,[148  10] ; [138  14],[145.76774194  12.23225806] ; [140.23225806  11.76774194],0
p8,1,0.348997,0.877099,[96 59] ; [85 65],[91.98360656 63.01639344] ; [89.01639344 60.98360656],0
a7,1,0.357484,0.846713,[105  52] ; [109  43],[108.73139159  48.26860841] ; [105.26860841  46.73139159],0
s2,1,0.375142,0.786563,[108  48] ; [98 54],[104.33766234  51.66233766] ; [101.66233766  50.33766234],0
a5,1,0.377159,0.779943,[130  28] ; [119  33],[126.90967742  31.09032258] ; [122.09032258  29.90967742],0
v4,1,0.436236,0.606163,[149   8] ; [146   5],[150.37337662   6.62662338] ; [144.62662338   6.37337662],0
a2,1,0.475727,0.508644,[ 43 115] ; [ 36 116],[ 40.26451613 117.73548387] ; [ 38.73548387 113.26451613],0
p10,1,0.518612,0.416653,[138  18] ; [129  21],[136.11764706  19.88235294] ; [130.88235294  19.11764706],0
p7,1,0.571582,0.320042,[110  43] ; [102  46],[107.76079734  45.23920266] ; [104.23920266  43.76079734],0
s3,1,0.578101,0.309315,[107  47] ; [110  42],[109.20915033  44.79084967] ; [107.79084967  44.20915033],0
a8,1,0.593173,0.285417,[ 27 116] ; [ 30 110],[ 28.80212014 114.19787986] ; [ 28.19787986 111.80212014],0
b4,1,0.60544,0.266869,[95 63] ; [87 65],[92.76129032 65.23870968] ; [89.23870968 62.76129032],0
p9,1,0.646049,0.210917,[142  14] ; [136  16],[140.80519481  15.19480519] ; [137.19480519  14.80519481],0
r2,1,0.694638,0.154111,[148   9] ; [141   7],[148.76393443   8.23606557] ; [140.23606557   7.76393443],0
r3,1,0.709565,0.138712,[153   5] ; [146   6],[152.39354839   5.60645161] ; [146.60645161   5.39354839],0
u3,1,0.720736,0.127789,[20  9] ; [22 12],[19.33333333  9.66666667] ; [22.66666667 11.33333333],0
u2,1,0.720736,0.127789,[20  9] ; [22 12],[19.33333333  9.66666667] ; [22.66666667 11.33333333],0
s1,1,0.77298,0.08322,[  5 150] ; [  4 146],[  4.57377049 150.42622951] ; [  4.42622951 145.57377049],0
p4,1,0.776635,0.08049,[106  52] ; [99 52],[104.82200647  53.17799353] ; [100.17799353  50.82200647],0
p6,1,0.793941,0.068223,[72 84] ; [67 83],[70.8627451 85.1372549] ; [68.1372549 81.8627451],0
b1,1,0.856703,0.032606,[65 93] ; [61 91],[64.21935484 93.78064516] ; [61.78064516 90.21935484],0
p2,1,0.861787,0.030311,[136  22] ; [131  20],[136.52427184  21.47572816] ; [130.47572816  20.52427184],0
b2,1,0.874883,0.024793,[52 60] ; [49 59],[51.41818182 60.58181818] ; [49.58181818 58.41818182],0
b3,1,0.874883,0.024793,[52 60] ; [49 59],[51.41818182 60.58181818] ; [49.58181818 58.41818182],0
u1,1,0.909544,0.012908,[ 32 126] ; [ 30 122],[ 31.6 126.4] ; [ 30.4 121.6],0
d2,1,0.935435,0.006563,[87 71] ; [83 69],[86.64516129 71.35483871] ; [83.35483871 68.64516129],0
n3,1,0.944723,0.004807,[18  9] ; [27 14],[17.86764706  9.13235294] ; [27.13235294 13.86764706],0
n1,1,0.958451,0.002714,[13 14] ; [19 21],[12.89552239 14.10447761] ; [19.10447761 20.89552239],0
a6,1,0.972772,0.001165,[103  54] ; [100  52],[103.14239482  53.85760518] ; [99.85760518 52.14239482],0
