Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.1e-05,16.807427,[ 8 35] ; [146 134],[20.50154799 22.49845201] ; [133.49845201 146.50154799],1
r4,1,5.7e-05,16.208904,[37  9] ; [279  12],[43.13353116  2.86646884] ; [272.86646884  18.13353116],1
s3,1,8.3e-05,15.478619,[32 14] ; [260  28],[40.21556886  5.78443114] ; [251.78443114  36.21556886],1
s8,1,0.000265,13.302021,[15 31] ; [177 112],[26.3641791 19.6358209] ; [165.6358209 123.3641791],1
r1,1,0.00041,12.486653,[31 15] ; [253  36],[38.99701493  7.00298507] ; [245.00298507  43.99701493],1
s7,1,0.001018,10.793848,[20 24] ; [196  82],[29.51552795 14.48447205] ; [186.48447205  91.51552795],0
n6,1,0.001624,9.931891,[33 13] ; [255  32],[39.78378378  6.21621622] ; [248.21621622  38.78378378],0
r3,1,0.014542,5.971169,[42  4] ; [282   6],[44.62275449  1.37724551] ; [279.37724551   8.62275449],0
v4,1,0.021045,5.323051,[42  3] ; [286   4],[44.05970149  0.94029851] ; [283.94029851   6.05970149],0
d1,1,0.033351,4.527652,[25 21] ; [204  87],[31.25816024 14.74183976] ; [197.74183976  93.25816024],0
a2,1,0.041818,4.142553,[ 9 37] ; [101 190],[15.0148368 30.9851632] ; [ 94.9851632 196.0148368],0
a3,1,0.041843,4.141547,[28 18] ; [218  72],[33.67857143 12.32142857] ; [212.32142857  77.67857143],0
p4,1,0.056586,3.634715,[24 21] ; [196  93],[29.64071856 15.35928144] ; [190.35928144  98.64071856],0
d5,1,0.056652,3.632795,[34 12] ; [246  43],[38.44776119  7.55223881] ; [241.55223881  47.44776119],0
a5,1,0.058166,3.588918,[30 16] ; [227  64],[35.08011869 10.91988131] ; [221.91988131  69.08011869],0
p9,1,0.07592,3.150155,[37  8] ; [259  26],[40.36363636  4.63636364] ; [255.63636364  29.36363636],0
d2,1,0.079233,3.080568,[19 27] ; [159 129],[24.51497006 21.48502994] ; [153.48502994 134.51497006],0
p7,1,0.082769,3.009664,[23 20] ; [187  92],[28.04347826 14.95652174] ; [181.95652174  97.04347826],0
p5,1,0.090774,2.860597,[ 2 41] ; [ 40 249],[ 5.43975904 37.56024096] ; [ 36.56024096 252.43975904],0
a4,1,0.146496,2.108367,[17 29] ; [141 150],[21.56676558 24.43323442] ; [136.43323442 154.56676558],0
s4,1,0.167332,1.90668,[ 7 39] ; [ 70 216],[10.6686747 35.3313253] ; [ 66.3313253 219.6686747],0
v1,1,0.167588,1.904388,[20 24] ; [159 122],[24.23384615 19.76615385] ; [154.76615385 126.23384615],0
u1,1,0.189736,1.71967,[ 9 37] ; [ 84 207],[12.69436202 33.30563798] ; [ 80.30563798 210.69436202],0
n5,1,0.196029,1.671716,[32 14] ; [226  63],[35.42686567 10.57313433] ; [222.57313433  66.42686567],0
u3,1,0.229359,1.444831,[10  8] ; [50 21],[12.13483146  5.86516854] ; [47.86516854 23.13483146],0
b5,1,0.267947,1.227226,[28 18] ; [201  90],[31.25816024 14.74183976] ; [197.74183976  93.25816024],0
p6,1,0.281694,1.158897,[16 29] ; [127 161],[19.32432432 25.67567568] ; [123.67567568 164.32432432],0
b1,1,0.311796,1.023051,[20 26] ; [104 187],[16.92581602 29.07418398] ; [107.07418398 183.92581602],0
n2,1,0.344148,0.89492,[10  1] ; [44 12],[8.86567164 2.13432836] ; [45.13432836 10.86567164],0
d3,1,0.351118,0.869411,[34 12] ; [231  58],[36.3880597  9.6119403] ; [228.6119403  60.3880597],0
p8,1,0.358985,0.84144,[21 24] ; [155 132],[23.85542169 21.14457831] ; [152.14457831 134.85542169],0
p1,1,0.369377,0.805761,[ 3 42] ; [ 32 257],[ 4.71556886 40.28443114] ; [ 30.28443114 258.71556886],0
p2,1,0.43376,0.612735,[36  8] ; [251  40],[37.69552239  6.30447761] ; [249.30447761  41.69552239],0
v2,1,0.4998,0.455361,[24 20] ; [166 111],[26.04361371 17.95638629] ; [163.95638629 113.04361371],0
b2,1,0.504642,0.44516,[10 13] ; [ 61 107],[ 8.54973822 14.45026178] ; [ 62.45026178 105.54973822],0
