Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.024799,[71 18] ; [14 35],[54.81884058 34.18115942] ; [30.18115942 18.81884058],1
s8,1,1.1e-05,19.363408,[31 57] ; [ 1 48],[20.55474453 67.44525547] ; [11.44525547 37.55474453],1
s6,1,5e-05,16.460053,[49 38] ; [10 39],[37.74264706 49.25735294] ; [21.25735294 27.74264706],1
s7,1,0.000195,13.882194,[35 47] ; [ 5 41],[25.625 56.375] ; [14.375 31.625],1
r3,1,0.00035,12.781873,[72 16] ; [26 23],[62.94890511 25.05109489] ; [35.05109489 13.94890511],1
v2,1,0.000792,11.259991,[40 43] ; [ 9 39],[31.04580153 51.95419847] ; [17.95419847 30.04580153],1
r2,1,0.000819,11.197671,[83  6] ; [34 13],[76.56617647 12.43382353] ; [40.43382353  6.56617647],1
d4,1,0.00139,10.219407,[73 14] ; [29 20],[65.25 21.75] ; [36.75 12.25],0
a3,1,0.001757,9.787075,[65 22] ; [23 25],[56.71111111 30.28888889] ; [31.28888889 16.71111111],0
v4,1,0.002017,9.534132,[77 11] ; [32 17],[70.01459854 17.98540146] ; [38.98540146 10.01459854],0
d5,1,0.00241,9.207988,[71 17] ; [27 21],[63.41176471 24.58823529] ; [34.58823529 13.41176471],0
s2,1,0.002663,9.025166,[39 50] ; [ 9 40],[30.95652174 58.04347826] ; [17.04347826 31.95652174],0
a7,1,0.002796,8.935886,[67 22] ; [24 24],[59.11678832 29.88321168] ; [31.88321168 16.11678832],0
n3,1,0.005091,7.846931,[31 12] ; [ 7 13],[25.93650794 17.06349206] ; [12.06349206  7.93650794],0
d1,1,0.005861,7.592691,[49 40] ; [15 34],[41.27536232 47.72463768] ; [22.72463768 26.27536232],0
b3,1,0.007418,7.168831,[12 32] ; [15 10],[17.2173913 26.7826087] ; [ 9.7826087 15.2173913],0
b2,1,0.007418,7.168831,[12 32] ; [15 10],[17.2173913 26.7826087] ; [ 9.7826087 15.2173913],0
a5,1,0.011237,6.427463,[58 31] ; [21 28],[50.94927536 38.05072464] ; [28.05072464 20.94927536],0
s3,1,0.018893,5.511347,[44 44] ; [14 34],[37.52941176 50.47058824] ; [20.47058824 27.52941176],0
u3,1,0.021754,5.265323,[12 12] ; [ 5 21],[ 8.16 15.84] ; [ 8.84 17.16],0
a2,1,0.028814,4.778714,[23 66] ; [ 5 44],[18.05797101 70.94202899] ; [ 9.94202899 39.05797101],0
a4,1,0.035574,4.417424,[42 46] ; [14 34],[36.23529412 51.76470588] ; [19.76470588 28.23529412],0
d3,1,0.049638,3.85366,[53 35] ; [20 27],[47.58518519 40.41481481] ; [25.41481481 21.58518519],0
v1,1,0.053507,3.72801,[37 52] ; [12 36],[31.83211679 57.16788321] ; [17.16788321 30.83211679],0
p2,1,0.061015,3.509569,[47 41] ; [18 31],[41.75182482 46.24817518] ; [23.24817518 25.75182482],0
a6,1,0.149942,2.072844,[56 32] ; [25 24],[52.02919708 35.97080292] ; [28.97080292 20.02919708],0
p10,1,0.155115,2.021213,[44 42] ; [18 29],[40.09022556 45.90977444] ; [21.90977444 25.09022556],0
n2,1,0.180716,1.791729,[31 15] ; [10 10],[28.57575758 17.42424242] ; [12.42424242  7.57575758],0
u1,1,0.183718,1.767285,[12 77] ; [ 3 46],[ 9.67391304 79.32608696] ; [ 5.32608696 43.67391304],0
p1,1,0.193615,1.689894,[ 4 85] ; [ 5 44],[ 5.80434783 83.19565217] ; [ 3.19565217 45.80434783],0
s1,1,0.204521,1.609794,[ 9 79] ; [ 2 47],[ 7.06569343 80.93430657] ; [ 3.93430657 45.06569343],0
a8,1,0.239065,1.386099,[11 72] ; [ 3 43],[ 9.00775194 73.99224806] ; [ 4.99224806 41.00775194],0
u2,1,0.262676,1.254598,[11 12] ; [ 8 17],[ 9.10416667 13.89583333] ; [ 9.89583333 15.10416667],0
n1,1,0.272583,1.203704,[20 25] ; [ 6 14],[18. 27.] ; [ 8. 12.],0
n6,1,0.27778,1.177921,[51 36] ; [24 25],[47.97794118 39.02205882] ; [27.02205882 21.97794118],0
s5,1,0.317567,0.998942,[20 63] ; [ 8 40],[17.74045802 65.25954198] ; [10.25954198 37.74045802],0
a1,1,0.399309,0.710406,[ 7 82] ; [ 6 43],[ 8.38405797 80.61594203] ; [ 4.61594203 44.38405797],0
b4,1,0.40182,0.702874,[52 37] ; [25 24],[49.65942029 39.34057971] ; [27.34057971 21.65942029],0
p8,1,0.439096,0.598645,[19 68] ; [ 8 41],[17.27205882 69.72794118] ; [ 9.72794118 39.27205882],0
v3,1,0.479295,0.500467,[23 59] ; [11 38],[21.28244275 60.71755725] ; [12.71755725 36.28244275],0
p6,1,0.503231,0.448117,[17 70] ; [ 7 40],[15.58208955 71.41791045] ; [ 8.41791045 38.58208955],0
p9,1,0.533985,0.386803,[46 40] ; [21 23],[44.32307692 41.67692308] ; [22.67692308 21.32307692],0
p7,1,0.561455,0.337192,[32 53] ; [16 33],[30.44776119 54.55223881] ; [17.55223881 31.44776119],0
d2,1,0.568027,0.325994,[43 45] ; [21 27],[41.41176471 46.58823529] ; [22.58823529 25.41176471],0
b5,1,0.572796,0.318026,[57 32] ; [29 20],[55.46376812 33.53623188] ; [30.53623188 18.46376812],0
b1,1,0.60939,0.261064,[45 44] ; [27 22],[46.43478261 42.56521739] ; [25.56521739 23.43478261],0
n4,1,0.629051,0.23335,[54 34] ; [28 21],[52.67153285 35.32846715] ; [29.32846715 19.67153285],0
p5,1,0.678436,0.171892,[ 1 86] ; [ 1 48],[ 1.27941176 85.72058824] ; [ 0.72058824 48.27941176],0
n5,1,0.788243,0.072142,[50 38] ; [29 20],[50.74452555 37.25547445] ; [28.25547445 20.74452555],0
p3,1,0.811767,0.056714,[18 70] ; [ 9 39],[17.47058824 70.52941176] ; [ 9.52941176 38.47058824],0
s4,1,0.85306,0.034305,[17 72] ; [10 39],[17.41304348 71.58695652] ; [ 9.58695652 39.41304348],0
