Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.3e-05,18.974888,[16  7] ; [11 47],[ 7.66666667 15.33333333] ; [19.33333333 38.66666667],1
u2,1,0.029351,4.746923,[ 5 12] ; [21 13],[8.66666667 8.33333333] ; [17.33333333 16.66666667],0
s3,1,0.03182,4.60815,[13  9] ; [19 39],[ 8.8 13.2] ; [23.2 34.8],0
p5,1,0.032098,4.593258,[ 3 20] ; [ 1 58],[ 1.12195122 21.87804878] ; [ 2.87804878 56.12195122],0
s4,1,0.032398,4.577327,[ 8 15] ; [ 8 50],[ 4.54320988 18.45679012] ; [11.45679012 46.54320988],0
v4,1,0.035524,4.419793,[21  2] ; [40 18],[17.32098765  5.67901235] ; [43.67901235 14.32098765],0
p7,1,0.037707,4.318177,[15  7] ; [24 33],[10.86075949 11.13924051] ; [28.13924051 28.86075949],0
r3,1,0.048342,3.898067,[21  2] ; [41 17],[17.60493827  5.39506173] ; [44.39506173 13.60493827],0
a3,1,0.081393,3.036865,[ 5 18] ; [25 34],[ 8.41463415 14.58536585] ; [21.58536585 37.41463415],0
p2,1,0.095168,2.784706,[16  7] ; [29 30],[12.62195122 10.37804878] ; [32.37804878 26.62195122],0
s6,1,0.113676,2.502356,[13 10] ; [22 37],[ 9.81707317 13.18292683] ; [25.18292683 33.81707317],0
n6,1,0.13906,2.188336,[18  5] ; [36 23],[15.14634146  7.85365854] ; [38.85365854 20.14634146],0
p11,1,0.190008,1.717555,[ 8 15] ; [30 29],[10.65853659 12.34146341] ; [27.34146341 31.65853659],0
p6,1,0.20544,1.603275,[ 8 14] ; [13 45],[ 5.775 16.225] ; [15.225 42.775],0
r4,1,0.205631,1.601919,[16  7] ; [32 27],[13.46341463  9.53658537] ; [34.53658537 24.46341463],0
p8,1,0.234756,1.411813,[ 8 15] ; [13 46],[ 5.8902439 17.1097561] ; [15.1097561 43.8902439],0
n4,1,0.240096,1.380031,[15  8] ; [30 29],[12.62195122 10.37804878] ; [32.37804878 26.62195122],0
b4,1,0.265864,1.237963,[13 10] ; [41 18],[15.14634146  7.85365854] ; [38.85365854 20.14634146],0
b1,1,0.275042,1.191427,[14  9] ; [28 31],[11.7804878 11.2195122] ; [30.2195122 28.7804878],0
n3,1,0.306644,1.045074,[4 1] ; [15 12],[2.96875 2.03125] ; [16.03125 10.96875],0
p1,1,0.361811,0.831596,[ 3 20] ; [ 4 55],[ 1.96341463 21.03658537] ; [ 5.03658537 53.96341463],0
a7,1,0.376746,0.781292,[14  9] ; [29 29],[12.20987654 10.79012346] ; [30.79012346 27.20987654],0
d2,1,0.383643,0.758996,[ 6 17] ; [21 37],[ 7.66666667 15.33333333] ; [19.33333333 38.66666667],0
a8,1,0.407271,0.686754,[ 1 20] ; [ 6 49],[ 1.93421053 19.06578947] ; [ 5.06578947 49.93421053],0
p10,1,0.438662,0.599781,[ 4 19] ; [15 44],[ 5.32926829 17.67073171] ; [13.67073171 45.32926829],0
v2,1,0.458426,0.549734,[ 7 16] ; [22 34],[ 8.44303797 14.55696203] ; [20.55696203 35.44303797],0
u1,1,0.484167,0.489462,[ 1 22] ; [ 1 58],[ 0.56097561 22.43902439] ; [ 1.43902439 57.56097561],0
s2,1,0.512928,0.428089,[ 8 14] ; [17 42],[ 6.79012346 15.20987654] ; [18.20987654 40.79012346],0
d1,1,0.515994,0.421893,[ 5 18] ; [17 42],[ 6.17073171 16.82926829] ; [15.82926829 43.17073171],0
b3,1,0.517189,0.419496,[ 3 14] ; [ 9 26],[ 3.92307692 13.07692308] ; [ 8.07692308 26.92307692],0
b2,1,0.517189,0.419496,[ 3 14] ; [ 9 26],[ 3.92307692 13.07692308] ; [ 8.07692308 26.92307692],0
s1,1,0.519155,0.415571,[ 1 22] ; [ 5 54],[ 1.68292683 21.31707317] ; [ 4.31707317 54.68292683],0
u3,1,0.559905,0.339869,[ 8 10] ; [18 16],[9. 9.] ; [17. 17.],0
n1,1,0.645845,0.211178,[2 3] ; [ 8 19],[1.5625 3.4375] ; [ 8.4375 18.5625],0
d3,1,0.684686,0.164899,[ 9 14] ; [26 33],[ 9.81707317 13.18292683] ; [25.18292683 33.81707317],0
v1,1,0.69596,0.152709,[ 6 17] ; [13 46],[ 5.32926829 17.67073171] ; [13.67073171 45.32926829],0
r1,1,0.709223,0.139054,[13 10] ; [36 23],[13.74390244  9.25609756] ; [35.25609756 23.74390244],0
n5,1,0.745459,0.105387,[13 10] ; [31 28],[12.34146341 10.65853659] ; [31.65853659 27.34146341],0
s5,1,0.749519,0.101935,[ 4 18] ; [ 9 50],[ 3.5308642 18.4691358] ; [ 9.4691358 49.5308642],0
d4,1,0.797047,0.066137,[13 10] ; [34 23],[13.5125  9.4875] ; [33.4875 23.5125],0
v3,1,0.797664,0.065727,[ 7 16] ; [16 42],[ 6.5308642 16.4691358] ; [16.4691358 41.5308642],0
a1,1,0.835557,0.04309,[ 1 22] ; [ 2 57],[ 0.84146341 22.15853659] ; [ 2.15853659 56.84146341],0
a4,1,0.839868,0.040829,[ 2 21] ; [ 6 53],[ 2.24390244 20.75609756] ; [ 5.75609756 53.24390244],0
d5,1,0.851853,0.034877,[13 10] ; [32 27],[12.62195122 10.37804878] ; [32.37804878 26.62195122],0
s7,1,0.86944,0.027018,[ 6 16] ; [14 41],[ 5.71428571 16.28571429] ; [14.28571429 40.71428571],0
s8,1,0.888262,0.019741,[ 5 18] ; [12 47],[ 4.76829268 18.23170732] ; [12.23170732 46.76829268],0
a6,1,0.927562,0.008265,[10 13] ; [25 34],[ 9.81707317 13.18292683] ; [25.18292683 33.81707317],0
b5,1,0.927562,0.008265,[13 10] ; [34 25],[13.18292683  9.81707317] ; [33.81707317 25.18292683],0
r2,1,0.983385,0.000434,[17  6] ; [43 15],[17.03703704  5.96296296] ; [42.96296296 15.03703704],0
