Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.366152,[31 76] ; [20  4],[41.65648855 65.34351145] ; [ 9.34351145 14.65648855],1
s2,1,2e-06,22.497182,[23 84] ; [17  7],[32.67175573 74.32824427] ; [ 7.32824427 16.67175573],1
s7,1,0.000127,14.684789,[20 83] ; [13  9],[27.192 75.808] ; [ 5.808 16.192],1
b4,1,0.000525,12.024206,[52 55] ; [21  3],[59.6259542 47.3740458] ; [13.3740458 10.6259542],1
s4,1,0.000725,11.424193,[16 91] ; [11 13],[22.05343511 84.94656489] ; [ 4.94656489 19.05343511],1
s3,1,0.006115,7.51604,[30 74] ; [14 10],[35.75 68.25] ; [ 8.25 15.75],0
r4,1,0.012237,6.276247,[50 57] ; [18  6],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
p6,1,0.013811,6.062116,[22 81] ; [11 13],[26.76377953 76.23622047] ; [ 6.23622047 17.76377953],0
s1,1,0.014027,6.034774,[  2 105] ; [ 3 21],[  4.08396947 102.91603053] ; [ 0.91603053 23.08396947],0
a1,1,0.02827,4.811497,[  7 100] ; [ 5 19],[ 9.80152672 97.19847328] ; [ 2.19847328 21.80152672],0
p1,1,0.038592,4.278748,[ 8 99] ; [ 5 18],[10.7 96.3] ; [ 2.3 20.7],0
n6,1,0.065483,3.392756,[73 33] ; [21  3],[76.64615385 29.35384615] ; [17.35384615  6.64615385],0
p5,1,0.075252,3.164572,[  4 102] ; [ 3 20],[  5.75193798 100.24806202] ; [ 1.24806202 21.75193798],0
b5,1,0.087693,2.916212,[65 42] ; [10 14],[61.25954198 45.74045802] ; [13.74045802 10.25954198],0
n2,1,0.179912,1.798347,[24 16] ; [9 2],[25.88235294 14.11764706] ; [7.11764706 3.88235294],0
d3,1,0.188354,1.730447,[50 55] ; [15  9],[52.90697674 52.09302326] ; [12.09302326 11.90697674],0
u3,1,0.190016,1.717491,[15 37] ; [5 5],[16.77419355 35.22580645] ; [3.22580645 6.77419355],0
p12,1,0.201327,1.632723,[  3 104] ; [ 2 22],[  4.08396947 102.91603053] ; [ 0.91603053 23.08396947],0
a6,1,0.210881,1.565366,[64 43] ; [11 13],[61.25954198 45.74045802] ; [13.74045802 10.25954198],0
d4,1,0.212382,1.555115,[61 46] ; [17  7],[63.70992366 43.29007634] ; [14.29007634  9.70992366],0
r2,1,0.223325,1.482879,[74 30] ; [20  4],[76.375 27.625] ; [17.625  6.375],0
p10,1,0.257327,1.283083,[59 45] ; [16  7],[61.41732283 42.58267717] ; [13.58267717  9.41732283],0
a5,1,0.266508,1.234635,[49 58] ; [14 10],[51.45801527 55.54198473] ; [11.54198473 12.45801527],0
u2,1,0.28045,1.164906,[22 31] ; [6 4],[23.55555556 29.44444444] ; [4.44444444 5.55555556],0
a8,1,0.29789,1.083617,[12 91] ; [ 1 22],[10.62698413 92.37301587] ; [ 2.37301587 20.62698413],0
d5,1,0.299956,1.074391,[63 43] ; [17  7],[65.23076923 40.76923077] ; [14.76923077  9.23076923],0
s8,1,0.302821,1.061728,[21 86] ; [ 7 17],[22.87022901 84.12977099] ; [ 5.12977099 18.87022901],0
p3,1,0.310384,1.02904,[29 78] ; [ 9 15],[31.03816794 75.96183206] ; [ 6.96183206 17.03816794],0
p11,1,0.315197,1.008775,[64 43] ; [17  7],[66.16030534 40.83969466] ; [14.83969466  9.16030534],0
d1,1,0.353809,0.859749,[34 73] ; [10 14],[35.9389313 71.0610687] ; [ 8.0610687 15.9389313],0
d2,1,0.362088,0.83064,[38 68] ; [11 13],[39.95384615 66.04615385] ; [ 9.04615385 14.95384615],0
n5,1,0.411035,0.675806,[67 39] ; [13 11],[65.23076923 40.76923077] ; [14.76923077  9.23076923],0
r3,1,0.421272,0.646764,[81 26] ; [20  4],[82.49618321 24.50381679] ; [18.50381679  5.49618321],0
v4,1,0.4233,0.641135,[80 27] ; [19  4],[81.48461538 25.51538462] ; [17.51538462  5.48461538],0
n4,1,0.426846,0.631389,[63 44] ; [12 12],[61.25954198 45.74045802] ; [13.74045802 10.25954198],0
v2,1,0.448394,0.574707,[21 84] ; [ 6 16],[22.32283465 82.67716535] ; [ 4.67716535 17.32283465],0
n1,1,0.459489,0.547138,[13 26] ; [5 6],[14.04 24.96] ; [3.96 7.04],0
p4,1,0.46317,0.538224,[40 66] ; [11 13],[41.58461538 64.41538462] ; [ 9.41538462 14.58461538],0
p9,1,0.465061,0.533686,[68 35] ; [17  6],[69.48412698 33.51587302] ; [15.51587302  7.48412698],0
a3,1,0.485771,0.485881,[54 53] ; [14 10],[55.54198473 51.45801527] ; [12.45801527 11.54198473],0
p7,1,0.600749,0.273868,[48 56] ; [12 11],[49.13385827 54.86614173] ; [10.86614173 12.13385827],0
a4,1,0.62458,0.239483,[30 76] ; [ 8 16],[30.98461538 75.01538462] ; [ 7.01538462 16.98461538],0
v3,1,0.699861,0.148617,[19 88] ; [ 3 18],[18.390625 88.609375] ; [ 3.609375 17.390625],0
a2,1,0.773091,0.083136,[11 96] ; [ 2 22],[10.61832061 96.38167939] ; [ 2.38167939 21.61832061],0
