Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000861,11.103935,[17  6] ; [33 60],[ 9.9137931 13.0862069] ; [40.0862069 52.9137931],1
p2,1,0.00264,9.040945,[20  3] ; [50 45],[13.6440678  9.3559322] ; [56.3559322 38.6440678],0
p8,1,0.003942,8.310525,[12 11] ; [21 74],[ 6.43220339 16.56779661] ; [26.56779661 68.43220339],0
p4,1,0.008306,6.966319,[14  9] ; [29 64],[ 8.52586207 14.47413793] ; [34.47413793 58.52586207],0
r4,1,0.032803,4.556028,[21  2] ; [66 29],[16.95762712  6.04237288] ; [70.04237288 24.95762712],0
p1,1,0.042861,4.100876,[ 5 18] ; [ 7 87],[ 2.35897436 20.64102564] ; [ 9.64102564 84.35897436],0
s3,1,0.045039,4.017172,[15  8] ; [39 54],[10.70689655 12.29310345] ; [43.29310345 49.70689655],0
d3,1,0.048242,3.901551,[18  5] ; [53 42],[13.83898305  9.16101695] ; [57.16101695 37.83898305],0
s8,1,0.052985,3.744403,[ 9 14] ; [19 76],[ 5.45762712 17.54237288] ; [22.54237288 72.45762712],0
v4,1,0.057924,3.595852,[22  1] ; [74 20],[18.87179487  4.12820513] ; [77.12820513 16.87179487],0
s7,1,0.074092,3.189955,[10 10] ; [26 63],[ 6.60550459 13.39449541] ; [29.39449541 59.60550459],0
v2,1,0.080787,3.04899,[13 10] ; [34 59],[ 9.31896552 13.68103448] ; [37.68103448 55.31896552],0
v1,1,0.122394,2.38641,[12 11] ; [33 62],[ 8.77118644 14.22881356] ; [36.22881356 58.77118644],0
u2,1,0.133277,2.253913,[8 4] ; [15 21],[5.75 6.25] ; [17.25 18.75],0
r3,1,0.139969,2.178304,[21  2] ; [73 21],[18.47863248  4.52136752] ; [75.52136752 18.47863248],0
b3,1,0.159545,1.978531,[8 8] ; [19 42],[ 5.61038961 10.38961039] ; [21.38961039 39.61038961],0
b2,1,0.159545,1.978531,[8 8] ; [19 42],[ 5.61038961 10.38961039] ; [21.38961039 39.61038961],0
a5,1,0.206061,1.598887,[12 11] ; [63 32],[14.61864407  8.38135593] ; [60.38135593 34.61864407],0
p3,1,0.208841,1.579439,[10 13] ; [28 66],[ 7.47008547 15.52991453] ; [30.52991453 63.47008547],0
s6,1,0.212329,1.555473,[13 10] ; [40 55],[10.33050847 12.66949153] ; [42.66949153 52.33050847],0
n2,1,0.26424,1.246404,[5 1] ; [19 13],[3.78947368 2.21052632] ; [20.21052632 11.78947368],0
a3,1,0.264281,1.246191,[11 12] ; [57 37],[13.36752137  9.63247863] ; [54.63247863 39.36752137],0
s2,1,0.294674,1.098144,[10 13] ; [30 64],[ 7.86324786 15.13675214] ; [32.13675214 61.86324786],0
p10,1,0.314503,1.011672,[ 4 18] ; [27 67],[ 5.87931034 16.12068966] ; [25.12068966 68.87931034],0
u1,1,0.33503,0.929359,[ 5 18] ; [13 82],[ 3.50847458 19.49152542] ; [14.49152542 80.50847458],0
n6,1,0.339418,0.912628,[18  5] ; [64 30],[16.11965812  6.88034188] ; [65.88034188 28.11965812],0
a8,1,0.352992,0.862672,[ 1 20] ; [10 76],[ 2.1588785 18.8411215] ; [ 8.8411215 77.1588785],0
p5,1,0.379656,0.771815,[ 2 21] ; [ 4 91],[ 1.16949153 21.83050847] ; [ 4.83050847 90.16949153],0
n5,1,0.416937,0.658933,[15  8] ; [70 25],[16.56779661  6.43220339] ; [68.43220339 26.56779661],0
d5,1,0.416937,0.658933,[15  8] ; [70 25],[16.56779661  6.43220339] ; [68.43220339 26.56779661],0
p11,1,0.422889,0.642273,[14  9] ; [49 46],[12.27966102 10.72033898] ; [50.72033898 44.27966102],0
a1,1,0.428365,0.627253,[ 1 22] ; [ 9 86],[ 1.94915254 21.05084746] ; [ 8.05084746 86.94915254],0
n1,1,0.450644,0.569032,[3 2] ; [13 18],[2.22222222 2.77777778] ; [13.77777778 17.22222222],0
v3,1,0.497869,0.459475,[ 7 16] ; [35 57],[ 8.4 14.6] ; [33.6 58.4],0
a4,1,0.51155,0.430895,[ 7 15] ; [37 57],[ 8.34482759 13.65517241] ; [35.65517241 58.34482759],0
b5,1,0.534196,0.386403,[14  9] ; [51 44],[12.66949153 10.33050847] ; [52.33050847 42.66949153],0
d2,1,0.54427,0.367684,[10 13] ; [47 46],[11.30172414 11.69827586] ; [45.69827586 47.30172414],0
