Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,3.4e-05,17.197787,[25  3] ; [2 8],[19.89473684  8.10526316] ; [7.10526316 2.89473684],1
d3,1,0.000981,10.863605,[22  6] ; [2 8],[17.68421053 10.31578947] ; [6.31578947 3.68421053],1
a5,1,0.011332,6.4125,[21  7] ; [3 7],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
a3,1,0.011332,6.4125,[21  7] ; [3 7],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
p8,1,0.014447,5.982738,[ 2 26] ; [4 6],[ 4.42105263 23.57894737] ; [1.57894737 8.42105263],0
p12,1,0.022158,5.233361,[ 1 26] ; [3 7],[ 2.91891892 24.08108108] ; [1.08108108 8.91891892],0
d2,1,0.02708,4.885714,[17 11] ; [2 8],[14. 14.] ; [5. 5.],0
p11,1,0.043459,4.07746,[12 16] ; [8 2],[14.73684211 13.26315789] ; [5.26315789 4.73684211],0
s1,1,0.045573,3.997321,[ 2 26] ; [3 6],[ 3.78378378 24.21621622] ; [1.21621622 7.78378378],0
p1,1,0.066434,3.369004,[ 2 26] ; [3 7],[ 3.68421053 24.31578947] ; [1.31578947 8.68421053],0
a4,1,0.066838,3.359024,[15 13] ; [2 8],[12.52631579 15.47368421] ; [4.47368421 5.52631579],0
n5,1,0.094962,2.788175,[11 17] ; [7 3],[13.26315789 14.73684211] ; [4.73684211 5.26315789],0
r2,1,0.106795,2.601017,[26  1] ; [8 2],[24.81081081  2.18918919] ; [9.18918919 0.81081081],0
s7,1,0.122887,2.380133,[13 12] ; [2 7],[11.02941176 13.97058824] ; [3.97058824 5.02941176],0
p7,1,0.144308,2.13141,[ 7 21] ; [5 5],[ 8.84210526 19.15789474] ; [3.15789474 6.84210526],0
v4,1,0.151095,2.061161,[25  3] ; [7 3],[23.57894737  4.42105263] ; [8.42105263 1.57894737],0
u3,1,0.236724,1.4,[6 1] ; [4 3],[5. 2.] ; [5. 2.],0
v3,1,0.266521,1.234568,[ 8 19] ; [1 8],[ 6.75 20.25] ; [2.25 6.75],0
s5,1,0.36214,0.83046,[14 11] ; [3 5],[12.87878788 12.12121212] ; [4.12121212 3.87878788],0
r4,1,0.418796,0.65369,[23  5] ; [7 3],[22.10526316  5.89473684] ; [7.89473684 2.10526316],0
a6,1,0.427576,0.6294,[10 18] ; [5 5],[11.05263158 16.94736842] ; [3.94736842 6.05263158],0
s6,1,0.465759,0.53202,[21  6] ; [8 1],[21.75  5.25] ; [7.25 1.75],0
r1,1,0.504517,0.445421,[20  8] ; [6 4],[19.15789474  8.84210526] ; [6.84210526 3.15789474],0
p4,1,0.504517,0.445421,[ 8 20] ; [4 6],[ 8.84210526 19.15789474] ; [3.15789474 6.84210526],0
n3,1,0.516407,0.421062,[9 5] ; [4 1],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
b5,1,0.555818,0.346997,[17 11] ; [5 5],[16.21052632 11.78947368] ; [5.78947368 4.21052632],0
u2,1,0.576999,0.311111,[3 4] ; [2 5],[2.5 4.5] ; [2.5 4.5],0
b1,1,0.586682,0.295556,[14 14] ; [4 6],[13.26315789 14.73684211] ; [4.73684211 5.26315789],0
v2,1,0.587746,0.293878,[17 11] ; [4 4],[16.33333333 11.66666667] ; [4.66666667 3.33333333],0
p9,1,0.667436,0.184615,[19  7] ; [8 2],[19.5  6.5] ; [7.5 2.5],0
a7,1,0.696574,0.152061,[16 12] ; [5 5],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
r3,1,0.730731,0.118442,[24  4] ; [9 1],[24.31578947  3.68421053] ; [8.68421053 1.31578947],0
p3,1,0.7437,0.106901,[10 18] ; [3 7],[ 9.57894737 18.42105263] ; [3.42105263 6.57894737],0
p6,1,0.749543,0.101916,[ 7 21] ; [2 8],[ 6.63157895 21.36842105] ; [2.36842105 7.63157895],0
b4,1,0.84605,0.037698,[15 13] ; [5 5],[14.73684211 13.26315789] ; [5.26315789 4.73684211],0
p10,1,0.847465,0.037,[18  9] ; [7 3],[18.24324324  8.75675676] ; [6.75675676 3.24324324],0
n2,1,0.864591,0.029082,[9 5] ; [3 2],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
n4,1,0.875179,0.024675,[16 12] ; [6 4],[16.21052632 11.78947368] ; [5.78947368 4.21052632],0
s8,1,0.875179,0.024675,[12 16] ; [4 6],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
v1,1,0.875179,0.024675,[12 16] ; [4 6],[11.78947368 16.21052632] ; [4.21052632 5.78947368],0
n1,1,0.911557,0.012338,[6 8] ; [2 3],[5.89473684 8.10526316] ; [2.10526316 2.89473684],0
s2,1,0.927197,0.008349,[17 11] ; [5 3],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
s3,1,0.933362,0.006992,[16 12] ; [5 4],[15.89189189 12.10810811] ; [5.10810811 3.89189189],0
