Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.8e-05,17.543452,[80  4] ; [19 10],[73.59292035 10.40707965] ; [25.40707965  3.59292035],1
a3,1,0.000102,15.097964,[67 17] ; [12 17],[58.72566372 25.27433628] ; [20.27433628  8.72566372],1
s3,1,0.002406,9.210693,[80  4] ; [22  7],[75.82300885  8.17699115] ; [26.17699115  2.82300885],0
a2,1,0.003699,8.426061,[25 59] ; [ 1 28],[19.32743363 64.67256637] ; [ 6.67256637 22.32743363],0
a4,1,0.0043,8.152708,[49 35] ; [ 8 21],[42.37168142 41.62831858] ; [14.62831858 14.37168142],0
r3,1,0.004823,7.944473,[80  2] ; [24  5],[76.82882883  5.17117117] ; [27.17117117  1.82882883],0
s6,1,0.00677,7.332906,[78  4] ; [21  6],[74.47706422  7.52293578] ; [24.52293578  2.47706422],0
p4,1,0.016467,5.752295,[56 28] ; [12 17],[50.54867257 33.45132743] ; [17.45132743 11.54867257],0
a6,1,0.016739,5.723553,[61 23] ; [14 15],[55.75221239 28.24778761] ; [19.24778761  9.75221239],0
u1,1,0.0168,5.717108,[24 60] ; [ 2 27],[19.32743363 64.67256637] ; [ 6.67256637 22.32743363],0
a5,1,0.019427,5.462666,[63 21] ; [15 14],[57.98230088 26.01769912] ; [20.01769912  8.98230088],0
n3,1,0.049589,3.855288,[17  3] ; [7 6],[14.54545455  5.45454545] ; [9.45454545 3.54545455],0
d1,1,0.059927,3.539405,[57 27] ; [14 15],[52.77876106 31.22123894] ; [18.22123894 10.77876106],0
d3,1,0.061747,3.489821,[66 18] ; [17 11],[62.25 21.75] ; [20.75  7.25],0
r2,1,0.064438,3.419315,[82  2] ; [25  3],[80.25  3.75] ; [26.75  1.25],0
n4,1,0.070587,3.269324,[59 25] ; [15 14],[55.00884956 28.99115044] ; [18.99115044 10.00884956],0
d2,1,0.09412,2.802461,[47 37] ; [11 18],[43.11504425 40.88495575] ; [14.88495575 14.11504425],0
p7,1,0.103379,2.652632,[56 25] ; [14 13],[52.5 28.5] ; [17.5  9.5],0
p3,1,0.118058,2.442902,[46 38] ; [11 18],[42.37168142 41.62831858] ; [14.62831858 14.37168142],0
v2,1,0.173067,1.856174,[41 40] ; [10 18],[37.89908257 43.10091743] ; [13.10091743 14.89908257],0
d5,1,0.190807,1.711375,[72 12] ; [21  7],[69.75 14.25] ; [23.25  4.75],0
n2,1,0.216358,1.528365,[13  7] ; [11  2],[14.54545455  5.45454545] ; [9.45454545 3.54545455],0
p5,1,0.234899,1.410946,[ 9 75] ; [ 1 28],[ 7.43362832 76.56637168] ; [ 2.56637168 26.43362832],0
p9,1,0.251597,1.314412,[74  8] ; [23  5],[72.30909091  9.69090909] ; [24.69090909  3.30909091],0
b4,1,0.263057,1.252596,[45 39] ; [19 10],[47.57522124 36.42477876] ; [16.42477876 12.57522124],0
