Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.9e-05,18.294693,[16 26] ; [102  36],[27.53333333 14.46666667] ; [90.46666667 47.53333333],1
n4,1,7e-05,15.798002,[16 26] ; [99 39],[26.83333333 15.16666667] ; [88.16666667 49.83333333],1
p11,1,0.001237,10.434783,[21 21] ; [105  33],[29.4 12.6] ; [96.6 41.4],0
r4,1,0.004551,8.049689,[29 13] ; [121  17],[35.  7.] ; [115.  23.],0
v3,1,0.005897,7.581363,[ 7 32] ; [56 77],[14.28488372 24.71511628] ; [48.71511628 84.28488372],0
p3,1,0.007342,7.187223,[10 32] ; [65 73],[17.5 24.5] ; [57.5 80.5],0
r3,1,0.022473,5.208768,[35  6] ; [130   6],[38.22033898  2.77966102] ; [126.77966102   9.22033898],0
a4,1,0.023776,5.110914,[ 4 38] ; [ 36 102],[ 9.33333333 32.66666667] ; [ 30.66666667 107.33333333],0
a8,1,0.029393,4.744461,[ 1 40] ; [ 19 106],[ 4.93975904 36.06024096] ; [ 15.06024096 109.93975904],0
s4,1,0.035205,4.435194,[13 29] ; [ 22 114],[ 8.25842697 33.74157303] ; [ 26.74157303 109.25842697],0
u2,1,0.036617,4.368159,[19  6] ; [32 30],[14.65517241 10.34482759] ; [36.34482759 25.65517241],0
p10,1,0.045316,4.006823,[24 16] ; [102  32],[28.96551724 11.03448276] ; [97.03448276 36.96551724],0
a3,1,0.048671,3.886656,[16 26] ; [76 61],[21.58659218 20.41340782] ; [70.41340782 66.58659218],0
p5,1,0.070513,3.271046,[ 1 41] ; [ 16 120],[ 4.01123596 37.98876404] ; [ 12.98876404 123.01123596],0
p4,1,0.071046,3.258679,[16 26] ; [74 63],[21.11731844 20.88268156] ; [68.88268156 68.11731844],0
b1,1,0.075725,3.154345,[21 21] ; [48 90],[16.1 25.9] ; [52.9 85.1],0
a6,1,0.097918,2.73913,[28 14] ; [72 66],[23.33333333 18.66666667] ; [76.66666667 61.33333333],0
r2,1,0.107002,2.597954,[35  7] ; [125  11],[37.75280899  4.24719101] ; [122.24719101  13.75280899],0
a7,1,0.117392,2.451778,[27 15] ; [104  32],[30.91011236 11.08988764] ; [100.08988764  35.91011236],0
p9,1,0.132581,2.26202,[26 14] ; [103  31],[29.65517241 10.34482759] ; [99.34482759 34.65517241],0
s6,1,0.167802,1.902472,[21 20] ; [86 50],[24.78531073 16.21468927] ; [82.21468927 53.78531073],0
b2,1,0.348498,0.87892,[ 4 17] ; [22 53],[ 5.6875 15.3125] ; [20.3125 54.6875],0
b3,1,0.348498,0.87892,[ 4 17] ; [22 53],[ 5.6875 15.3125] ; [20.3125 54.6875],0
u4,1,0.369911,0.803964,[ 1 41] ; [  1 137],[ 0.46666667 41.53333333] ; [  1.53333333 136.46666667],0
p6,1,0.395873,0.720827,[15 25] ; [41 94],[12.8 27.2] ; [43.2 91.8],0
n3,1,0.406175,0.68997,[10  6] ; [23  8],[11.23404255  4.76595745] ; [21.76595745  9.23404255],0
