Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.307186,[ 7 70] ; [24 31],[18.08333333 58.91666667] ; [12.91666667 42.08333333],1
r1,1,0.000264,13.31192,[39 39] ; [46 11],[49.11111111 28.88888889] ; [35.88888889 21.11111111],1
v1,1,0.000535,11.988695,[19 57] ; [31 26],[28.57142857 47.42857143] ; [21.42857143 35.57142857],1
a5,1,0.003893,8.332841,[27 51] ; [34 23],[35.24444444 42.75555556] ; [25.75555556 31.24444444],0
a3,1,0.005293,7.776528,[34 43] ; [39 18],[41.94776119 35.05223881] ; [31.05223881 25.94776119],0
s6,1,0.019741,5.434654,[29 48] ; [32 23],[35.58333333 41.41666667] ; [25.41666667 29.58333333],0
r3,1,0.030772,4.665657,[64 14] ; [53  3],[68.10447761  9.89552239] ; [48.89552239  7.10447761],0
d5,1,0.047655,3.922129,[47 30] ; [44 13],[52.29104478 24.70895522] ; [38.70895522 18.29104478],0
r2,1,0.047881,3.91416,[63 15] ; [52  4],[66.94029851 11.05970149] ; [48.05970149  7.94029851],0
d3,1,0.075989,3.148674,[39 37] ; [38 19],[44. 32.] ; [33. 24.],0
d4,1,0.110746,2.543544,[55 23] ; [47 10],[58.93333333 19.06666667] ; [43.06666667 13.93333333],0
u1,1,0.12433,2.361914,[ 3 75] ; [ 6 51],[ 5.2 72.8] ; [ 3.8 53.2],0
p10,1,0.127069,2.327949,[44 32] ; [39 16],[48.15267176 27.84732824] ; [34.84732824 20.15267176],0
s5,1,0.130907,2.281714,[15 62] ; [17 38],[18.66666667 58.33333333] ; [13.33333333 41.66666667],0
r4,1,0.133054,2.256507,[54 24] ; [46 11],[57.77777778 20.22222222] ; [42.22222222 14.77777778],0
a2,1,0.137994,2.200192,[ 5 73] ; [ 8 49],[ 7.51111111 70.48888889] ; [ 5.48888889 51.51111111],0
v4,1,0.139535,2.183081,[65 12] ; [52  4],[67.73684211  9.26315789] ; [49.26315789  6.73684211],0
a7,1,0.145375,2.120126,[49 28] ; [43 14],[52.86567164 24.13432836] ; [39.13432836 17.86567164],0
a4,1,0.152837,2.043708,[15 63] ; [17 40],[18.48888889 59.51111111] ; [13.51111111 43.48888889],0
s7,1,0.201363,1.632462,[12 63] ; [14 42],[14.88549618 60.11450382] ; [11.11450382 44.88549618],0
p11,1,0.204114,1.612693,[45 33] ; [39 18],[48.53333333 29.46666667] ; [35.46666667 21.53333333],0
p7,1,0.235806,1.405494,[26 48] ; [25 30],[29.25581395 44.74418605] ; [21.74418605 33.25581395],0
n5,1,0.237912,1.392923,[28 50] ; [15 42],[24.84444444 53.15555556] ; [18.15555556 38.84444444],0
d1,1,0.255028,1.295547,[28 50] ; [26 31],[31.2 46.8] ; [22.8 34.2],0
u3,1,0.263071,1.252525,[24 20] ; [ 7 11],[22. 22.] ; [9. 9.],0
b4,1,0.279285,1.170565,[42 36] ; [36 21],[45.06666667 32.93333333] ; [32.93333333 24.06666667],0
b1,1,0.298129,1.082546,[30 48] ; [17 40],[27.15555556 50.84444444] ; [19.84444444 37.15555556],0
p1,1,0.298859,1.079278,[ 4 73] ; [ 1 56],[ 2.87313433 74.12686567] ; [ 2.12686567 54.87313433],0
s3,1,0.307178,1.042769,[28 50] ; [25 31],[30.85074627 47.14925373] ; [22.14925373 33.85074627],0
p2,1,0.312159,1.02152,[49 28] ; [41 16],[51.71641791 25.28358209] ; [38.28358209 18.71641791],0
s8,1,0.369164,0.806476,[14 63] ; [14 43],[16.08955224 60.91044776] ; [11.91044776 45.08955224],0
s2,1,0.370629,0.801556,[24 53] ; [22 35],[26.43283582 50.56716418] ; [19.56716418 37.43283582],0
a8,1,0.401691,0.703258,[ 2 73] ; [ 3 51],[ 2.90697674 72.09302326] ; [ 2.09302326 51.90697674],0
u2,1,0.426089,0.633461,[22 22] ; [ 7 11],[20.58064516 23.41935484] ; [8.41935484 9.58064516],0
a6,1,0.430643,0.621089,[44 34] ; [36 21],[46.22222222 31.77777778] ; [33.77777778 23.22222222],0
b5,1,0.433905,0.612348,[49 29] ; [32 25],[46.8 31.2] ; [34.2 22.8],0
p9,1,0.515264,0.423362,[52 23] ; [41 14],[53.65384615 21.34615385] ; [39.34615385 15.65384615],0
b3,1,0.535077,0.38474,[11 27] ; [ 5 18],[ 9.96721311 28.03278689] ; [ 6.03278689 16.96721311],0
b2,1,0.535077,0.38474,[11 27] ; [ 5 18],[ 9.96721311 28.03278689] ; [ 6.03278689 16.96721311],0
n6,1,0.540521,0.374576,[48 30] ; [38 19],[49.68888889 28.31111111] ; [36.31111111 20.68888889],0
d2,1,0.557497,0.344056,[27 51] ; [17 40],[25.42222222 52.57777778] ; [18.57777778 38.42222222],0
p8,1,0.64658,0.210239,[24 54] ; [19 36],[25.21804511 52.78195489] ; [17.78195489 37.21804511],0
p6,1,0.653028,0.202104,[12 64] ; [ 7 47],[11.10769231 64.89230769] ; [ 7.89230769 46.10769231],0
s4,1,0.70582,0.142488,[17 61] ; [14 43],[17.91111111 60.08888889] ; [13.08888889 43.91111111],0
n1,1,0.783131,0.075758,[ 7 26] ; [ 4 18],[ 6.6 26.4] ; [ 4.4 17.6],0
n3,1,0.800657,0.063754,[20 13] ; [12  9],[19.55555556 13.44444444] ; [12.44444444  8.55555556],0
p5,1,0.829706,0.046259,[ 1 76] ; [ 1 56],[ 1.14925373 75.85074627] ; [ 0.85074627 56.14925373],0
a1,1,0.918342,0.010511,[ 3 75] ; [ 2 55],[ 2.88888889 75.11111111] ; [ 2.11111111 54.88888889],0
p3,1,0.926904,0.008416,[13 65] ; [ 9 47],[12.80597015 65.19402985] ; [ 9.19402985 46.80597015],0
s1,1,0.934044,0.006849,[ 3 75] ; [ 2 54],[ 2.91044776 75.08955224] ; [ 2.08955224 53.91044776],0
n2,1,1.0,0.0,[21 12] ; [14  8],[21. 12.] ; [14.  8.],0
