Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000445,12.331882,[42 30] ; [40  5],[50.46153846 21.53846154] ; [31.53846154 13.46153846],1
p10,1,0.001978,9.570191,[23 47] ; [28 17],[31.04347826 38.95652174] ; [19.95652174 25.04347826],0
p4,1,0.003148,8.719694,[ 9 61] ; [16 28],[15.35087719 54.64912281] ; [ 9.64912281 34.35087719],0
s4,1,0.006437,7.423692,[ 4 67] ; [10 34],[ 8.64347826 62.35652174] ; [ 5.35652174 38.64347826],0
v3,1,0.007886,7.059137,[14 56] ; [19 25],[20.26315789 49.73684211] ; [12.73684211 31.26315789],0
p3,1,0.014039,6.033208,[13 59] ; [17 27],[18.62068966 53.37931034] ; [11.37931034 32.62068966],0
d4,1,0.016226,5.778247,[46 26] ; [38  7],[51.69230769 20.30769231] ; [32.30769231 12.69230769],0
a7,1,0.018495,5.548609,[37 35] ; [33 12],[43.07692308 28.92307692] ; [26.92307692 18.07692308],0
s5,1,0.019797,5.429685,[ 6 62] ; [11 33],[10.32142857 57.67857143] ; [ 6.67857143 37.32142857],0
p7,1,0.020288,5.386927,[12 58] ; [16 28],[17.19298246 52.80701754] ; [10.80701754 33.19298246],0
r1,1,0.024337,5.070468,[36 36] ; [32 13],[41.84615385 30.15384615] ; [26.15384615 18.84615385],0
n6,1,0.026984,4.891854,[41 30] ; [35 10],[46.51724138 24.48275862] ; [29.48275862 15.51724138],0
v1,1,0.03454,4.467751,[12 59] ; [15 29],[16.66956522 54.33043478] ; [10.33043478 33.66956522],0
s6,1,0.038123,4.299524,[17 54] ; [19 26],[22.03448276 48.96551724] ; [13.96551724 31.03448276],0
d5,1,0.041186,4.168357,[41 31] ; [34 11],[46.15384615 25.84615385] ; [28.84615385 16.15384615],0
p6,1,0.066716,3.362032,[ 5 66] ; [ 8 36],[ 8.02608696 62.97391304] ; [ 4.97391304 39.02608696],0
p11,1,0.078083,3.104363,[28 44] ; [25 20],[32.61538462 39.38461538] ; [20.38461538 24.61538462],0
p8,1,0.082643,3.012143,[11 60] ; [13 32],[14.68965517 56.31034483] ; [ 9.31034483 35.68965517],0
v4,1,0.087949,2.911526,[47 25] ; [36  9],[51.07692308 20.92307692] ; [31.92307692 13.07692308],0
r4,1,0.092454,2.831111,[40 32] ; [32 13],[44.30769231 27.69230769] ; [27.69230769 17.30769231],0
d1,1,0.106806,2.60086,[29 43] ; [25 20],[33.23076923 38.76923077] ; [20.76923077 24.23076923],0
n5,1,0.14165,2.159947,[49 22] ; [25 20],[45.29310345 25.70689655] ; [28.70689655 16.29310345],0
n1,1,0.206677,1.594549,[16 17] ; [ 4 10],[14.04255319 18.95744681] ; [5.95744681 8.04255319],0
u3,1,0.21465,1.539784,[13 19] ; [9 6],[14.9787234 17.0212766] ; [7.0212766 7.9787234],0
p9,1,0.223236,1.483445,[28 41] ; [23 21],[31.14159292 37.85840708] ; [19.85840708 24.14159292],0
s7,1,0.22533,1.470102,[12 56] ; [12 32],[14.57142857 53.42857143] ; [ 9.42857143 34.57142857],0
a5,1,0.232994,1.422492,[40 32] ; [30 15],[43.07692308 28.92307692] ; [26.92307692 18.07692308],0
a3,1,0.307105,1.043084,[40 30] ; [30 15],[42.60869565 27.39130435] ; [27.39130435 17.60869565],0
p12,1,0.311631,1.02375,[ 2 70] ; [ 3 42],[ 3.07692308 68.92307692] ; [ 1.92307692 43.07692308],0
a2,1,0.392967,0.729742,[14 58] ; [ 6 39],[12.30769231 59.69230769] ; [ 7.69230769 37.30769231],0
r2,1,0.413553,0.668562,[56 14] ; [37  6],[57.61061947 12.38938053] ; [35.38938053  7.61061947],0
p1,1,0.422917,0.642196,[ 8 64] ; [ 3 42],[ 6.76923077 65.23076923] ; [ 4.23076923 40.76923077],0
a6,1,0.456014,0.555661,[45 27] ; [25 20],[43.07692308 28.92307692] ; [26.92307692 18.07692308],0
n3,1,0.469111,0.524069,[18 13] ; [6 7],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
s8,1,0.476275,0.507381,[12 59] ; [10 35],[13.46551724 57.53448276] ; [ 8.53448276 36.46551724],0
u2,1,0.555067,0.348317,[13 19] ; [7 7],[13.91304348 18.08695652] ; [6.08695652 7.91304348],0
n4,1,0.564576,0.331843,[47 25] ; [27 18],[45.53846154 26.46153846] ; [28.46153846 16.53846154],0
a4,1,0.585959,0.296699,[26 44] ; [19 26],[27.39130435 42.60869565] ; [17.60869565 27.39130435],0
d3,1,0.619177,0.247027,[35 37] ; [24 21],[36.30769231 35.69230769] ; [22.69230769 22.30769231],0
s3,1,0.632881,0.228175,[13 57] ; [10 35],[14. 56.] ; [ 9. 36.],0
b5,1,0.638959,0.220106,[40 32] ; [23 22],[38.76923077 33.23076923] ; [24.23076923 20.76923077],0
a1,1,0.699904,0.148571,[ 8 64] ; [ 4 41],[ 7.38461538 64.61538462] ; [ 4.61538462 40.38461538],0
p5,1,0.726346,0.122493,[ 6 65] ; [ 3 42],[ 5.50862069 65.49137931] ; [ 3.49137931 41.50862069],0
u4,1,0.735126,0.114457,[ 1 71] ; [ 1 44],[ 1.23076923 70.76923077] ; [ 0.76923077 44.23076923],0
d2,1,0.739199,0.110832,[32 38] ; [22 23],[32.86956522 37.13043478] ; [21.13043478 23.86956522],0
s1,1,0.74205,0.108333,[ 6 66] ; [ 3 42],[ 5.53846154 66.46153846] ; [ 3.46153846 41.53846154],0
b4,1,0.767621,0.087313,[42 30] ; [25 20],[41.23076923 30.76923077] ; [25.76923077 19.23076923],0
u1,1,0.880562,0.022577,[ 7 65] ; [ 4 41],[ 6.76923077 65.23076923] ; [ 4.23076923 40.76923077],0
b1,1,0.906903,0.013676,[36 36] ; [22 23],[35.69230769 36.30769231] ; [22.30769231 22.69230769],0
n2,1,0.914509,0.011525,[20 14] ; [8 6],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
a8,1,0.947029,0.004414,[ 7 64] ; [ 4 35],[ 7.1 63.9] ; [ 3.9 35.1],0
b3,1,1.0,0.0,[20 30] ; [12 18],[20. 30.] ; [12. 18.],0
b2,1,1.0,0.0,[20 30] ; [12 18],[20. 30.] ; [12. 18.],0
