Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.488564,[23 36] ; [25  4],[32.18181818 26.81818182] ; [15.81818182 13.18181818],1
p5,1,0.006881,7.30388,[ 9 50] ; [12 17],[14.07954545 44.92045455] ; [ 6.92045455 22.07954545],0
p3,1,0.007546,7.138163,[27 32] ; [22  7],[32.85227273 26.14772727] ; [16.14772727 12.85227273],0
u2,1,0.00792,7.051583,[ 6 13] ; [7 1],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
p4,1,0.009244,6.774996,[29 30] ; [22  6],[34.5862069 24.4137931] ; [16.4137931 11.5862069],0
a6,1,0.024871,5.032854,[30 29] ; [22  7],[34.86363636 24.13636364] ; [17.13636364 11.86363636],0
s8,1,0.036562,4.37069,[15 43] ; [14 15],[19.33333333 38.66666667] ; [ 9.66666667 19.33333333],0
p1,1,0.044159,4.050489,[ 5 54] ; [ 7 22],[ 8.04545455 50.95454545] ; [ 3.95454545 25.04545455],0
a7,1,0.045968,3.982774,[31 28] ; [21  7],[35.26436782 23.73563218] ; [16.73563218 11.26436782],0
n1,1,0.072461,3.226364,[9 6] ; [1 5],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
u3,1,0.094264,2.8,[ 8 12] ; [6 2],[10. 10.] ; [4. 4.],0
p6,1,0.107798,2.586207,[16 42] ; [13 16],[19.33333333 38.66666667] ; [ 9.66666667 19.33333333],0
p8,1,0.128228,2.31383,[28 30] ; [19 10],[31.33333333 26.66666667] ; [15.66666667 13.33333333],0
p12,1,0.135286,2.230769,[ 4 54] ; [ 5 24],[ 6. 52.] ; [ 3. 26.],0
d3,1,0.135555,2.227708,[33 26] ; [21  8],[36.20454545 22.79545455] ; [17.79545455 11.20454545],0
p7,1,0.154162,2.030577,[38 21] ; [23  6],[40.89772727 18.10227273] ; [20.10227273  8.89772727],0
d4,1,0.186905,1.741843,[51  8] ; [21  7],[48.82758621 10.17241379] ; [23.17241379  4.82758621],0
p9,1,0.198991,1.649768,[43 15] ; [25  4],[45.33333333 12.66666667] ; [22.66666667  6.33333333],0
s7,1,0.199084,1.649085,[16 41] ; [11 15],[18.54216867 38.45783133] ; [ 8.45783133 17.54216867],0
p10,1,0.202936,1.621116,[46 13] ; [25  3],[48.14942529 10.85057471] ; [22.85057471  5.14942529],0
r4,1,0.265141,1.241713,[50  9] ; [27  2],[51.625  7.375] ; [25.375  3.625],0
s3,1,0.302284,1.06409,[11 47] ; [ 3 26],[ 9.33333333 48.66666667] ; [ 4.66666667 24.33333333],0
s4,1,0.350719,0.870853,[ 8 51] ; [ 6 22],[ 9.49425287 49.50574713] ; [ 4.50574713 23.49425287],0
a1,1,0.357475,0.846745,[ 3 56] ; [ 3 26],[ 4.02272727 54.97727273] ; [ 1.97727273 27.02272727],0
v1,1,0.363899,0.824391,[23 35] ; [14 14],[24.95348837 33.04651163] ; [12.04651163 15.95348837],0
d2,1,0.412785,0.670766,[35 24] ; [14 14],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
a4,1,0.485691,0.486059,[27 32] ; [11 18],[25.47727273 33.52272727] ; [12.52272727 16.47727273],0
b5,1,0.496975,0.46139,[22 37] ; [13 16],[23.46590909 35.53409091] ; [11.53409091 17.46590909],0
n4,1,0.512677,0.428599,[43 16] ; [23  6],[44.25 14.75] ; [21.75  7.25],0
a5,1,0.512677,0.428599,[43 16] ; [23  6],[44.25 14.75] ; [21.75  7.25],0
u1,1,0.523883,0.406242,[ 9 50] ; [ 6 23],[10.05681818 48.94318182] ; [ 4.94318182 24.05681818],0
r1,1,0.528165,0.397921,[50  9] ; [26  3],[50.95454545  8.04545455] ; [25.04545455  3.95454545],0
a8,1,0.572274,0.318893,[10 47] ; [ 3 21],[ 9.14814815 47.85185185] ; [ 3.85185185 20.14814815],0
s6,1,0.593588,0.284775,[38 18] ; [18 11],[36.89411765 19.10588235] ; [19.10588235  9.89411765],0
n2,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
a3,1,0.623005,0.241667,[39 19] ; [21  8],[40. 18.] ; [20.  9.],0
n5,1,0.643418,0.2143,[42 17] ; [22  7],[42.90909091 16.09090909] ; [21.09090909  7.90909091],0
r3,1,0.648087,0.208321,[53  6] ; [26  2],[53.57471264  5.42528736] ; [25.42528736  2.57471264],0
