Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.031218,4.640955,[1 2] ; [10  1],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
p8,1,0.0994,2.715152,[1 2] ; [9 2],[2.14285714 0.85714286] ; [7.85714286 3.14285714],0
p11,1,0.20686,1.593266,[1 2] ; [8 3],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
u1,1,0.287495,1.131313,[1 2] ; [ 1 10],[0.42857143 2.57142857] ; [1.57142857 9.42857143],0
a2,1,0.287495,1.131313,[1 2] ; [ 1 10],[0.42857143 2.57142857] ; [1.57142857 9.42857143],0
r2,1,0.325892,0.965152,[1 1] ; [9 2],[1.53846154 0.46153846] ; [8.46153846 2.53846154],0
s8,1,0.347153,0.883838,[2 1] ; [4 7],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
d4,1,0.347153,0.883838,[1 2] ; [7 4],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
s3,1,0.416448,0.660317,[2 1] ; [4 6],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
d1,1,0.514828,0.424242,[1 2] ; [6 5],[1.5 1.5] ; [5.5 5.5],0
b4,1,0.514828,0.424242,[2 1] ; [5 6],[1.5 1.5] ; [5.5 5.5],0
n6,1,0.57077,0.321396,[2 1] ; [9 2],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
n1,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
r1,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
s4,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
r4,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
a4,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
v1,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
d2,1,0.706879,0.141414,[1 2] ; [5 6],[1.28571429 1.71428571] ; [4.71428571 6.28571429],0
v2,1,0.706879,0.141414,[2 1] ; [6 5],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
a5,1,0.836813,0.042424,[2 1] ; [8 3],[2.14285714 0.85714286] ; [7.85714286 3.14285714],0
d5,1,0.836813,0.042424,[2 1] ; [8 3],[2.14285714 0.85714286] ; [7.85714286 3.14285714],0
p4,1,0.836813,0.042424,[2 1] ; [8 3],[2.14285714 0.85714286] ; [7.85714286 3.14285714],0
p7,1,0.912637,0.012037,[2 1] ; [7 3],[2.07692308 0.92307692] ; [6.92307692 3.07692308],0
p3,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
b1,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
s2,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
d3,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
a7,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
a3,1,0.92265,0.009428,[2 1] ; [7 4],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
v3,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
