Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000148,14.393026,[ 7 40] ; [14 10],[13.90140845 33.09859155] ; [ 7.09859155 16.90140845],1
p7,1,0.000287,13.154937,[15 30] ; [19  5],[22.17391304 22.82608696] ; [11.82608696 12.17391304],1
p11,1,0.005145,7.82777,[18 30] ; [18  7],[23.67123288 24.32876712] ; [12.32876712 12.67123288],0
p4,1,0.010341,6.575133,[ 9 38] ; [12 13],[13.70833333 33.29166667] ; [ 7.29166667 17.70833333],0
p10,1,0.021365,5.296764,[20 26] ; [18  7],[24.61971831 21.38028169] ; [13.38028169 11.61971831],0
s7,1,0.023043,5.165226,[ 8 37] ; [10 13],[11.91176471 33.08823529] ; [ 6.08823529 16.91176471],0
d5,1,0.033037,4.543881,[22 26] ; [18  7],[26.30136986 21.69863014] ; [13.69863014 11.30136986],0
p3,1,0.035819,4.405681,[ 7 41] ; [ 9 16],[10.52054795 37.47945205] ; [ 5.47945205 19.52054795],0
p2,1,0.044341,4.043525,[27 21] ; [20  5],[30.90410959 17.09589041] ; [16.09589041  8.90410959],0
s8,1,0.063659,3.439384,[ 8 40] ; [ 9 16],[11.17808219 36.82191781] ; [ 5.82191781 19.17808219],0
a7,1,0.100549,2.696807,[21 27] ; [16  9],[24.32876712 23.67123288] ; [12.67123288 12.32876712],0
r3,1,0.115089,2.482918,[32 16] ; [21  4],[34.84931507 13.15068493] ; [18.15068493  6.84931507],0
a4,1,0.118269,2.440093,[ 8 40] ; [ 1 24],[ 5.91780822 42.08219178] ; [ 3.08219178 21.91780822],0
b4,1,0.130618,2.285145,[30 18] ; [11 14],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
s6,1,0.139114,2.187727,[16 31] ; [13 12],[18.93055556 28.06944444] ; [10.06944444 14.93055556],0
b5,1,0.189099,1.724625,[27 21] ; [18  7],[29.5890411 18.4109589] ; [15.4109589  9.5890411],0
v4,1,0.203201,1.619215,[35 12] ; [21  3],[37.07042254  9.92957746] ; [18.92957746  5.07042254],0
s4,1,0.203725,1.61547,[ 9 39] ; [ 8 17],[11.17808219 36.82191781] ; [ 5.82191781 19.17808219],0
s2,1,0.205026,1.606203,[14 34] ; [11 14],[16.43835616 31.56164384] ; [ 8.56164384 16.43835616],0
n5,1,0.221963,1.491635,[24 23] ; [ 9 16],[21.54166667 25.45833333] ; [11.45833333 13.54166667],0
n2,1,0.22211,1.490683,[14  9] ; [6 1],[15.33333333  7.66666667] ; [4.66666667 2.33333333],0
a3,1,0.28036,1.165342,[15 33] ; [11 14],[17.09589041 30.90410959] ; [ 8.90410959 16.09589041],0
d3,1,0.286327,1.136811,[22 25] ; [15 10],[24.15277778 22.84722222] ; [12.84722222 12.15277778],0
n1,1,0.290347,1.118012,[ 8 15] ; [4 3],[ 9.2 13.8] ; [2.8 4.2],0
d1,1,0.324516,0.970659,[12 36] ; [ 9 16],[13.80821918 34.19178082] ; [ 7.19178082 17.80821918],0
r4,1,0.330189,0.948156,[25 23] ; [16  9],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
n4,1,0.330273,0.947827,[21 27] ; [ 8 17],[19.06849315 28.93150685] ; [ 9.93150685 15.06849315],0
s3,1,0.360255,0.837005,[21 26] ; [14 11],[22.84722222 24.15277778] ; [12.15277778 12.84722222],0
s5,1,0.384007,0.757835,[ 7 38] ; [ 6 19],[ 8.35714286 36.64285714] ; [ 4.64285714 20.35714286],0
p1,1,0.395991,0.720466,[ 3 45] ; [ 3 22],[ 3.94520548 44.05479452] ; [ 2.05479452 22.94520548],0
r1,1,0.419909,0.650571,[26 22] ; [16  9],[27.61643836 20.38356164] ; [14.38356164 10.61643836],0
s1,1,0.508989,0.436145,[ 2 45] ; [ 2 23],[ 2.61111111 44.38888889] ; [ 1.38888889 23.61111111],0
v2,1,0.523592,0.406812,[12 32] ; [ 8 15],[13.13432836 30.86567164] ; [ 6.86567164 16.13432836],0
u3,1,0.536805,0.381494,[18 15] ; [9 5],[18.95744681 14.04255319] ; [8.04255319 5.95744681],0
b3,1,0.619039,0.247221,[ 7 19] ; [ 3 12],[ 6.34146341 19.65853659] ; [ 3.65853659 11.34146341],0
b2,1,0.619039,0.247221,[ 7 19] ; [ 3 12],[ 6.34146341 19.65853659] ; [ 3.65853659 11.34146341],0
a6,1,0.626299,0.237113,[24 24] ; [14 11],[24.98630137 23.01369863] ; [13.01369863 11.98630137],0
p5,1,0.634037,0.226626,[ 1 47] ; [ 1 24],[ 1.31506849 46.68493151] ; [ 0.68493151 24.31506849],0
a8,1,0.659821,0.193741,[ 3 43] ; [ 1 24],[ 2.5915493 43.4084507] ; [ 1.4084507 23.5915493],0
p9,1,0.662246,0.190807,[27 19] ; [16  9],[27.85915493 18.14084507] ; [15.14084507  9.85915493],0
v3,1,0.680929,0.169082,[ 6 40] ; [ 4 20],[ 6.57142857 39.42857143] ; [ 3.42857143 20.57142857],0
a1,1,0.688532,0.160679,[ 3 45] ; [ 1 24],[ 2.63013699 45.36986301] ; [ 1.36986301 23.63013699],0
n3,1,0.697893,0.150673,[15  8] ; [4 3],[14.56666667  8.43333333] ; [4.43333333 2.56666667],0
b1,1,0.740537,0.109655,[25 23] ; [12 13],[24.32876712 23.67123288] ; [12.67123288 12.32876712],0
r2,1,0.841132,0.040179,[37 11] ; [19  5],[37.33333333 10.66666667] ; [18.66666667  5.33333333],0
d4,1,0.868082,0.027588,[31 16] ; [16  9],[30.68055556 16.31944444] ; [16.31944444  8.68055556],0
u2,1,0.930072,0.007701,[21 11] ; [9 5],[20.86956522 11.13043478] ; [9.13043478 4.86956522],0
d2,1,0.933358,0.006992,[10 38] ; [ 5 20],[ 9.8630137 38.1369863] ; [ 5.1369863 19.8630137],0
v1,1,1.0,0.0,[18 30] ; [ 9 15],[18. 30.] ; [ 9. 15.],0
