Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000477,12.201681,[6 2] ; [ 1 15],[2.33333333 5.66666667] ; [ 4.66666667 11.33333333],1
n5,1,0.000883,11.058218,[ 7 10] ; [30  5],[12.09615385  4.90384615] ; [24.90384615 10.09615385],1
a5,1,0.03851,4.282353,[ 5 12] ; [21 14],[8.5 8.5] ; [17.5 17.5],0
d1,1,0.03851,4.282353,[ 2 15] ; [14 21],[ 5.23076923 11.76923077] ; [10.76923077 24.23076923],0
s1,1,0.060452,3.52493,[ 3 14] ; [ 1 34],[ 1.30769231 15.69230769] ; [ 2.69230769 32.30769231],0
d2,1,0.07019,3.278571,[ 4 13] ; [17 17],[ 7. 10.] ; [14. 20.],0
a1,1,0.088725,2.897351,[ 1 16] ; [ 9 26],[ 3.26923077 13.73076923] ; [ 6.73076923 28.26923077],0
n3,1,0.123639,2.370612,[6 4] ; [ 4 10],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
s5,1,0.12907,2.303659,[ 1 16] ; [ 8 27],[ 2.94230769 14.05769231] ; [ 6.05769231 28.94230769],0
a6,1,0.133739,2.248553,[ 5 12] ; [18 17],[7.51923077 9.48076923] ; [15.48076923 19.51923077],0
n6,1,0.165602,1.922308,[ 6 11] ; [19 15],[8.33333333 8.66666667] ; [16.66666667 17.33333333],0
r4,1,0.185642,1.751872,[ 1 16] ; [ 7 28],[ 2.61538462 14.38461538] ; [ 5.38461538 29.61538462],0
a4,1,0.261951,1.258416,[ 4 13] ; [13 20],[ 5.78 11.22] ; [11.22 21.78],0
p3,1,0.267272,1.230695,[ 3 14] ; [11 23],[ 4.66666667 12.33333333] ; [ 9.33333333 24.66666667],0
s6,1,0.29326,1.104593,[ 3 14] ; [11 24],[ 4.57692308 12.42307692] ; [ 9.42307692 25.57692308],0
p2,1,0.305848,1.04852,[8 9] ; [11 23],[ 6.33333333 10.66666667] ; [12.66666667 21.33333333],0
d3,1,0.349864,0.87395,[ 5 12] ; [15 20],[ 6.53846154 10.46153846] ; [13.46153846 21.53846154],0
v4,1,0.365842,0.817739,[11  6] ; [18 17],[9.48076923 7.51923077] ; [19.51923077 15.48076923],0
v1,1,0.474441,0.511615,[ 6 11] ; [ 9 26],[ 4.90384615 12.09615385] ; [10.09615385 24.90384615],0
b2,1,0.490153,0.47619,[2 5] ; [12 16],[2.8 4.2] ; [11.2 16.8],0
b3,1,0.490153,0.47619,[2 5] ; [12 16],[2.8 4.2] ; [11.2 16.8],0
p9,1,0.490473,0.475488,[ 6 11] ; [15 18],[7.14 9.86] ; [13.86 19.14],0
d5,1,0.493822,0.468187,[8 9] ; [20 15],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
p7,1,0.557659,0.343774,[ 6 11] ; [ 9 24],[ 5.1 11.9] ; [ 9.9 23.1],0
d4,1,0.615824,0.251781,[10  7] ; [18 17],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
n2,1,0.621685,0.243506,[5 5] ; [6 9],[4.4 5.6] ; [6.6 8.4],0
b5,1,0.62888,0.233583,[8 9] ; [14 21],[7.19230769 9.80769231] ; [14.80769231 20.19230769],0
p4,1,0.657226,0.196911,[ 4 13] ; [10 24],[ 4.66666667 12.33333333] ; [ 9.33333333 24.66666667],0
p8,1,0.681041,0.168957,[ 5 11] ; [ 9 26],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
p6,1,0.712656,0.135638,[ 1 16] ; [ 3 31],[ 1.33333333 15.66666667] ; [ 2.66666667 31.33333333],0
r2,1,0.720048,0.128447,[11  6] ; [23 10],[11.56  5.44] ; [22.44 10.56],0
a2,1,0.732833,0.116527,[ 1 16] ; [ 3 32],[ 1.30769231 15.69230769] ; [ 2.69230769 32.30769231],0
n1,1,0.742174,0.108225,[4 6] ; [7 8],[4.4 5.6] ; [6.6 8.4],0
a3,1,0.754476,0.097808,[9 8] ; [19 14],[9.52 7.48] ; [18.48 14.52],0
u2,1,0.759463,0.09375,[3 5] ; [ 5 11],[2.66666667 5.33333333] ; [ 5.33333333 10.66666667],0
a7,1,0.779128,0.078655,[ 7 10] ; [13 22],[ 6.53846154 10.46153846] ; [13.46153846 21.53846154],0
b4,1,0.779128,0.078655,[10  7] ; [22 13],[10.46153846  6.53846154] ; [21.53846154 13.46153846],0
s2,1,0.802703,0.062425,[ 2 15] ; [ 5 30],[ 2.28846154 14.71153846] ; [ 4.71153846 30.28846154],0
s4,1,0.802703,0.062425,[ 2 15] ; [ 5 30],[ 2.28846154 14.71153846] ; [ 4.71153846 30.28846154],0
p1,1,0.802703,0.062425,[ 2 15] ; [ 5 30],[ 2.28846154 14.71153846] ; [ 4.71153846 30.28846154],0
v3,1,0.80306,0.062195,[ 3 14] ; [ 7 27],[ 3.33333333 13.66666667] ; [ 6.66666667 27.33333333],0
b1,1,0.908388,0.013242,[10  7] ; [20 15],[9.80769231 7.19230769] ; [20.19230769 14.80769231],0
s3,1,0.924389,0.009007,[ 3 14] ; [ 6 26],[ 3.12244898 13.87755102] ; [ 5.87755102 26.12244898],0
r1,1,0.942841,0.005141,[ 6 11] ; [12 23],[ 5.88461538 11.11538462] ; [12.11538462 22.88461538],0
p11,1,0.949971,0.003937,[ 5 12] ; [10 25],[ 4.90384615 12.09615385] ; [10.09615385 24.90384615],0
p5,1,0.959275,0.002607,[ 1 15] ; [ 2 32],[ 0.96 15.04] ; [ 2.04 31.96],0
v2,1,0.962813,0.002174,[ 3 14] ; [ 6 27],[ 3.06 13.94] ; [ 5.94 27.06],0
p10,1,1.0,0.0,[ 7 10] ; [14 20],[ 7. 10.] ; [14. 20.],0
