Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.589821,[160  14] ; [6 6],[155.29032258  18.70967742] ; [10.70967742  1.29032258],1
r2,1,0.000483,12.179019,[163  10] ; [8 4],[159.90810811  13.09189189] ; [11.09189189  0.90810811],1
a3,1,0.037181,4.342106,[110  63] ; [4 8],[106.60540541  66.39459459] ; [7.39459459 4.60540541],0
s7,1,0.05599,3.652367,[78 85] ; [2 9],[74.94252874 88.05747126] ; [5.05747126 5.94252874],0
a6,1,0.056622,3.633678,[106  67] ; [4 8],[102.86486486  70.13513514] ; [7.13513514 4.86486486],0
p11,1,0.078831,3.088834,[139  35] ; [7 5],[136.58064516  37.41935484] ; [9.41935484 2.58064516],0
u3,1,0.113206,2.50888,[35 29] ; [2 6],[32.88888889 31.11111111] ; [4.11111111 3.88888889],0
d3,1,0.152494,2.04712,[80 93] ; [3 9],[77.61621622 95.38378378] ; [5.38378378 6.61621622],0
d2,1,0.169249,1.88958,[ 20 154] ; [3 9],[ 21.51612903 152.48387097] ; [ 1.48387097 10.51612903],0
a7,1,0.183773,1.766842,[118  54] ; [6 6],[115.91304348  56.08695652] ; [8.08695652 3.91304348],0
p7,1,0.216422,1.527939,[114  55] ; [6 6],[112.0441989  56.9558011] ; [7.9558011 4.0441989],0
b4,1,0.218995,1.510942,[99 75] ; [9 3],[101.03225806  72.96774194] ; [6.96774194 5.03225806],0
s1,1,0.220604,1.500436,[  4 166] ; [ 1 11],[  4.67032967 165.32967033] ; [ 0.32967033 11.67032967],0
r1,1,0.227848,1.454243,[141  33] ; [8 4],[139.38709677  34.61290323] ; [9.61290323 2.38709677],0
v3,1,0.240103,1.379991,[88 85] ; [4 8],[86.03243243 86.96756757] ; [5.96756757 6.03243243],0
s5,1,0.258167,1.278561,[ 54 113] ; [ 2 10],[ 52.24581006 114.75418994] ; [3.75418994 8.24581006],0
d5,1,0.279305,1.170471,[103  71] ; [9 3],[104.77419355  69.22580645] ; [7.22580645 4.77419355],0
p10,1,0.282873,1.153235,[134  34] ; [8 4],[132.53333333  35.46666667] ; [9.46666667 2.53333333],0
b3,1,0.305415,1.0504,[37 62] ; [1 5],[35.82857143 63.17142857] ; [2.17142857 3.82857143],0
b2,1,0.305415,1.0504,[37 62] ; [1 5],[35.82857143 63.17142857] ; [2.17142857 3.82857143],0
p4,1,0.317634,0.998662,[88 82] ; [8 4],[89.67032967 80.32967033] ; [6.32967033 5.67032967],0
a5,1,0.324389,0.971167,[105  68] ; [9 3],[106.60540541  66.39459459] ; [7.39459459 4.60540541],0
b5,1,0.363675,0.825164,[96 78] ; [5 7],[94.48387097 79.51612903] ; [6.51612903 5.48387097],0
n4,1,0.382186,0.76366,[124  49] ; [10  2],[125.30810811  47.69189189] ; [8.69189189 3.30810811],0
u2,1,0.42776,0.628897,[33 30] ; [3 5],[31.94366197 31.05633803] ; [4.05633803 3.94366197],0
v1,1,0.444134,0.585579,[104  66] ; [6 6],[102.74725275  67.25274725] ; [7.25274725 4.74725275],0
p8,1,0.498838,0.457407,[88 82] ; [5 7],[86.86813187 83.13186813] ; [6.13186813 5.86813187],0
n6,1,0.509362,0.435378,[142  30] ; [9 3],[141.15217391  30.84782609] ; [9.84782609 2.15217391],0
s4,1,0.520858,0.412193,[ 26 146] ; [ 1 11],[ 25.23913043 146.76086957] ; [ 1.76086957 10.23913043],0
p9,1,0.568352,0.325448,[138  31] ; [9 3],[137.25414365  31.74585635] ; [9.74585635 2.25414365],0
p5,1,0.608781,0.261954,[ 20 151] ; [ 2 10],[ 20.55737705 150.44262295] ; [ 1.44262295 10.55737705],0
u1,1,0.638679,0.220474,[  9 165] ; [ 1 11],[  9.35483871 164.64516129] ; [ 0.64516129 11.35483871],0
s8,1,0.653436,0.201596,[ 69 104] ; [4 8],[ 68.26486486 104.73513514] ; [4.73513514 7.26486486],0
s6,1,0.65818,0.195742,[108  59] ; [7 5],[107.29050279  59.70949721] ; [7.70949721 4.29050279],0
p2,1,0.708294,0.139987,[136  35] ; [9 3],[135.49180328  35.50819672] ; [9.50819672 2.49180328],0
a2,1,0.713365,0.13494,[ 10 164] ; [ 1 11],[ 10.29032258 163.70967742] ; [ 0.70967742 11.29032258],0
p12,1,0.730585,0.118575,[ 10 160] ; [ 1 11],[ 10.27472527 159.72527473] ; [ 0.72527473 11.27472527],0
d4,1,0.739348,0.1107,[107  66] ; [8 4],[107.54054054  65.45945946] ; [7.45945946 4.54054054],0
b1,1,0.796687,0.066377,[ 66 108] ; [5 7],[ 66.41935484 107.58064516] ; [4.58064516 7.41935484],0
p6,1,0.82564,0.048531,[ 65 104] ; [5 7],[ 65.35911602 103.64088398] ; [4.64088398 7.35911602],0
a4,1,0.844259,0.038592,[ 39 134] ; [3 9],[ 39.27567568 133.72432432] ; [2.72432432 9.27567568],0
s2,1,0.882309,0.021917,[75 96] ; [5 7],[74.75409836 96.24590164] ; [5.24590164 6.75409836],0
n5,1,0.955319,0.003139,[127  44] ; [9 3],[127.08196721  43.91803279] ; [8.91803279 3.08196721],0
s3,1,0.968579,0.001552,[86 84] ; [6 6],[85.93406593 84.06593407] ; [6.06593407 5.93406593],0
p3,1,0.984376,0.000383,[85 86] ; [6 6],[85.03278689 85.96721311] ; [5.96721311 6.03278689],0
