Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.011042,6.458579,[30  6] ; [17 14],[25.25373134 10.74626866] ; [21.74626866  9.25373134],0
s8,1,0.044496,4.03763,[25 11] ; [14 17],[20.95522388 15.04477612] ; [18.04477612 12.95522388],0
p2,1,0.049596,3.855069,[29  6] ; [19 12],[25.45454545  9.54545455] ; [22.54545455  8.45454545],0
v3,1,0.053394,3.731538,[18 18] ; [ 8 22],[14.18181818 21.81818182] ; [11.81818182 18.18181818],0
b5,1,0.082007,3.024663,[26 10] ; [16 15],[22.56716418 13.43283582] ; [19.43283582 11.56716418],0
s4,1,0.083096,3.003275,[ 9 27] ; [14 17],[12.35820896 23.64179104] ; [10.64179104 20.35820896],0
a2,1,0.106613,2.603719,[12 24] ; [ 5 26],[ 9.13432836 26.86567164] ; [ 7.86567164 23.13432836],0
v4,1,0.115824,2.472896,[35  1] ; [27  4],[33.31343284  2.68656716] ; [28.68656716  2.31343284],0
p5,1,0.118792,2.43318,[ 5 30] ; [ 1 30],[ 3.18181818 31.81818182] ; [ 2.81818182 28.18181818],0
u1,1,0.167286,1.907094,[11 25] ; [ 5 26],[ 8.59701493 27.40298507] ; [ 7.40298507 23.59701493],0
a8,1,0.172351,1.862374,[ 8 24] ; [ 3 24],[ 5.96610169 26.03389831] ; [ 5.03389831 21.96610169],0
n2,1,0.191785,1.703855,[11  1] ; [10  4],[9.69230769 2.30769231] ; [11.30769231  2.69230769],0
n6,1,0.204262,1.611638,[24 10] ; [26  5],[26.15384615  7.84615385] ; [23.84615385  7.15384615],0
s3,1,0.21775,1.519136,[25 11] ; [17 14],[22.56716418 13.43283582] ; [19.43283582 11.56716418],0
p9,1,0.220013,1.504286,[29  6] ; [21  9],[26.92307692  8.07692308] ; [23.07692308  6.92307692],0
a6,1,0.321878,0.981299,[24 12] ; [17 14],[22.02985075 13.97014925] ; [18.97014925 12.02985075],0
b2,1,0.329131,0.952315,[ 4 14] ; [ 6 10],[ 5.29411765 12.70588235] ; [ 4.70588235 11.29411765],0
b3,1,0.329131,0.952315,[ 4 14] ; [ 6 10],[ 5.29411765 12.70588235] ; [ 4.70588235 11.29411765],0
a7,1,0.349771,0.874288,[27  9] ; [20 11],[25.25373134 10.74626866] ; [21.74626866  9.25373134],0
d3,1,0.358728,0.842341,[29  7] ; [22  9],[27.40298507  8.59701493] ; [23.59701493  7.40298507],0
n5,1,0.37584,0.784266,[24 11] ; [18 13],[22.27272727 12.72727273] ; [19.72727273 11.27272727],0
a5,1,0.420079,0.650094,[26 10] ; [25  6],[27.40298507  8.59701493] ; [23.59701493  7.40298507],0
a3,1,0.420079,0.650094,[26 10] ; [25  6],[27.40298507  8.59701493] ; [23.59701493  7.40298507],0
a1,1,0.468451,0.525626,[ 1 35] ; [ 2 29],[ 1.6119403 34.3880597] ; [ 1.3880597 29.6119403],0
p7,1,0.476885,0.505978,[20 15] ; [15 16],[18.56060606 16.43939394] ; [16.43939394 14.56060606],0
u2,1,0.515305,0.42328,[5 5] ; [2 4],[4.375 5.625] ; [2.625 3.375],0
u3,1,0.515305,0.42328,[5 5] ; [2 4],[4.375 5.625] ; [2.625 3.375],0
n1,1,0.542541,0.37085,[5 7] ; [7 6],[5.76 6.24] ; [6.24 6.76],0
v2,1,0.581239,0.304236,[21 15] ; [16 15],[19.88059701 16.11940299] ; [17.11940299 13.88059701],0
b4,1,0.647217,0.209427,[24 12] ; [19 12],[23.10447761 12.89552239] ; [19.89552239 11.10447761],0
p8,1,0.647444,0.209138,[12 23] ; [ 9 22],[11.13636364 23.86363636] ; [ 9.86363636 21.13636364],0
p6,1,0.690859,0.158157,[13 22] ; [13 18],[13.78787879 21.21212121] ; [12.21212121 18.78787879],0
s7,1,0.714393,0.133929,[22 10] ; [18 10],[21.33333333 10.66666667] ; [18.66666667  9.33333333],0
p10,1,0.772397,0.08366,[26  8] ; [22  8],[25.5  8.5] ; [22.5  7.5],0
d2,1,0.773853,0.082564,[22 14] ; [20 11],[22.56716418 13.43283582] ; [19.43283582 11.56716418],0
p3,1,0.781749,0.076752,[17 18] ; [14 17],[16.43939394 18.56060606] ; [14.56060606 16.43939394],0
p4,1,0.785724,0.073912,[21 14] ; [17 13],[20.46153846 14.53846154] ; [17.53846154 12.46153846],0
n3,1,0.793117,0.068783,[8 4] ; [10  4],[8.30769231 3.69230769] ; [9.69230769 4.30769231],0
b1,1,0.805651,0.060536,[21 15] ; [19 12],[21.49253731 14.50746269] ; [18.50746269 12.49253731],0
r3,1,0.814581,0.055,[33  3] ; [27  3],[32.72727273  3.27272727] ; [27.27272727  2.72727273],0
s6,1,0.817635,0.053171,[31  4] ; [28  3],[31.28787879  3.71212121] ; [27.71212121  3.28787879],0
d5,1,0.821543,0.050878,[32  4] ; [27  4],[31.70149254  4.29850746] ; [27.29850746  3.70149254],0
r4,1,0.848296,0.036593,[32  4] ; [28  3],[32.23880597  3.76119403] ; [27.76119403  3.23880597],0
a4,1,0.866037,0.028458,[19 17] ; [17 14],[19.34328358 16.65671642] ; [16.65671642 14.34328358],0
p1,1,0.870252,0.02668,[ 5 30] ; [ 4 27],[ 4.77272727 30.22727273] ; [ 4.22727273 26.77272727],0
d4,1,0.906093,0.013916,[31  5] ; [27  4],[31.1641791  4.8358209] ; [26.8358209  4.1641791],0
s1,1,0.947083,0.004405,[ 1 33] ; [ 1 30],[ 1.04615385 32.95384615] ; [ 0.95384615 30.04615385],0
r1,1,0.978658,0.000716,[27  8] ; [24  7],[27.04545455  7.95454545] ; [23.95454545  7.04545455],0
d1,1,0.988025,0.000225,[22 14] ; [19 12],[22.02985075 13.97014925] ; [18.97014925 12.02985075],0
n4,1,0.993482,6.7e-05,[23 11] ; [21 10],[23.01538462 10.98461538] ; [20.98461538 10.01538462],0
