Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,100.636379,[ 94 166] ; [181  41],[148.34024896 111.65975104] ; [126.65975104  95.34024896],1
p7,1,0.0,38.075986,[122 132] ; [166  53],[154.65539112  99.34460888] ; [133.34460888  85.65539112],1
p8,1,0.0,37.621684,[ 97 160] ; [145  75],[130.38574423 126.61425577] ; [111.61425577 108.38574423],1
p6,1,5e-06,20.953579,[ 59 199] ; [ 93 126],[ 82.21383648 175.78616352] ; [ 69.78616352 149.21383648],1
s7,1,1.4e-05,18.827367,[ 83 171] ; [111 100],[105.96989247 148.03010753] ; [ 88.03010753 122.96989247],1
s8,1,2.6e-05,17.698579,[ 79 183] ; [108 113],[101.436853 160.563147] ; [ 85.563147 135.436853],1
p12,1,7.2e-05,15.770227,[  5 256] ; [ 23 198],[ 15.16182573 245.83817427] ; [ 12.83817427 208.16182573],1
n4,1,0.000443,12.340978,[181  81] ; [184  38],[197.58264463  64.41735537] ; [167.41735537  54.58264463],1
v1,1,0.00067,11.570341,[113 142] ; [128  85],[131.31410256 123.68589744] ; [109.68589744 103.31410256],1
a5,1,0.001826,9.717047,[169  93] ; [172  50],[184.59090909  77.40909091] ; [156.40909091  65.59090909],0
u1,1,0.002142,9.423628,[ 27 235] ; [ 45 177],[ 38.97520661 223.02479339] ; [ 33.02479339 188.97520661],0
n6,1,0.002238,9.34315,[202  58] ; [196  26],[214.68879668  45.31120332] ; [183.31120332  38.68879668],0
b1,1,0.002972,8.824739,[ 77 185] ; [ 94 128],[ 92.5661157 169.4338843] ; [ 78.4338843 143.5661157],0
p11,1,0.003479,8.537293,[208  54] ; [198  24],[219.7768595  42.2231405] ; [186.2231405  35.7768595],0
a2,1,0.00449,8.074304,[ 44 218] ; [ 61 161],[ 56.83884298 205.16115702] ; [ 48.16115702 173.83884298],0
d5,1,0.005551,7.690729,[192  68] ; [187  35],[204.43983402  55.56016598] ; [174.56016598  47.43983402],0
p10,1,0.006046,7.536503,[222  40] ; [205  16],[231.62318841  30.37681159] ; [195.37681159  25.62318841],0
r4,1,0.00609,7.523417,[219  43] ; [204  18],[228.97933884  33.02066116] ; [194.02066116  27.97933884],0
d2,1,0.007394,7.174741,[100 161] ; [112 110],[114.55900621 146.44099379] ; [ 97.44099379 124.55900621],0
a3,1,0.008432,6.939345,[167  94] ; [166  55],[180.31742739  80.68257261] ; [152.68257261  68.31742739],0
v3,1,0.008554,6.913675,[ 80 172] ; [ 92 119],[ 93.61555076 158.38444924] ; [ 78.38444924 132.61555076],0
n5,1,0.009228,6.778156,[185  75] ; [179  41],[197.16666667  62.83333333] ; [166.83333333  53.16666667],0
p1,1,0.010659,6.521372,[ 10 252] ; [ 21 199],[ 16.85062241 245.14937759] ; [ 14.14937759 205.85062241],0
b5,1,0.01216,6.287325,[181  81] ; [129  93],[167.80991736  94.19008264] ; [142.19008264  79.80991736],0
p5,1,0.020026,5.40959,[ 11 249] ; [ 21 199],[ 17.33333333 242.66666667] ; [ 14.66666667 205.33333333],0
p2,1,0.021947,5.249943,[213  48] ; [196  24],[221.93139293  39.06860707] ; [187.06860707  32.93139293],0
n2,1,0.026812,4.902886,[61 17] ; [19 14],[56.21621622 21.78378378] ; [23.78378378  9.21621622],0
b2,1,0.027437,4.863082,[40 99] ; [61 87],[48.91637631 90.08362369] ; [52.08362369 95.91637631],0
b3,1,0.027437,4.863082,[40 99] ; [61 87],[48.91637631 90.08362369] ; [52.08362369 95.91637631],0
r2,1,0.033426,4.523805,[234  25] ; [209  10],[240.03556485  18.96443515] ; [202.96443515  16.03556485],0
s6,1,0.035227,4.434153,[140 120] ; [140  81],[151.35135135 108.64864865] ; [128.64864865  92.35135135],0
a4,1,0.075489,3.159444,[103 158] ; [105 116],[112.63070539 148.36929461] ; [ 95.36929461 125.63070539],0
v4,1,0.079664,3.071739,[242  19] ; [214   8],[246.40993789  14.59006211] ; [209.59006211  12.40993789],0
v2,1,0.081815,3.028466,[128 120] ; [126  85],[137.23747277 110.76252723] ; [116.76252723  94.23747277],0
a7,1,0.082926,3.006593,[185  76] ; [172  49],[193.31327801  67.68672199] ; [163.68672199  57.31327801],0
d1,1,0.102647,2.663925,[134 128] ; [130  92],[142.90909091 119.09090909] ; [121.09090909 100.90909091],0
a6,1,0.127747,2.319677,[175  86] ; [163  59],[182.64596273  78.35403727] ; [155.35403727  66.64596273],0
s3,1,0.142962,2.145779,[118 141] ; [115 105],[125.98538622 133.01461378] ; [107.01461378 112.98538622],0
u3,1,0.160136,1.972942,[43 50] ; [32 23],[47.12837838 45.87162162] ; [27.87162162 27.12837838],0
n3,1,0.215268,1.535637,[55 23] ; [27  6],[57.62162162 20.37837838] ; [24.37837838  8.62162162],0
r1,1,0.228228,1.45187,[194  68] ; [174  47],[199.61904762  62.38095238] ; [168.38095238  52.61904762],0
s1,1,0.256391,1.288139,[  9 249] ; [  4 218],[  6.9875 251.0125] ; [  6.0125 215.9875],0
d3,1,0.328611,0.954365,[180  79] ; [145  77],[175.  84.] ; [150.  72.],0
u4,1,0.380187,0.770096,[  5 257] ; [  7 215],[  6.49586777 255.50413223] ; [  5.50413223 216.49586777],0
s2,1,0.431658,0.618357,[ 99 162] ; [ 92 130],[103.21118012 157.78881988] ; [ 87.78881988 134.21118012],0
u2,1,0.495017,0.465603,[51 43] ; [33 22],[52.99328859 41.00671141] ; [31.00671141 23.99328859],0
b4,1,0.563534,0.333623,[152 110] ; [123  99],[148.86363636 113.13636364] ; [126.13636364  95.86363636],0
a8,1,0.640222,0.218451,[ 36 208] ; [ 26 171],[ 34.30385488 209.69614512] ; [ 27.69614512 169.30385488],0
r3,1,0.664865,0.187667,[247  14] ; [212  10],[248.0310559  12.9689441] ; [210.9689441  11.0310559],0
n1,1,0.665362,0.187075,[29 48] ; [11 22],[28. 49.] ; [12. 21.],0
a1,1,0.71992,0.128569,[  9 253] ; [  9 213],[  9.74380165 252.25619835] ; [  8.25619835 213.74380165],0
s4,1,0.743672,0.106925,[ 28 232] ; [ 26 196],[ 29.12863071 230.87136929] ; [ 24.87136929 197.12863071],0
d4,1,0.924455,0.008991,[206  55] ; [176  46],[206.42236025  54.57763975] ; [175.57763975  46.42236025],0
