Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,26.065012,[42 56] ; [105  34],[60.78481013 37.21518987] ; [86.21518987 52.78481013],1
d3,1,3e-06,22.137232,[38 60] ; [96 42],[55.6440678 42.3559322] ; [78.3559322 59.6440678],1
r3,1,0.000123,14.745991,[69 29] ; [125  14],[80.21940928 17.78059072] ; [113.78059072  25.21940928],1
r4,1,0.000192,13.905936,[61 37] ; [117  23],[73.29411765 24.70588235] ; [104.70588235  35.29411765],1
d5,1,0.000251,13.403874,[55 43] ; [109  30],[67.81434599 30.18565401] ; [96.18565401 42.81434599],1
a2,1,0.000272,13.253428,[ 9 89] ; [ 40 100],[20.17647059 77.82352941] ; [ 28.82352941 111.17647059],1
d1,1,0.000293,13.111758,[28 70] ; [73 67],[41.58823529 56.41176471] ; [59.41176471 80.58823529],1
d4,1,0.000316,12.970683,[58 40] ; [112  27],[70.29535865 27.70464135] ; [99.70464135 39.29535865],1
u1,1,0.001064,10.713141,[ 5 93] ; [ 28 112],[13.58823529 84.41176471] ; [ 19.41176471 120.58823529],0
v4,1,0.002347,9.255905,[74 23] ; [127  13],[82.26582278 14.73417722] ; [118.73417722  21.26582278],0
u2,1,0.007927,7.049948,[13 23] ; [29 15],[18.9 17.1] ; [23.1 20.9],0
u3,1,0.01589,5.815033,[14 22] ; [29 15],[19.35 16.65] ; [23.65 20.35],0
b5,1,0.016902,5.706544,[50 48] ; [93 47],[58.88235294 39.11764706] ; [84.11764706 55.88235294],0
r2,1,0.02526,5.005959,[78 19] ; [125  13],[83.79148936 13.20851064] ; [119.20851064  18.79148936],0
p2,1,0.027286,4.872651,[53 43] ; [97 43],[61.01694915 34.98305085] ; [88.98305085 51.01694915],0
s2,1,0.043596,4.072132,[31 66] ; [63 77],[38.47257384 58.52742616] ; [55.52742616 84.47257384],0
p9,1,0.044265,4.046443,[56 40] ; [98 40],[63.17948718 32.82051282] ; [90.82051282 47.17948718],0
p10,1,0.051924,3.77823,[50 47] ; [88 49],[57.20512821 39.79487179] ; [80.79487179 56.20512821],0
p4,1,0.141974,2.156435,[32 65] ; [59 80],[37.40254237 59.59745763] ; [53.59745763 85.40254237],0
b1,1,0.143523,2.139772,[50 48] ; [58 82],[44.47058824 53.52941176] ; [63.52941176 76.47058824],0
r1,1,0.182038,1.780905,[58 40] ; [94 45],[62.85232068 35.14767932] ; [89.14767932 49.85232068],0
a1,1,0.210853,1.565561,[ 8 90] ; [  6 134],[ 5.76470588 92.23529412] ; [  8.23529412 131.76470588],0
p12,1,0.216546,1.527111,[ 5 93] ; [  3 136],[ 3.30801688 94.69198312] ; [  4.69198312 134.30801688],0
s6,1,0.242828,1.364101,[44 52] ; [75 65],[48.40677966 47.59322034] ; [70.59322034 69.40677966],0
n5,1,0.269932,1.21709,[69 28] ; [90 50],[65.07594937 31.92405063] ; [93.92405063 46.07594937],0
s1,1,0.326959,0.960906,[ 8 89] ; [  7 131],[ 6.19148936 90.80851064] ; [  8.80851064 129.19148936],0
n1,1,0.349242,0.87621,[14 29] ; [19 26],[16.125 26.875] ; [16.875 28.125],0
p5,1,0.350397,0.87202,[ 6 90] ; [  5 133],[ 4.51282051 91.48717949] ; [  6.48717949 131.51282051],0
a4,1,0.408718,0.682528,[38 58] ; [63 77],[41.08474576 54.91525424] ; [59.91525424 80.08474576],0
n6,1,0.422287,0.64394,[66 31] ; [102  38],[68.75949367 28.24050633] ; [99.24050633 40.75949367],0
p1,1,0.438213,0.600957,[ 9 89] ; [  9 130],[ 7.44303797 90.55696203] ; [ 10.55696203 128.44303797],0
s7,1,0.443423,0.587409,[35 57] ; [44 89],[32.30222222 59.69777778] ; [46.69777778 86.30222222],0
a3,1,0.478195,0.502976,[62 35] ; [95 44],[64.52966102 32.47033898] ; [92.47033898 46.52966102],0
n2,1,0.502492,0.44967,[30 13] ; [29 17],[28.50561798 14.49438202] ; [30.49438202 15.50561798],0
b4,1,0.507139,0.439965,[56 42] ; [86 54],[58.47058824 39.52941176] ; [83.52941176 56.47058824],0
s8,1,0.513852,0.426215,[24 73] ; [ 40 100],[26.19409283 70.80590717] ; [ 37.80590717 102.19409283],0
a5,1,0.566808,0.328052,[58 40] ; [88 52],[60.11764706 37.88235294] ; [85.88235294 54.11764706],0
a8,1,0.571065,0.320904,[ 9 83] ; [ 16 115],[10.31390135 81.68609865] ; [ 14.68609865 116.31390135],0
v1,1,0.581123,0.304423,[32 64] ; [41 96],[30.07725322 65.92274678] ; [42.92274678 94.07725322],0
p6,1,0.582939,0.301507,[14 82] ; [ 24 115],[15.52340426 80.47659574] ; [ 22.47659574 116.52340426],0
n3,1,0.583,0.301409,[25 16] ; [30 15],[26.22093023 14.77906977] ; [28.77906977 16.22093023],0
v3,1,0.651196,0.204395,[19 76] ; [ 24 112],[17.68398268 77.31601732] ; [ 25.31601732 110.68398268],0
s3,1,0.652427,0.202853,[47 50] ; [72 68],[48.70464135 48.29535865] ; [70.29535865 69.70464135],0
b2,1,0.708928,0.13935,[26 42] ; [33 47],[27.10810811 40.89189189] ; [31.89189189 48.10810811],0
b3,1,0.708928,0.13935,[26 42] ; [33 47],[27.10810811 40.89189189] ; [31.89189189 48.10810811],0
p3,1,0.718295,0.130132,[27 70] ; [42 98],[28.24050633 68.75949367] ; [40.75949367 99.24050633],0
s5,1,0.756731,0.095961,[23 71] ; [ 36 101],[24.00865801 69.99134199] ; [ 34.99134199 102.00865801],0
d2,1,0.773391,0.082911,[41 55] ; [62 77],[42.07659574 53.92340426] ; [60.92340426 78.07659574],0
n4,1,0.904138,0.014505,[67 31] ; [94 45],[66.57383966 31.42616034] ; [94.42616034 44.57383966],0
p7,1,0.930433,0.007621,[33 63] ; [46 90],[32.68965517 63.31034483] ; [46.31034483 89.68965517],0
p11,1,0.974759,0.001001,[59 39] ; [84 56],[58.88235294 39.11764706] ; [84.11764706 55.88235294],0
s4,1,0.978666,0.000715,[17 80] ; [ 24 114],[16.92340426 80.07659574] ; [ 24.07659574 113.92340426],0
