Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.904566,[3 8] ; [48  4],[8.9047619 2.0952381] ; [42.0952381  9.9047619],1
d1,1,7.2e-05,15.762708,[ 1 10] ; [38 14],[6.80952381 4.19047619] ; [32.19047619 19.80952381],1
d3,1,8.6e-05,15.420733,[2 9] ; [41 11],[7.50793651 3.49206349] ; [35.49206349 16.50793651],1
p10,1,0.00989,6.654671,[8 3] ; [49  2],[10.11290323  0.88709677] ; [46.88709677  4.11290323],0
p9,1,0.056874,3.62626,[8 2] ; [50  2],[9.35483871 0.64516129] ; [48.64516129  3.35483871],0
p2,1,0.060469,3.524476,[8 3] ; [48  4],[9.77777778 1.22222222] ; [46.22222222  5.77777778],0
r3,1,0.076485,3.138053,[9 2] ; [50  2],[10.3015873  0.6984127] ; [48.6984127  3.3015873],0
d2,1,0.109239,2.565193,[3 8] ; [28 24],[5.41269841 5.58730159] ; [25.58730159 26.41269841],0
p4,1,0.117005,2.456955,[8 3] ; [46  5],[9.58064516 1.41935484] ; [44.41935484  6.58064516],0
a3,1,0.155937,2.013187,[7 4] ; [43  9],[8.73015873 2.26984127] ; [41.26984127 10.73015873],0
s7,1,0.191902,1.702958,[8 1] ; [33 16],[6.36206897 2.63793103] ; [34.63793103 14.36206897],0
a4,1,0.207109,1.591521,[3 8] ; [25 27],[4.88888889 6.11111111] ; [23.11111111 28.88888889],0
v1,1,0.223727,1.480301,[6 5] ; [38 14],[7.68253968 3.31746032] ; [36.31746032 15.68253968],0
u3,1,0.316565,1.003086,[2 2] ; [7 2],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
s2,1,0.347895,0.881119,[6 5] ; [36 16],[7.33333333 3.66666667] ; [34.66666667 17.33333333],0
s3,1,0.356355,0.850699,[5 5] ; [34 18],[6.29032258 3.70967742] ; [32.70967742 19.29032258],0
p6,1,0.390539,0.737264,[8 3] ; [30 21],[6.74193548 4.25806452] ; [31.25806452 19.74193548],0
a1,1,0.42092,0.647746,[ 1 10] ; [10 42],[1.92063492 9.07936508] ; [ 9.07936508 42.92063492],0
p1,1,0.440467,0.595065,[4 7] ; [13 39],[2.96825397 8.03174603] ; [14.03174603 37.96825397],0
p7,1,0.483658,0.490603,[8 3] ; [41  9],[8.83606557 2.16393443] ; [40.16393443  9.83606557],0
s8,1,0.495745,0.464033,[5 5] ; [32 20],[5.96774194 4.03225806] ; [31.03225806 20.96774194],0
v2,1,0.497534,0.460193,[6 5] ; [34 18],[6.98412698 4.01587302] ; [33.01587302 18.98412698],0
a2,1,0.498066,0.459055,[ 1 10] ; [ 9 43],[1.74603175 9.25396825] ; [ 8.25396825 43.74603175],0
b4,1,0.558105,0.342997,[8 3] ; [33 19],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
a8,1,0.619557,0.246491,[2 9] ; [ 6 42],[1.49152542 9.50847458] ; [ 6.50847458 41.49152542],0
a6,1,0.66669,0.185499,[6 5] ; [32 20],[6.63492063 4.36507937] ; [31.36507937 20.63492063],0
s4,1,0.677513,0.172939,[ 1 10] ; [ 7 44],[1.41935484 9.58064516] ; [ 6.58064516 44.41935484],0
s6,1,0.749637,0.101836,[9 1] ; [44  7],[8.68852459 1.31147541] ; [44.31147541  6.68852459],0
b1,1,0.756332,0.096287,[5 6] ; [21 31],[4.53968254 6.46031746] ; [21.46031746 30.53968254],0
b5,1,0.804405,0.061331,[4 7] ; [21 31],[4.36507937 6.63492063] ; [20.63492063 31.36507937],0
n5,1,0.814465,0.05507,[10  1] ; [46  6],[9.77777778 1.22222222] ; [46.22222222  5.77777778],0
a5,1,0.817586,0.0532,[9 2] ; [44  8],[9.25396825 1.74603175] ; [43.74603175  8.25396825],0
p3,1,0.824866,0.04897,[9 2] ; [41 11],[8.73015873 2.26984127] ; [41.26984127 10.73015873],0
n4,1,0.876107,0.024307,[10  1] ; [48  4],[10.12698413  0.87301587] ; [47.87301587  4.12698413],0
b2,1,0.889732,0.019222,[3 4] ; [16 19],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
b3,1,0.889732,0.019222,[3 4] ; [16 19],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
v3,1,0.912011,0.012211,[7 4] ; [34 18],[7.15873016 3.84126984] ; [33.84126984 18.15873016],0
u2,1,0.912637,0.012037,[3 1] ; [7 2],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
a7,1,0.916417,0.011014,[8 3] ; [37 15],[7.85714286 3.14285714] ; [37.14285714 14.85714286],0
p8,1,0.955034,0.003179,[8 2] ; [42 10],[8.06451613 1.93548387] ; [41.93548387 10.06451613],0
p11,1,0.957065,0.002898,[10  1] ; [47  5],[9.95238095 1.04761905] ; [47.04761905  4.95238095],0
p12,1,0.981064,0.000563,[3 8] ; [14 38],[2.96825397 8.03174603] ; [14.03174603 37.96825397],0
