Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,167.448747,[326  27] ; [11 42],[293.00738916  59.99261084] ; [43.99261084  9.00738916],1
p2,1,0.0,32.010974,[317  36] ; [33 21],[303.56265356  49.43734644] ; [46.43734644  7.56265356],1
p11,1,1e-06,24.615821,[300  56] ; [30 24],[286.53658537  69.46341463] ; [43.46341463 10.53658537],1
n5,1,5e-06,20.981156,[295  58] ; [30 23],[282.57389163  70.42610837] ; [42.42610837 10.57389163],1
p8,1,2.4e-05,17.859834,[211 139] ; [16 38],[196.65841584 153.34158416] ; [30.34158416 23.65841584],1
p4,1,3.3e-05,17.240463,[240 113] ; [21 33],[226.37100737 126.62899263] ; [34.62899263 19.37100737],1
s8,1,0.000207,13.767082,[183 170] ; [13 40],[170.4137931 182.5862069] ; [25.5862069 27.4137931],1
v4,1,0.000438,12.363118,[343  10] ; [46  7],[338.21921182  14.78078818] ; [50.78078818  2.21921182],1
n6,1,0.000678,11.547797,[303  48] ; [36 17],[294.52722772  56.47277228] ; [44.47277228  8.52722772],1
s1,1,0.001455,10.134277,[  9 341] ; [ 6 46],[ 13.05970149 336.94029851] ; [ 1.94029851 50.05970149],0
d5,1,0.001583,9.979181,[294  60] ; [35 19],[285.45588235  68.54411765] ; [43.54411765 10.45588235],0
p3,1,0.001752,9.7932,[201 152] ; [18 35],[190.41133005 162.58866995] ; [28.58866995 24.41133005],0
b1,1,0.002572,9.0888,[128 228] ; [31 23],[138.05853659 217.94146341] ; [20.94146341 33.05853659],0
r4,1,0.003415,8.571179,[324  32] ; [42 12],[317.79512195  38.20487805] ; [48.20487805  5.79512195],0
s6,1,0.010245,6.591759,[248 104] ; [28 25],[239.88148148 112.11851852] ; [36.11851852 16.88148148],0
p6,1,0.012984,6.171245,[153 196] ; [13 38],[144.835 204.165] ; [21.165 29.835],0
r2,1,0.021809,5.260971,[337  14] ; [47  6],[333.62376238  17.37623762] ; [50.37623762  2.62376238],0
s7,1,0.034853,4.452381,[180 159] ; [19 32],[172.97692308 166.02307692] ; [26.02307692 24.97692308],0
p5,1,0.04896,3.876736,[ 55 297] ; [ 3 51],[ 50.28571429 301.71428571] ; [ 7.71428571 46.28571429],0
s5,1,0.057328,3.613059,[124 221] ; [12 41],[117.88944724 227.11055276] ; [18.11055276 34.88944724],0
d1,1,0.067894,3.333216,[218 138] ; [26 28],[211.86341463 144.13658537] ; [32.13658537 21.86341463],0
p7,1,0.090282,2.869334,[238 108] ; [29 22],[232.70025189 113.29974811] ; [34.29974811 16.70025189],0
a7,1,0.107431,2.591618,[259  96] ; [33 20],[254.06862745 100.93137255] ; [37.93137255 15.06862745],0
d4,1,0.116871,2.458757,[299  55] ; [41 13],[295.  59.] ; [45.  9.],0
s2,1,0.119171,2.428187,[184 169] ; [22 32],[178.66830467 174.33169533] ; [27.33169533 26.66830467],0
n4,1,0.150443,2.067751,[290  64] ; [39 14],[286.15724816  67.84275184] ; [42.84275184 10.15724816],0
a3,1,0.159257,1.981263,[267  86] ; [36 18],[262.7985258  90.2014742] ; [40.2014742 13.7985258],0
r3,1,0.162522,1.950603,[338  17] ; [48  5],[335.85784314  19.14215686] ; [50.14215686  2.85784314],0
v2,1,0.169595,1.886521,[244 100] ; [32 20],[239.75757576 104.24242424] ; [36.24242424 15.75757576],0
a6,1,0.170548,1.878121,[243 111] ; [32 22],[238.60294118 115.39705882] ; [36.39705882 17.60294118],0
a8,1,0.194876,1.680363,[ 56 262] ; [ 5 44],[ 52.85558583 265.14441417] ; [ 8.14441417 40.85558583],0
a1,1,0.197789,1.658624,[ 22 334] ; [ 1 53],[ 19.97073171 336.02926829] ; [ 3.02926829 50.97073171],0
u2,1,0.199625,1.645119,[56 32] ; [8 9],[53.63809524 34.36190476] ; [10.36190476  6.63809524],0
u3,1,0.263636,1.249564,[57 32] ; [9 9],[54.89719626 34.10280374] ; [11.10280374  6.89719626],0
a5,1,0.289596,1.121497,[274  82] ; [38 16],[270.90731707  85.09268293] ; [41.09268293 12.90731707],0
r1,1,0.462028,0.540976,[295  59] ; [42 11],[293.11547912  60.88452088] ; [43.88452088  9.11547912],0
n1,1,0.48084,0.496958,[29 31] ; [ 7 11],[27.69230769 32.30769231] ; [8.30769231 9.69230769],0
p1,1,0.488213,0.480462,[ 37 317] ; [ 4 50],[ 35.57352941 318.42647059] ; [ 5.42647059 48.57352941],0
s3,1,0.516472,0.420933,[191 158] ; [27 27],[188.78908189 160.21091811] ; [29.21091811 24.78908189],0
v3,1,0.540203,0.375164,[180 162] ; [25 27],[177.94416244 164.05583756] ; [27.05583756 24.94416244],0
n2,1,0.547928,0.361041,[46 14] ; [15  3],[46.92307692 13.07692308] ; [14.07692308  3.92307692],0
a4,1,0.55465,0.349053,[169 185] ; [23 30],[166.997543 187.002457] ; [25.002457 27.997543],0
n3,1,0.598837,0.276753,[44 15] ; [13  6],[43.11538462 15.88461538] ; [13.88461538  5.11538462],0
b3,1,0.606509,0.26529,[104 129] ; [14 21],[102.58955224 130.41044776] ; [15.41044776 19.58955224],0
b2,1,0.606509,0.26529,[104 129] ; [14 21],[102.58955224 130.41044776] ; [15.41044776 19.58955224],0
u4,1,0.615008,0.252947,[ 11 345] ; [ 1 53],[ 10.4195122 345.5804878] ; [ 1.5804878 52.4195122],0
u1,1,0.740131,0.110012,[ 66 290] ; [ 9 45],[ 65.12195122 290.87804878] ; [ 9.87804878 44.12195122],0
b5,1,0.76688,0.087888,[225 131] ; [33 21],[224.0195122 131.9804878] ; [33.9804878 20.0195122],0
a2,1,0.814883,0.054817,[ 91 265] ; [13 41],[ 90.30243902 265.69756098] ; [13.69756098 40.30243902],0
b4,1,0.858047,0.031991,[213 143] ; [33 21],[213.6 142.4] ; [32.4 21.6],0
d2,1,0.936216,0.006404,[173 182] ; [26 28],[172.72616137 182.27383863] ; [26.27383863 27.72616137],0
d3,1,0.992028,0.0001,[243 112] ; [37 17],[243.03178484 111.96821516] ; [36.96821516 17.03178484],0
