Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-06,20.22119,[45 33] ; [14 53],[31.73793103 46.26206897] ; [27.26206897 39.73793103],1
p4,1,5.5e-05,16.268105,[49 29] ; [20 48],[36.8630137 41.1369863] ; [32.1369863 35.8630137],1
b1,1,0.000221,13.639457,[52 27] ; [24 44],[40.84353741 38.15646259] ; [35.15646259 32.84353741],1
p6,1,0.002029,9.522917,[27 48] ; [ 9 58],[19.01408451 55.98591549] ; [16.98591549 50.01408451],0
p3,1,0.003872,8.342824,[38 40] ; [17 50],[29.5862069 48.4137931] ; [25.4137931 41.5862069],0
p11,1,0.005921,7.574121,[58 21] ; [35 33],[49.97959184 29.02040816] ; [43.02040816 24.97959184],0
n5,1,0.006586,7.382618,[39 39] ; [19 49],[30.98630137 47.01369863] ; [27.01369863 40.98630137],0
p2,1,0.007014,7.269385,[63 14] ; [42 26],[55.75862069 21.24137931] ; [49.24137931 18.75862069],0
p10,1,0.014362,5.993111,[54 24] ; [33 34],[46.8 31.2] ; [40.2 26.8],0
s6,1,0.015627,5.844414,[50 29] ; [29 38],[42.74657534 36.25342466] ; [36.25342466 30.74657534],0
s8,1,0.066394,3.369983,[31 48] ; [17 51],[25.79591837 53.20408163] ; [22.20408163 45.79591837],0
r4,1,0.080819,3.048358,[61 18] ; [60  8],[65.02721088 13.97278912] ; [55.97278912 12.02721088],0
b3,1,0.087264,2.924144,[ 9 39] ; [13 24],[12.42352941 35.57647059] ; [ 9.57647059 27.42352941],0
b2,1,0.087264,2.924144,[ 9 39] ; [13 24],[12.42352941 35.57647059] ; [ 9.57647059 27.42352941],0
s7,1,0.089298,2.886988,[31 44] ; [17 45],[26.27737226 48.72262774] ; [21.72262774 40.27737226],0
n2,1,0.090674,2.86237,[19  3] ; [19 10],[16.39215686  5.60784314] ; [21.60784314  7.39215686],0
v4,1,0.098506,2.729572,[72  5] ; [57 10],[68.97916667  8.02083333] ; [60.02083333  6.97916667],0
n1,1,0.10409,2.641726,[ 5 16] ; [13 15],[ 7.71428571 13.28571429] ; [10.28571429 17.71428571],0
r2,1,0.124156,2.36409,[65 12] ; [63  5],[67.97241379  9.02758621] ; [60.02758621  7.97241379],0
p5,1,0.14238,2.152046,[ 5 74] ; [ 1 66],[ 3.24657534 75.75342466] ; [ 2.75342466 64.24657534],0
d4,1,0.150989,2.062227,[57 20] ; [57 11],[60.53793103 16.46206897] ; [53.46206897 14.53793103],0
a2,1,0.165032,1.927501,[16 63] ; [ 8 60],[12.89795918 66.10204082] ; [11.10204082 56.89795918],0
a6,1,0.198121,1.656171,[56 22] ; [42 26],[52.35616438 25.64383562] ; [45.64383562 22.35616438],0
p1,1,0.219332,1.508739,[ 4 75] ; [ 7 60],[ 5.95205479 73.04794521] ; [ 5.04794521 61.95205479],0
b4,1,0.229006,1.447022,[41 38] ; [42 26],[44.60544218 34.39455782] ; [38.39455782 29.60544218],0
a1,1,0.23085,1.435614,[ 4 75] ; [ 1 67],[ 2.68707483 76.31292517] ; [ 2.31292517 65.68707483],0
s3,1,0.232196,1.427361,[45 32] ; [33 35],[41.42068966 35.57931034] ; [36.57931034 31.42068966],0
u1,1,0.240731,1.376311,[ 9 70] ; [ 4 64],[ 6.98639456 72.01360544] ; [ 6.01360544 61.98639456],0
