Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.1e-05,19.399419,[47  5] ; [15 17],[38.38095238 13.61904762] ; [23.61904762  8.38095238],1
r4,1,6.6e-05,15.917636,[45  8] ; [14 18],[36.78823529 16.21176471] ; [22.21176471  9.78823529],1
v4,1,7.8e-05,15.608208,[49  3] ; [19 13],[42.0952381  9.9047619] ; [25.9047619  6.0952381],1
p10,1,0.000164,14.201906,[40 13] ; [10 20],[31.92771084 21.07228916] ; [18.07228916 11.92771084],1
n6,1,0.000533,11.997629,[45  8] ; [16 16],[38.03529412 14.96470588] ; [22.96470588  9.03529412],1
s6,1,0.002928,8.85163,[32 20] ; [ 9 23],[25.38095238 26.61904762] ; [15.61904762 16.38095238],0
n3,1,0.003164,8.710139,[14  1] ; [7 9],[10.16129032  4.83870968] ; [10.83870968  5.16129032],0
r1,1,0.008073,7.017225,[37 16] ; [13 19],[31.17647059 21.82352941] ; [18.82352941 13.17647059],0
p3,1,0.009476,6.730769,[18 34] ; [ 3 29],[13. 39.] ; [ 8. 24.],0
p2,1,0.013591,6.09055,[36 17] ; [13 19],[30.55294118 22.44705882] ; [18.44705882 13.55294118],0
p9,1,0.01708,5.68815,[41 12] ; [15 14],[36.19512195 16.80487805] ; [19.80487805  9.19512195],0
b1,1,0.027488,4.85992,[14 39] ; [16 16],[18.70588235 34.29411765] ; [11.29411765 20.70588235],0
v2,1,0.031287,4.637136,[19 30] ; [ 5 26],[14.7 34.3] ; [ 9.3 21.7],0
u2,1,0.037203,4.341099,[10 15] ; [ 2 16],[ 6.97674419 18.02325581] ; [ 5.02325581 12.97674419],0
p4,1,0.045215,4.010586,[21 32] ; [ 6 26],[16.83529412 36.16470588] ; [10.16470588 21.83529412],0
v1,1,0.048286,3.9,[26 26] ; [ 9 23],[21.66666667 30.33333333] ; [13.33333333 18.66666667],0
a6,1,0.066059,3.378332,[34 19] ; [14 18],[29.92941176 23.07058824] ; [18.07058824 13.92941176],0
n2,1,0.100728,2.693981,[13  2] ; [11  7],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
u3,1,0.112206,2.522879,[13 12] ; [ 5 13],[10.46511628 14.53488372] ; [ 7.53488372 10.46511628],0
b5,1,0.118344,2.439101,[34 19] ; [15 17],[30.55294118 22.44705882] ; [18.44705882 13.55294118],0
p1,1,0.120382,2.412343,[ 4 49] ; [ 6 26],[ 6.23529412 46.76470588] ; [ 3.76470588 28.23529412],0
s5,1,0.188124,1.73225,[ 8 42] ; [ 2 30],[ 6.09756098 43.90243902] ; [ 3.90243902 28.09756098],0
r2,1,0.190257,1.715629,[47  6] ; [25  7],[44.89411765  8.10588235] ; [27.10588235  4.89411765],0
b4,1,0.225097,1.471576,[32 21] ; [15 17],[29.30588235 23.69411765] ; [17.69411765 14.30588235],0
s8,1,0.24731,1.338436,[14 39] ; [ 5 27],[11.84705882 41.15294118] ; [ 7.15294118 24.84705882],0
b2,1,0.249082,1.328445,[ 7 20] ; [ 8 11],[ 8.80434783 18.19565217] ; [ 6.19565217 12.80434783],0
b3,1,0.249082,1.328445,[ 7 20] ; [ 8 11],[ 8.80434783 18.19565217] ; [ 6.19565217 12.80434783],0
a5,1,0.275247,1.190412,[28 25] ; [13 19],[25.56470588 27.43529412] ; [15.43529412 16.56470588],0
s1,1,0.278412,1.174825,[ 3 49] ; [ 4 28],[ 4.33333333 47.66666667] ; [ 2.66666667 29.33333333],0
p8,1,0.3092,1.034091,[13 39] ; [ 5 27],[11.14285714 40.85714286] ; [ 6.85714286 25.14285714],0
s2,1,0.319459,0.991161,[16 34] ; [ 7 25],[14.02439024 35.97560976] ; [ 8.97560976 23.02439024],0
d5,1,0.344213,0.894676,[22 31] ; [10 22],[19.95294118 33.04705882] ; [12.04705882 19.95294118],0
s3,1,0.380609,0.768733,[21 29] ; [10 21],[19.13580247 30.86419753] ; [11.86419753 19.13580247],0
p5,1,0.401181,0.704783,[ 4 49] ; [ 1 31],[ 3.11764706 49.88235294] ; [ 1.88235294 30.11764706],0
s4,1,0.443153,0.588104,[10 43] ; [ 4 28],[ 8.72941176 44.27058824] ; [ 5.27058824 26.72941176],0
p6,1,0.463193,0.538168,[ 6 47] ; [ 2 29],[ 5.04761905 47.95238095] ; [ 2.95238095 28.04761905],0
n5,1,0.512176,0.429618,[38 15] ; [25  7],[39.28235294 13.71764706] ; [23.71764706  8.28235294],0
a2,1,0.517108,0.419658,[ 3 50] ; [ 3 29],[ 3.74117647 49.25882353] ; [ 2.25882353 29.74117647],0
s7,1,0.58734,0.294518,[15 37] ; [ 7 23],[13.95121951 38.04878049] ; [ 8.04878049 21.95121951],0
a3,1,0.589492,0.291139,[28 25] ; [14 16],[26.81927711 26.18072289] ; [15.18072289 14.81927711],0
p12,1,0.592787,0.286012,[ 3 50] ; [ 1 31],[ 2.49411765 50.50588235] ; [ 1.50588235 30.49411765],0
a4,1,0.613138,0.25563,[ 8 45] ; [ 6 25],[ 8.83333333 44.16666667] ; [ 5.16666667 25.83333333],0
d2,1,0.638208,0.221093,[14 39] ; [ 7 25],[13.09411765 39.90588235] ; [ 7.90588235 24.09411765],0
d3,1,0.648982,0.207186,[11 42] ; [ 8 24],[11.84705882 41.15294118] ; [ 7.15294118 24.84705882],0
a7,1,0.800269,0.064009,[25 28] ; [16 16],[25.56470588 27.43529412] ; [15.43529412 16.56470588],0
a8,1,0.816218,0.054016,[ 6 42] ; [ 3 25],[ 5.68421053 42.31578947] ; [ 3.31578947 24.68421053],0
v3,1,0.870536,0.026562,[14 37] ; [ 8 23],[13.68292683 37.31707317] ; [ 8.31707317 22.68292683],0
d1,1,0.875239,0.024651,[ 2 51] ; [ 1 31],[ 1.87058824 51.12941176] ; [ 1.12941176 30.87058824],0
n4,1,0.918053,0.010586,[37 16] ; [22 10],[36.78823529 16.21176471] ; [22.21176471  9.78823529],0
n1,1,0.948139,0.004231,[6 9] ; [ 7 11],[5.90909091 9.09090909] ; [ 7.09090909 10.90909091],0
