Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,32.878096,[17 31] ; [41  3],[30.26086957 17.73913043] ; [27.73913043 16.26086957],1
d4,1,0.0,25.872474,[24 24] ; [42  1],[34.81318681 13.18681319] ; [31.18681319 11.81318681],1
d2,1,2e-06,22.880339,[10 38] ; [31 13],[21.39130435 26.60869565] ; [19.60869565 24.39130435],1
d3,1,3e-06,22.016653,[20 28] ; [39  5],[30.7826087 17.2173913] ; [28.2173913 15.7826087],1
p10,1,0.002961,8.831332,[26 21] ; [37  7],[32.53846154 14.46153846] ; [30.46153846 13.53846154],0
a2,1,0.004685,7.997302,[ 1 47] ; [ 9 35],[ 5.2173913 42.7826087] ; [ 4.7826087 39.2173913],0
b2,1,0.010165,6.605701,[ 7 21] ; [17 12],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
b3,1,0.010165,6.605701,[ 7 21] ; [17 12],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
v2,1,0.011318,6.414769,[15 31] ; [25 17],[20.90909091 25.09090909] ; [19.09090909 22.90909091],0
s8,1,0.01797,5.599059,[ 8 40] ; [17 27],[13.04347826 34.95652174] ; [11.95652174 32.04347826],0
a4,1,0.023182,5.154784,[12 36] ; [21 23],[17.2173913 30.7826087] ; [15.7826087 28.2173913],0
n4,1,0.024329,5.071001,[29 19] ; [36  8],[33.91304348 14.08695652] ; [31.08695652 12.91304348],0
n5,1,0.027228,4.876291,[26 21] ; [34 10],[30.98901099 16.01098901] ; [29.01098901 14.98901099],0
a3,1,0.027228,4.876291,[26 21] ; [34 10],[30.98901099 16.01098901] ; [29.01098901 14.98901099],0
p8,1,0.027748,4.843667,[12 35] ; [21 23],[17.04395604 29.95604396] ; [15.95604396 28.04395604],0
n6,1,0.033089,4.541176,[27 21] ; [34 10],[31.82608696 16.17391304] ; [29.17391304 14.82608696],0
a5,1,0.037414,4.33145,[26 22] ; [33 11],[30.7826087 17.2173913] ; [28.2173913 15.7826087],0
v3,1,0.03853,4.281457,[10 36] ; [17 23],[14.44186047 31.55813953] ; [12.55813953 27.44186047],0
r1,1,0.052898,3.747149,[28 20] ; [34 10],[32.34782609 15.65217391] ; [29.65217391 14.34782609],0
a6,1,0.071298,3.252871,[25 23] ; [31 13],[29.2173913 18.7826087] ; [26.7826087 17.2173913],0
r2,1,0.073742,3.197689,[42  6] ; [41  1],[44.26666667  3.73333333] ; [38.73333333  3.26666667],0
p9,1,0.082156,3.021728,[29 19] ; [34 10],[32.86956522 15.13043478] ; [30.13043478 13.86956522],0
u1,1,0.137052,2.210754,[ 3 45] ; [ 7 37],[ 5.2173913 42.7826087] ; [ 4.7826087 39.2173913],0
b4,1,0.195849,1.673059,[23 25] ; [27 17],[26.08695652 21.91304348] ; [23.91304348 20.08695652],0
p11,1,0.197368,1.661741,[30 18] ; [33 11],[32.86956522 15.13043478] ; [30.13043478 13.86956522],0
s5,1,0.203138,1.619671,[ 5 42] ; [ 8 31],[ 7.10465116 39.89534884] ; [ 5.89534884 33.10465116],0
n3,1,0.2253,1.470289,[10  2] ; [8 5],[8.64 3.36] ; [9.36 3.64],0
p3,1,0.240499,1.377668,[17 31] ; [20 22],[19.73333333 28.26666667] ; [17.26666667 24.73333333],0
b5,1,0.292395,1.108561,[26 22] ; [19 25],[23.47826087 24.52173913] ; [21.52173913 22.47826087],0
u2,1,0.315814,1.006203,[ 9 13] ; [6 4],[10.3125 11.6875] ; [4.6875 5.3125],0
a7,1,0.328277,0.955683,[28 20] ; [30 14],[30.26086957 17.73913043] ; [27.73913043 16.26086957],0
p7,1,0.341439,0.905021,[29 16] ; [24 20],[26.79775281 18.20224719] ; [26.20224719 17.79775281],0
b1,1,0.342992,0.899215,[21 27] ; [15 29],[18.7826087 29.2173913] ; [17.2173913 26.7826087],0
