Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.97186,[244  26] ; [46 23],[230.97345133  39.02654867] ; [59.02654867  9.97345133],1
p7,1,9e-06,19.674799,[196  68] ; [32 37],[180.75675676  83.24324324] ; [47.24324324 21.75675676],1
b1,1,0.000172,14.118369,[ 96 176] ; [42 28],[109.75438596 162.24561404] ; [28.24561404 41.75438596],1
s1,1,0.002252,9.331488,[  8 262] ; [ 8 60],[ 12.78106509 257.21893491] ; [ 3.21893491 64.78106509],0
p8,1,0.002994,8.811112,[156 111] ; [27 43],[144.98813056 122.01186944] ; [38.01186944 31.98813056],0
a3,1,0.007404,7.172348,[230  41] ; [49 20],[222.37941176  48.62058824] ; [56.62058824 12.37941176],0
v2,1,0.007653,7.112817,[178  86] ; [34 34],[168.57831325  95.42168675] ; [43.42168675 24.57831325],0
p9,1,0.008869,6.849011,[245  24] ; [56 14],[238.84660767  30.15339233] ; [62.15339233  7.84660767],0
a5,1,0.017404,5.6552,[225  47] ; [49 21],[217.91812865  54.08187135] ; [56.08187135 13.91812865],0
r3,1,0.019677,5.440346,[264   7] ; [64  6],[260.6686217  10.3313783] ; [67.3313783  2.6686217],0
p3,1,0.021032,5.324149,[161 109] ; [31 39],[152.47058824 117.52941176] ; [39.52941176 30.47058824],0
v3,1,0.024766,5.04018,[137 123] ; [25 42],[128.80733945 131.19266055] ; [33.19266055 33.80733945],0
n6,1,0.0438,4.064267,[244  25] ; [55 12],[239.37797619  29.62202381] ; [59.62202381  7.37797619],0
n4,1,0.045449,4.001883,[241  31] ; [54 14],[236.  36.] ; [59.  9.],0
d4,1,0.053823,3.718193,[236  34] ; [54 15],[230.97345133  39.02654867] ; [59.02654867  9.97345133],0
p2,1,0.058125,3.590105,[234  37] ; [54 16],[228.8797654  42.1202346] ; [59.1202346 10.8797654],0
p12,1,0.062319,3.474563,[ 32 237] ; [ 3 67],[ 27.77286136 241.22713864] ; [ 7.22713864 62.77286136],0
n3,1,0.088283,2.90541,[34 13] ; [16 14],[30.51948052 16.48051948] ; [19.48051948 10.51948052],0
p4,1,0.158518,1.988304,[186  84] ; [42 28],[181.05882353  88.94117647] ; [46.94117647 23.05882353],0
p5,1,0.200493,1.638782,[ 52 215] ; [ 9 61],[ 48.32937685 218.67062315] ; [12.67062315 57.32937685],0
u2,1,0.224759,1.473724,[29 12] ; [11  9],[26.8852459 14.1147541] ; [13.1147541  6.8852459],0
b3,1,0.247399,1.337932,[100 109] ; [16 26],[ 96.58964143 112.41035857] ; [19.41035857 22.58964143],0
b2,1,0.247399,1.337932,[100 109] ; [16 26],[ 96.58964143 112.41035857] ; [19.41035857 22.58964143],0
d5,1,0.252483,1.309512,[227  43] ; [54 15],[223.80530973  46.19469027] ; [57.19469027 11.80530973],0
s3,1,0.329534,0.950728,[195  72] ; [47 23],[191.73293769  75.26706231] ; [50.26706231 19.73293769],0
u3,1,0.331768,0.941986,[31 11] ; [13  8],[29.33333333 12.66666667] ; [14.66666667  6.33333333],0
a6,1,0.335207,0.928676,[181  89] ; [42 27],[177.61061947  92.38938053] ; [45.38938053 23.61061947],0
r2,1,0.368281,0.809456,[257   9] ; [66  4],[255.70833333  10.29166667] ; [67.29166667  2.70833333],0
d1,1,0.372388,0.795682,[175  97] ; [41 29],[171.78947368 100.21052632] ; [44.21052632 25.78947368],0
b5,1,0.37314,0.793181,[151 121] ; [43 27],[154.29239766 117.70760234] ; [39.70760234 30.29239766],0
r1,1,0.374838,0.787564,[228  43] ; [61  8],[230.35  40.65] ; [58.65 10.35],0
p1,1,0.399903,0.708618,[ 26 245] ; [ 9 60],[ 27.89705882 243.10294118] ; [ 7.10294118 61.89705882],0
a1,1,0.413454,0.668846,[ 16 256] ; [ 6 64],[ 17.49707602 254.50292398] ; [ 4.50292398 65.49707602],0
s8,1,0.425501,0.635071,[190  79] ; [46 24],[187.26843658  81.73156342] ; [48.73156342 21.26843658],0
r4,1,0.43978,0.596857,[249  23] ; [62  8],[247.34502924  24.65497076] ; [63.65497076  6.34502924],0
n1,1,0.442501,0.589787,[24 23] ; [18 12],[25.63636364 21.36363636] ; [16.36363636 13.63636364],0
a8,1,0.534789,0.385284,[ 52 192] ; [11 51],[ 50.23529412 193.76470588] ; [12.76470588 49.23529412],0
d3,1,0.538319,0.378664,[191  80] ; [46 23],[188.90294118  82.09705882] ; [48.09705882 20.90294118],0
u4,1,0.542831,0.370318,[ 11 261] ; [ 4 66],[ 11.92982456 260.07017544] ; [ 3.07017544 66.92982456],0
n5,1,0.57866,0.308406,[226  44] ; [55 13],[224.46745562  45.53254438] ; [56.53254438 11.46745562],0
u1,1,0.606759,0.264922,[ 62 210] ; [18 52],[ 63.62573099 208.37426901] ; [16.37426901 53.62573099],0
v1,1,0.694694,0.154051,[159 101] ; [41 29],[157.57575758 102.42424242] ; [42.42424242 27.57575758],0
v4,1,0.704594,0.143736,[260   9] ; [67  3],[259.47787611   9.52212389] ; [67.52212389  2.47787611],0
n2,1,0.707387,0.140901,[37 11] ; [22  8],[36.30769231 11.69230769] ; [22.69230769  7.30769231],0
s2,1,0.735943,0.113724,[184  87] ; [49 21],[185.17008798  85.82991202] ; [47.82991202 22.17008798],0
s6,1,0.75555,0.096926,[217  51] ; [57 12],[217.89910979  50.10089021] ; [56.10089021 12.89910979],0
a2,1,0.827623,0.047415,[ 78 194] ; [21 49],[ 78.73684211 193.26315789] ; [20.26315789 49.73684211],0
b4,1,0.848205,0.036638,[155 117] ; [39 31],[154.29239766 117.70760234] ; [39.70760234 30.29239766],0
p6,1,0.885006,0.020917,[117 150] ; [30 40],[116.46587537 150.53412463] ; [30.53412463 39.46587537],0
a4,1,0.890535,0.018941,[133 138] ; [35 35],[133.51319648 137.48680352] ; [34.48680352 35.51319648],0
s5,1,0.910246,0.012708,[104 159] ; [27 40],[104.4030303 158.5969697] ; [26.5969697 40.4030303],0
d2,1,0.923058,0.009328,[151 120] ; [38 31],[150.64411765 120.35588235] ; [38.35588235 30.64411765],0
a7,1,0.938013,0.006048,[193  79] ; [50 20],[193.26315789  78.73684211] ; [49.73684211 20.26315789],0
