Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.4e-05,17.839064,[53  6] ; [58 42],[41.18867925 17.81132075] ; [69.81132075 30.18867925],1
p10,1,9.6e-05,15.208279,[47 10] ; [50 48],[35.67096774 21.32903226] ; [61.32903226 36.67096774],1
s5,1,0.000198,13.847949,[22 36] ; [12 85],[12.72258065 45.27741935] ; [21.27741935 75.72258065],1
r1,1,0.00033,12.890698,[47 12] ; [51 49],[36.36477987 22.63522013] ; [61.63522013 38.36477987],1
s8,1,0.00043,12.396074,[20 39] ; [11 89],[11.50314465 47.49685535] ; [19.49685535 80.50314465],1
p9,1,0.000816,11.204799,[50  8] ; [59 38],[40.78709677 17.21290323] ; [68.21290323 28.78709677],1
p3,1,0.001307,10.33289,[30 28] ; [26 73],[20.68789809 37.31210191] ; [35.31210191 63.68789809],0
p6,1,0.002159,9.409342,[21 37] ; [14 81],[13.26797386 44.73202614] ; [21.73202614 73.26797386],0
p2,1,0.009989,6.636933,[47 11] ; [60 38],[39.78205128 18.21794872] ; [67.21794872 30.78205128],0
r3,1,0.011471,6.390857,[53  6] ; [73 27],[46.75471698 12.24528302] ; [79.24528302 20.75471698],0
a8,1,0.015205,5.892561,[ 9 48] ; [ 4 89],[ 4.94 52.06] ; [ 8.06 84.94],0
d3,1,0.015733,5.832436,[29 30] ; [30 70],[21.89308176 37.10691824] ; [37.10691824 62.89308176],0
s7,1,0.018051,5.591219,[21 38] ; [17 75],[14.84768212 44.15231788] ; [23.15231788 68.84768212],0
s4,1,0.023413,5.137633,[12 47] ; [ 8 92],[ 7.42138365 51.57861635] ; [12.57861635 87.42138365],0
v4,1,0.024618,5.050533,[54  5] ; [76 22],[48.85350318 10.14649682] ; [81.14649682 16.85350318],0
p11,1,0.027948,4.831293,[47 12] ; [63 37],[40.81761006 18.18238994] ; [69.18238994 30.81761006],0
n5,1,0.034431,4.473193,[48 11] ; [65 34],[42.19620253 16.80379747] ; [70.80379747 28.19620253],0
p4,1,0.035908,4.401453,[31 28] ; [34 62],[24.74193548 34.25806452] ; [40.25806452 55.74193548],0
s3,1,0.039343,4.246008,[21 38] ; [20 77],[15.50641026 43.49358974] ; [25.49358974 71.50641026],0
r2,1,0.04938,3.86239,[53  5] ; [77 20],[48.64516129  9.35483871] ; [81.35483871 15.64516129],0
n6,1,0.050618,3.820863,[48 11] ; [67 33],[42.67295597 16.32704403] ; [72.32704403 27.67295597],0
