Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-05,19.457698,[39 42] ; [128  40],[54.3253012 26.6746988] ; [112.6746988  55.3253012],1
a4,1,3e-05,17.436975,[18 63] ; [84 84],[33.18072289 47.81927711] ; [68.81927711 99.18072289],1
d5,1,6e-05,16.110665,[48 33] ; [139  29],[60.8313253 20.1686747] ; [126.1686747  41.8313253],1
a6,1,9.1e-05,15.306505,[40 41] ; [125  43],[53.6746988 27.3253012] ; [111.3253012  56.6746988],1
n4,1,9.2e-05,15.290281,[46 35] ; [135  33],[58.87951807 22.12048193] ; [122.12048193  45.87951807],1
r1,1,0.0001,15.142193,[48 33] ; [138  30],[60.5060241 20.4939759] ; [125.4939759  42.5060241],1
d2,1,0.000127,14.684024,[21 59] ; [87 80],[34.97975709 45.02024291] ; [73.02024291 93.97975709],1
d1,1,0.000226,13.603515,[29 52] ; [102  66],[42.61445783 38.38554217] ; [88.38554217 79.61445783],1
n5,1,0.000444,12.338536,[42 38] ; [125  42],[54.08906883 25.91093117] ; [112.91093117  54.08906883],1
p10,1,0.000954,10.915452,[52 28] ; [139  27],[62.11382114 17.88617886] ; [128.88617886  37.11382114],1
d4,1,0.001247,10.419444,[52 28] ; [140  28],[61.93548387 18.06451613] ; [130.06451613  37.93548387],0
p3,1,0.001279,10.372206,[23 58] ; [83 83],[34.7611336 46.2388664] ; [71.2388664 94.7611336],0
u1,1,0.003167,8.708585,[ 2 79] ; [ 25 143],[ 8.78313253 72.21686747] ; [ 18.21686747 149.78313253],0
v1,1,0.004681,7.998721,[28 52] ; [89 75],[38.36065574 41.63934426] ; [78.63934426 85.36065574],0
p4,1,0.005719,7.636795,[30 50] ; [94 73],[40.16194332 39.83805668] ; [83.83805668 83.16194332],0
v2,1,0.006075,7.527869,[34 43] ; [102  60],[43.81589958 33.18410042] ; [92.18410042 69.81589958],0
r4,1,0.01252,6.235693,[62 19] ; [149  19],[68.63855422 12.36144578] ; [142.36144578  25.63855422],0
p2,1,0.017489,5.646673,[59 21] ; [143  23],[65.69105691 14.30894309] ; [136.30894309  29.69105691],0
d3,1,0.023677,5.118111,[43 38] ; [114  54],[51.07228916 29.92771084] ; [105.92771084  62.07228916],0
p8,1,0.028893,4.773968,[31 49] ; [89 77],[39.02439024 40.97560976] ; [80.97560976 85.02439024],0
n1,1,0.034924,4.448867,[12 13] ; [ 8 28],[ 8.19672131 16.80327869] ; [11.80327869 24.19672131],0
v3,1,0.052075,3.773365,[21 57] ; [64 97],[27.74058577 50.25941423] ; [ 57.25941423 103.74058577],0
s8,1,0.067692,3.338129,[12 69] ; [ 42 126],[17.56626506 63.43373494] ; [ 36.43373494 131.56626506],0
p5,1,0.196627,1.667253,[ 3 75] ; [ 14 154],[ 5.3902439 72.6097561] ; [ 11.6097561 156.3902439],0
b1,1,0.201408,1.632132,[26 55] ; [ 68 100],[30.57831325 50.42168675] ; [ 63.42168675 104.57831325],0
p9,1,0.224209,1.477228,[61 20] ; [136  30],[64.60323887 16.39676113] ; [132.39676113  33.60323887],0
p7,1,0.245358,1.349545,[42 36] ; [103  64],[46.16326531 31.83673469] ; [98.83673469 68.16326531],0
b5,1,0.26746,1.229726,[48 33] ; [87 81],[43.91566265 37.08433735] ; [91.08433735 76.91566265],0
r3,1,0.275866,1.187342,[74  6] ; [160   7],[75.78947368  4.21052632] ; [158.21052632   8.78947368],0
b2,1,0.286508,1.135959,[15 30] ; [46 62],[17.94117647 27.05882353] ; [43.05882353 64.94117647],0
b3,1,0.286508,1.135959,[15 30] ; [46 62],[17.94117647 27.05882353] ; [43.05882353 64.94117647],0
a1,1,0.29596,1.09231,[ 1 80] ; [  6 162],[ 2.27710843 78.72289157] ; [  4.72289157 163.27710843],0
r2,1,0.304434,1.054671,[72  9] ; [154  12],[74.11336032  6.88663968] ; [151.88663968  14.11336032],0
s4,1,0.322022,0.980718,[ 7 74] ; [  9 159],[ 5.20481928 75.79518072] ; [ 10.79518072 157.20481928],0
n3,1,0.335274,0.928421,[21  4] ; [28 10],[19.44444444  5.55555556] ; [29.55555556  8.44444444],0
s7,1,0.440002,0.596277,[17 63] ; [ 40 115],[19.40425532 60.59574468] ; [ 37.59574468 117.40425532],0
u3,1,0.503895,0.446723,[20 22] ; [22 18],[21.51219512 20.48780488] ; [20.48780488 19.51219512],0
