Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,27.375895,[49 11] ; [ 2 14],[40.26315789 19.73684211] ; [10.73684211  5.26315789],1
r3,1,1e-06,23.752328,[59  1] ; [9 7],[53.68421053  6.31578947] ; [14.31578947  1.68421053],1
r2,1,0.000354,12.762605,[58  2] ; [10  5],[54.4  5.6] ; [13.6  1.4],1
b1,1,0.002705,8.996212,[20 40] ; [12  4],[25.26315789 34.73684211] ; [6.73684211 9.26315789],0
a1,1,0.013968,6.042236,[ 3 57] ; [ 4 12],[ 5.52631579 54.47368421] ; [ 1.47368421 14.52631579],0
a7,1,0.024078,5.08897,[41 19] ; [ 6 10],[37.10526316 22.89473684] ; [9.89473684 6.10526316],0
s7,1,0.027556,4.855631,[31 29] ; [ 3 12],[27.2 32.8] ; [6.8 8.2],0
v4,1,0.03374,4.507843,[56  4] ; [12  4],[53.68421053  6.31578947] ; [14.31578947  1.68421053],0
p8,1,0.035677,4.412484,[24 35] ; [ 2 14],[20.45333333 38.54666667] ; [ 5.54666667 10.45333333],0
p11,1,0.062941,3.458144,[38 22] ; [ 6 10],[34.73684211 25.26315789] ; [9.26315789 6.73684211],0
n2,1,0.064838,3.409091,[20  5] ; [2 3],[18.33333333  6.66666667] ; [3.66666667 1.33333333],0
a6,1,0.10345,2.651541,[39 20] ; [7 9],[36.18666667 22.81333333] ; [9.81333333 6.18666667],0
s6,1,0.107775,2.586555,[36 24] ; [ 6 10],[33.15789474 26.84210526] ; [8.84210526 7.15789474],0
n6,1,0.110828,2.542373,[42 17] ; [8 8],[39.33333333 19.66666667] ; [10.66666667  5.33333333],0
d5,1,0.113655,2.502648,[45 14] ; [9 7],[42.48 16.52] ; [11.52  4.48],0
u3,1,0.151494,2.057143,[9 9] ; [1 5],[ 7.5 10.5] ; [2.5 3.5],0
p7,1,0.163425,1.942248,[30 29] ; [ 5 11],[27.53333333 31.46666667] ; [7.46666667 8.53333333],0
d3,1,0.188382,1.730226,[40 19] ; [8 8],[37.76 21.24] ; [10.24  5.76],0
s8,1,0.222696,1.486916,[25 35] ; [ 4 12],[22.89473684 37.10526316] ; [6.10526316 9.89473684],0
a4,1,0.234949,1.410646,[32 27] ; [ 6 10],[29.89333333 29.10666667] ; [8.10666667 7.89333333],0
d1,1,0.260393,1.266667,[32 28] ; [ 6 10],[30. 30.] ; [8. 8.],0
s2,1,0.26908,1.221429,[24 36] ; [ 4 12],[22.10526316 37.89473684] ; [ 5.89473684 10.10526316],0
a5,1,0.272444,1.204402,[39 21] ; [8 8],[37.10526316 22.89473684] ; [9.89473684 6.10526316],0
u2,1,0.278493,1.174428,[ 7 10] ; [1 5],[ 5.91304348 11.08695652] ; [2.08695652 3.91304348],0
