Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,3.1e-05,17.34893,[26 60] ; [29 13],[36.953125 49.046875] ; [18.046875 23.953125],1
r2,1,0.007442,7.162999,[79  6] ; [32 10],[74.29133858 10.70866142] ; [36.70866142  5.29133858],0
p9,1,0.007906,7.054705,[70 16] ; [25 17],[63.828125 22.171875] ; [31.171875 10.828125],0
v4,1,0.008411,6.943745,[82  3] ; [34  7],[78.25396825  6.74603175] ; [37.74603175  3.25396825],0
r4,1,0.013444,6.109777,[75 11] ; [29 13],[69.875 16.125] ; [34.125  7.875],0
u2,1,0.016602,5.737977,[14 16] ; [14  3],[17.87234043 12.12765957] ; [10.12765957  6.87234043],0
p10,1,0.029858,4.717458,[67 19] ; [25 17],[61.8125 24.1875] ; [30.1875 11.8125],0
p2,1,0.063426,3.445449,[74 11] ; [31 11],[70.27559055 14.72440945] ; [34.72440945  7.27559055],0
s1,1,0.067886,3.333405,[ 1 85] ; [ 3 39],[ 2.6875 83.3125] ; [ 1.3125 40.6875],0
a7,1,0.07322,3.209308,[62 23] ; [24 18],[57.55905512 27.44094488] ; [28.44094488 13.55905512],0
p11,1,0.079554,3.073983,[66 20] ; [26 16],[61.8125 24.1875] ; [30.1875 11.8125],0
s5,1,0.079596,3.073124,[28 54] ; [ 8 34],[23.80645161 58.19354839] ; [12.19354839 29.80645161],0
r3,1,0.108341,2.578259,[81  5] ; [36  6],[78.609375  7.390625] ; [38.390625  3.609375],0
v3,1,0.109914,2.55546,[25 57] ; [ 7 34],[21.33333333 60.66666667] ; [10.66666667 30.33333333],0
s4,1,0.128111,2.315245,[25 61] ; [ 7 35],[21.5 64.5] ; [10.5 31.5],0
s3,1,0.13057,2.285714,[38 46] ; [25 17],[42. 42.] ; [21. 21.],0
u3,1,0.152105,2.051016,[14 16] ; [11  5],[16.30434783 13.69565217] ; [8.69565217 7.30434783],0
a5,1,0.162308,1.952587,[58 28] ; [23 19],[54.421875 31.578125] ; [26.578125 15.421875],0
v2,1,0.166718,1.912211,[44 39] ; [15 23],[40.47107438 42.52892562] ; [18.52892562 19.47107438],0
d3,1,0.182788,1.774806,[58 27] ; [23 18],[54.64285714 30.35714286] ; [26.35714286 14.64285714],0
b4,1,0.211755,1.559387,[51 35] ; [20 22],[47.703125 38.296875] ; [23.296875 18.703125],0
d4,1,0.243262,1.361593,[67 19] ; [28 13],[64.33070866 21.66929134] ; [30.66929134 10.33070866],0
s7,1,0.259785,1.269905,[34 50] ; [11 26],[31.23966942 52.76033058] ; [13.76033058 23.23966942],0
b5,1,0.316935,1.001553,[55 31] ; [23 19],[52.40625 33.59375] ; [25.59375 16.40625],0
d2,1,0.344248,0.894546,[34 52] ; [13 29],[31.578125 54.421875] ; [15.421875 26.578125],0
d5,1,0.403587,0.697612,[57 28] ; [25 17],[54.88188976 30.11811024] ; [27.11811024 14.88188976],0
n1,1,0.420113,0.65,[ 5 21] ; [4 9],[ 6. 20.] ; [ 3. 10.],0
u1,1,0.430273,0.622087,[10 76] ; [ 3 39],[ 8.734375 77.265625] ; [ 4.265625 37.734375],0
v1,1,0.488447,0.479945,[37 46] ; [16 26],[35.192 47.808] ; [17.808 24.192],0
b3,1,0.537192,0.380769,[12 28] ; [ 6 20],[10.90909091 29.09090909] ; [ 7.09090909 18.90909091],0
b2,1,0.537192,0.380769,[12 28] ; [ 6 20],[10.90909091 29.09090909] ; [ 7.09090909 18.90909091],0
a3,1,0.569327,0.323811,[55 30] ; [25 17],[53.54330709 31.45669291] ; [26.45669291 15.54330709],0
p4,1,0.59509,0.282465,[49 37] ; [26 16],[50.390625 35.609375] ; [24.609375 17.390625],0
s6,1,0.606527,0.265263,[52 32] ; [24 18],[50.66666667 33.33333333] ; [25.33333333 16.66666667],0
p1,1,0.616188,0.251262,[ 6 79] ; [ 2 40],[ 5.35433071 79.64566929] ; [ 2.64566929 39.35433071],0
r1,1,0.622672,0.24213,[61 25] ; [28 14],[59.796875 26.203125] ; [29.203125 12.796875],0
a4,1,0.625102,0.238761,[27 59] ; [15 27],[28.21875 57.78125] ; [13.78125 28.21875],0
n5,1,0.644683,0.21267,[33 53] ; [14 27],[31.82677165 54.17322835] ; [15.17322835 25.82677165],0
d1,1,0.683824,0.165853,[36 50] ; [16 26],[34.9375 51.0625] ; [17.0625 24.9375],0
n3,1,0.694618,0.154132,[21  5] ; [12  2],[21.45  4.55] ; [11.55  2.45],0
a1,1,0.726953,0.121928,[ 3 83] ; [ 2 40],[ 3.359375 82.640625] ; [ 1.640625 40.359375],0
p8,1,0.732019,0.117266,[51 35] ; [23 18],[50.11023622 35.88976378] ; [23.88976378 17.11023622],0
p5,1,0.744424,0.106276,[ 5 81] ; [ 3 38],[ 5.41732283 80.58267717] ; [ 2.58267717 38.41732283],0
a8,1,0.754632,0.09768,[ 5 76] ; [ 3 36],[ 5.4 75.6] ; [ 2.6 36.4],0
p6,1,0.810581,0.057445,[30 55] ; [15 25],[30.6 54.4] ; [14.4 25.6],0
a6,1,0.881324,0.022288,[50 36] ; [25 17],[50.390625 35.609375] ; [24.609375 17.390625],0
s2,1,0.886841,0.02025,[38 48] ; [18 24],[37.625 48.375] ; [18.375 23.625],0
a2,1,0.886841,0.02025,[11 75] ; [ 5 37],[10.75 75.25] ; [ 5.25 36.75],0
p3,1,0.896975,0.016766,[42 44] ; [20 22],[41.65625 44.34375] ; [20.34375 21.65625],0
n2,1,0.91133,0.012401,[19  7] ; [10  4],[18.85  7.15] ; [10.15  3.85],0
s8,1,0.929978,0.007722,[29 56] ; [14 28],[28.77952756 56.22047244] ; [14.22047244 27.77952756],0
