Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.433799,[92 10] ; [23 21],[80.34246575 21.65753425] ; [34.65753425  9.34246575],1
n6,1,0.000213,13.712027,[89 12] ; [27 17],[80.8 20.2] ; [35.2  8.8],1
b1,1,0.00693,7.291028,[50 52] ; [11 33],[42.61643836 59.38356164] ; [18.38356164 25.61643836],0
p10,1,0.016639,5.734013,[85 15] ; [29 14],[79.72027972 20.27972028] ; [34.27972028  8.72027972],0
s4,1,0.023165,5.156113,[19 82] ; [16 28],[24.37931034 76.62068966] ; [10.62068966 33.37931034],0
s8,1,0.024166,5.082701,[73 29] ; [23 21],[67.06849315 34.93150685] ; [28.93150685 15.06849315],0
u2,1,0.038434,4.285714,[ 8 12] ; [8 2],[10.66666667  9.33333333] ; [5.33333333 4.66666667],0
s2,1,0.046098,3.977999,[75 27] ; [25 19],[69.8630137 32.1369863] ; [30.1369863 13.8630137],0
p11,1,0.083437,2.996643,[79 23] ; [28 16],[74.75342466 27.24657534] ; [32.24657534 11.75342466],0
v4,1,0.107147,2.595811,[96  6] ; [37  6],[93.55862069  8.44137931] ; [39.44137931  3.55862069],0
a5,1,0.110606,2.545535,[78 24] ; [28 16],[74.05479452 27.94520548] ; [31.94520548 12.05479452],0
d3,1,0.112075,2.524716,[57 44] ; [31 13],[61.29655172 39.70344828] ; [26.70344828 17.29655172],0
a2,1,0.112134,2.523878,[26 76] ; [ 6 38],[22.35616438 79.64383562] ; [ 9.64383562 34.35616438],0
n3,1,0.113647,2.502766,[18 12] ; [11  2],[20.23255814  9.76744186] ; [8.76744186 4.23255814],0
p7,1,0.114405,2.492288,[53 41] ; [18 25],[48.71532847 45.28467153] ; [22.28467153 20.71532847],0
a7,1,0.150181,2.070416,[64 38] ; [33 11],[67.76712329 34.23287671] ; [29.23287671 14.76712329],0
a8,1,0.152711,2.044961,[19 73] ; [ 4 35],[16.15267176 75.84732824] ; [ 6.84732824 32.15267176],0
v3,1,0.161812,1.957207,[47 53] ; [14 27],[43.26241135 56.73758865] ; [17.73758865 23.26241135],0
s3,1,0.164223,1.934907,[77 23] ; [29 15],[73.61111111 26.38888889] ; [32.38888889 11.61111111],0
u1,1,0.174619,1.842836,[24 78] ; [ 6 38],[20.95890411 81.04109589] ; [ 9.04109589 34.95890411],0
a4,1,0.178751,1.80798,[47 55] ; [15 29],[43.31506849 58.68493151] ; [18.68493151 25.31506849],0
r1,1,0.186561,1.744569,[84 18] ; [32 12],[81.04109589 20.95890411] ; [34.95890411  9.04109589],0
p9,1,0.218309,1.51545,[84 15] ; [32 10],[81.44680851 17.55319149] ; [34.55319149  7.44680851],0
b5,1,0.284785,1.144115,[63 39] ; [23 21],[60.08219178 41.91780822] ; [25.91780822 18.08219178],0
d1,1,0.309419,1.033156,[58 44] ; [21 23],[55.19178082 46.80821918] ; [23.80821918 20.19178082],0
d2,1,0.340293,0.909329,[50 51] ; [18 26],[47.36551724 53.63448276] ; [20.63448276 23.36551724],0
n1,1,0.375399,0.785714,[15 15] ; [5 9],[13.63636364 16.36363636] ; [6.36363636 7.63636364],0
a3,1,0.397716,0.715221,[82 19] ; [33 11],[80.10344828 20.89655172] ; [34.89655172  9.10344828],0
s6,1,0.397716,0.715221,[82 19] ; [33 11],[80.10344828 20.89655172] ; [34.89655172  9.10344828],0
r2,1,0.42178,0.645351,[97  4] ; [39  3],[96.05594406  4.94405594] ; [39.94405594  2.05594406],0
b4,1,0.427591,0.629358,[53 49] ; [26 18],[55.19178082 46.80821918] ; [23.80821918 20.19178082],0
s1,1,0.46086,0.543804,[ 8 93] ; [ 2 42],[ 6.96551724 94.03448276] ; [ 3.03448276 40.96551724],0
p1,1,0.561077,0.337843,[10 92] ; [ 3 41],[ 9.08219178 92.91780822] ; [ 3.91780822 40.08219178],0
p2,1,0.574234,0.315649,[72 30] ; [29 15],[70.56164384 31.43835616] ; [30.43835616 13.56164384],0
d4,1,0.579832,0.306507,[81 20] ; [37  7],[82.19310345 18.80689655] ; [35.80689655  8.19310345],0
r3,1,0.584184,0.299519,[94  7] ; [42  2],[94.73103448  6.26896552] ; [41.26896552  2.73103448],0
n2,1,0.647141,0.209524,[24  6] ; [12  2],[24.54545455  5.45454545] ; [11.45454545  2.54545455],0
v2,1,0.702162,0.146232,[59 40] ; [23 18],[57.98571429 41.01428571] ; [24.01428571 16.98571429],0
