Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000212,13.72375,[ 3 43] ; [6 6],[ 7.13793103 38.86206897] ; [ 1.86206897 10.13793103],1
a3,1,0.007658,7.111806,[22 23] ; [11  1],[26.05263158 18.94736842] ; [6.94736842 5.05263158],0
v1,1,0.029608,4.731912,[10 36] ; [6 5],[12.9122807 33.0877193] ; [3.0877193 7.9122807],0
s6,1,0.051096,3.805124,[10 36] ; [6 6],[12.68965517 33.31034483] ; [3.31034483 8.68965517],0
s5,1,0.060687,3.518519,[ 5 40] ; [4 8],[ 7.10526316 37.89473684] ; [ 1.89473684 10.10526316],0
n4,1,0.07332,3.207077,[32 14] ; [5 7],[29.34482759 16.65517241] ; [7.65517241 4.34482759],0
p11,1,0.137486,2.205869,[16 30] ; [7 5],[18.24137931 27.75862069] ; [4.75862069 7.24137931],0
d1,1,0.137486,2.205869,[16 30] ; [7 5],[18.24137931 27.75862069] ; [4.75862069 7.24137931],0
n5,1,0.137486,2.205869,[30 16] ; [5 7],[27.75862069 18.24137931] ; [7.24137931 4.75862069],0
n6,1,0.157479,1.998264,[18 27] ; [7 4],[20.08928571 24.91071429] ; [4.91071429 6.08928571],0
v2,1,0.168078,1.9,[13 32] ; [6 6],[15. 30.] ; [4. 8.],0
s2,1,0.224706,1.47406,[ 8 38] ; [4 8],[ 9.51724138 36.48275862] ; [2.48275862 9.51724138],0
b1,1,0.244766,1.352933,[22 24] ; [8 4],[23.79310345 22.20689655] ; [6.20689655 5.79310345],0
r3,1,0.273124,1.200988,[22 23] ; [8 4],[23.68421053 21.31578947] ; [6.31578947 5.68421053],0
p10,1,0.287572,1.130952,[15 30] ; [6 6],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
a5,1,0.30264,1.062525,[23 23] ; [8 4],[24.5862069 21.4137931] ; [6.4137931 5.5862069],0
r1,1,0.333283,0.9361,[16 30] ; [6 6],[17.44827586 28.55172414] ; [4.55172414 7.44827586],0
r2,1,0.335375,0.92803,[25 19] ; [8 3],[26.4 17.6] ; [6.6 4.4],0
d3,1,0.358228,0.844095,[20 26] ; [7 5],[21.4137931 24.5862069] ; [5.5862069 6.4137931],0
p9,1,0.382193,0.763636,[18 27] ; [6 5],[19.28571429 25.71428571] ; [4.71428571 6.28571429],0
d2,1,0.391905,0.733025,[20 25] ; [7 5],[21.31578947 23.68421053] ; [5.68421053 6.31578947],0
s3,1,0.397498,0.715883,[13 32] ; [5 7],[14.21052632 30.78947368] ; [3.78947368 8.21052632],0
p3,1,0.403233,0.698664,[10 36] ; [4 8],[11.10344828 34.89655172] ; [2.89655172 9.10344828],0
s1,1,0.419403,0.651988,[ 4 42] ; [ 2 10],[ 4.75862069 41.24137931] ; [ 1.24137931 10.75862069],0
n3,1,0.420345,0.649351,[ 8 12] ; [3 2],[ 8.8 11.2] ; [2.2 2.8],0
d5,1,0.442839,0.588915,[25 21] ; [8 4],[26.17241379 19.82758621] ; [6.82758621 5.17241379],0
p6,1,0.45199,0.565657,[ 4 40] ; [ 2 10],[ 4.71428571 39.28571429] ; [ 1.28571429 10.71428571],0
r4,1,0.506886,0.44049,[11 35] ; [4 8],[11.89655172 34.10344828] ; [3.10344828 8.89655172],0
d4,1,0.520207,0.413484,[30 16] ; [9 3],[30.93103448 15.06896552] ; [8.06896552 3.93103448],0
b2,1,0.522166,0.409613,[10 19] ; [5 6],[10.875 18.125] ; [4.125 6.875],0
b3,1,0.522166,0.409613,[10 19] ; [5 6],[10.875 18.125] ; [4.125 6.875],0
u1,1,0.578779,0.308213,[ 2 44] ; [ 1 11],[ 2.37931034 43.62068966] ; [ 0.62068966 11.37931034],0
b5,1,0.606921,0.264683,[23 23] ; [5 7],[22.20689655 23.79310345] ; [5.79310345 6.20689655],0
p7,1,0.616954,0.250173,[12 34] ; [4 8],[12.68965517 33.31034483] ; [3.31034483 8.68965517],0
a1,1,0.655561,0.198961,[ 6 40] ; [ 1 11],[ 5.55172414 40.44827586] ; [ 1.44827586 10.55172414],0
n1,1,0.663674,0.189091,[ 8 12] ; [3 3],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
p2,1,0.696584,0.15205,[16 29] ; [5 7],[16.57894737 28.42105263] ; [4.42105263 7.57894737],0
a7,1,0.703245,0.145118,[22 24] ; [5 7],[21.4137931 24.5862069] ; [5.5862069 6.4137931],0
b4,1,0.712441,0.135851,[28 18] ; [8 4],[28.55172414 17.44827586] ; [7.44827586 4.55172414],0
v3,1,0.719741,0.128741,[ 6 40] ; [ 1 10],[ 5.64912281 40.35087719] ; [1.35087719 9.64912281],0
p4,1,0.731008,0.118188,[13 33] ; [4 8],[13.48275862 32.51724138] ; [3.51724138 8.48275862],0
p1,1,0.745825,0.105072,[ 6 40] ; [ 2 10],[ 6.34482759 39.65517241] ; [ 1.65517241 10.34482759],0
a4,1,0.764926,0.089412,[13 32] ; [4 8],[13.42105263 31.57894737] ; [3.57894737 8.42105263],0
a8,1,0.780557,0.077614,[ 5 40] ; [ 1 11],[ 4.73684211 40.26315789] ; [ 1.26315789 10.73684211],0
