Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.001045,10.745614,[ 2 18] ; [4 1],[ 4.8 15.2] ; [1.2 3.8],0
b2,1,0.001045,10.745614,[ 2 18] ; [4 1],[ 4.8 15.2] ; [1.2 3.8],0
r1,1,0.016186,5.782557,[ 4 26] ; [5 5],[ 6.75 23.25] ; [2.25 7.75],0
a3,1,0.016367,5.763001,[14 16] ; [9 1],[17.25 12.75] ; [5.75 4.25],0
v2,1,0.025347,5.0,[ 9 21] ; [7 3],[12. 18.] ; [4. 6.],0
a4,1,0.055633,3.663004,[ 8 22] ; [6 4],[10.5 19.5] ; [3.5 6.5],0
a5,1,0.055633,3.663004,[17 13] ; [9 1],[19.5 10.5] ; [6.5 3.5],0
v1,1,0.066515,3.367003,[11 19] ; [7 3],[13.5 16.5] ; [4.5 5.5],0
u1,1,0.08311,3.003003,[ 1 29] ; [2 8],[ 2.25 27.75] ; [0.75 9.25],0
p4,1,0.111017,2.539683,[23  7] ; [5 5],[21.  9.] ; [7. 3.],0
s4,1,0.205903,1.6,[ 9 21] ; [1 9],[ 7.5 22.5] ; [2.5 7.5],0
p5,1,0.229654,1.443001,[ 4 26] ; [3 7],[ 5.25 24.75] ; [1.75 8.25],0
d2,1,0.250829,1.318681,[ 9 21] ; [5 5],[10.5 19.5] ; [3.5 6.5],0
n6,1,0.255034,1.295517,[21  8] ; [9 1],[22.30769231  6.69230769] ; [7.69230769 2.30769231],0
n3,1,0.263552,1.25,[5 5] ; [4 1],[6. 4.] ; [3. 2.],0
n1,1,0.263552,1.25,[3 7] ; [3 2],[4. 6.] ; [2. 3.],0
s5,1,0.266521,1.234568,[ 8 19] ; [1 8],[ 6.75 20.25] ; [2.25 6.75],0
s2,1,0.292425,1.108421,[14 16] ; [6 3],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
p9,1,0.306677,1.044932,[23  7] ; [6 4],[21.75  8.25] ; [7.25 2.75],0
n4,1,0.329804,0.949668,[19 11] ; [8 2],[20.25  9.75] ; [6.75 3.25],0
p1,1,0.407626,0.685714,[ 3 27] ; [2 8],[ 3.75 26.25] ; [1.25 8.75],0
s7,1,0.451259,0.567488,[12 17] ; [4 3],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
p6,1,0.503445,0.447667,[11 18] ; [5 5],[11.8974359 17.1025641] ; [4.1025641 5.8974359],0
p2,1,0.511936,0.430108,[24  6] ; [7 3],[23.25  6.75] ; [7.75 2.25],0
p7,1,0.523593,0.40681,[17 12] ; [7 3],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
n5,1,0.523593,0.40681,[17 12] ; [7 3],[17.84615385 11.15384615] ; [6.15384615 3.84615385],0
v4,1,0.542227,0.371429,[20 10] ; [5 4],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
a6,1,0.571608,0.32,[18 12] ; [7 3],[18.75 11.25] ; [6.25 3.75],0
b1,1,0.571608,0.32,[18 12] ; [7 3],[18.75 11.25] ; [6.25 3.75],0
d5,1,0.67329,0.177778,[22  8] ; [8 2],[22.5  7.5] ; [7.5 2.5],0
n2,1,0.679708,0.170455,[7 3] ; [4 1],[7.33333333 2.66666667] ; [3.66666667 1.33333333],0
d3,1,0.701883,0.14652,[19 11] ; [7 3],[19.5 10.5] ; [6.5 3.5],0
p11,1,0.701883,0.14652,[20 10] ; [6 4],[19.5 10.5] ; [6.5 3.5],0
s3,1,0.702782,0.145594,[15 14] ; [4 5],[14.5 14.5] ; [4.5 4.5],0
d1,1,0.713628,0.13468,[13 17] ; [5 5],[13.5 16.5] ; [4.5 5.5],0
b5,1,0.713628,0.13468,[16 14] ; [6 4],[16.5 13.5] ; [5.5 4.5],0
s6,1,0.769943,0.085526,[15 15] ; [5 4],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
p10,1,0.809423,0.058163,[18 10] ; [6 4],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
s8,1,0.849286,0.036111,[ 9 21] ; [3 6],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
r3,1,0.854928,0.033429,[19 11] ; [6 3],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
a7,1,0.854953,0.033417,[16 14] ; [5 5],[15.75 14.25] ; [5.25 4.75],0
r2,1,0.968358,0.001573,[17 11] ; [6 4],[16.94736842 11.05263158] ; [6.05263158 3.94736842],0
s1,1,1.0,0.0,[ 3 27] ; [1 9],[ 3. 27.] ; [1. 9.],0
p8,1,1.0,0.0,[15 15] ; [5 5],[15. 15.] ; [5. 5.],0
b4,1,1.0,0.0,[15 15] ; [5 5],[15. 15.] ; [5. 5.],0
