Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8e-06,19.981125,[224  80] ; [20 28],[210.72727273  93.27272727] ; [33.27272727 14.72727273],1
s5,1,1e-05,19.439321,[159 141] ; [ 9 39],[144.82758621 155.17241379] ; [23.17241379 24.82758621],1
s3,1,0.000108,14.983359,[282  25] ; [36 13],[274.23033708  32.76966292] ; [43.76966292  5.23033708],1
s8,1,0.000143,14.464672,[207 102] ; [19 30],[195.06703911 113.93296089] ; [30.93296089 18.06703911],1
p9,1,0.000206,13.772219,[284  23] ; [37 12],[276.81741573  30.18258427] ; [44.18258427  4.81741573],1
p4,1,0.00469,7.995362,[214  94] ; [24 25],[205.33333333 102.66666667] ; [32.66666667 16.33333333],0
b5,1,0.01583,5.821683,[196 115] ; [22 27],[188.32777778 122.67222222] ; [29.67222222 19.32777778],0
p6,1,0.01661,5.737082,[143 162] ; [14 35],[135.26836158 169.73163842] ; [21.73163842 27.26836158],0
s4,1,0.028249,4.81282,[ 74 231] ; [ 5 44],[ 68.06497175 236.93502825] ; [10.93502825 38.06497175],0
a2,1,0.031649,4.617384,[ 90 221] ; [ 7 42],[ 83.79722222 227.20277778] ; [13.20277778 35.79722222],0
n6,1,0.034923,4.448937,[277  31] ; [39 10],[272.62745098  35.37254902] ; [43.37254902  5.62745098],0
a5,1,0.038639,4.276663,[244  66] ; [32 17],[238.32869081  71.67130919] ; [37.67130919 11.32869081],0
p5,1,0.04061,4.192205,[ 48 259] ; [ 2 44],[ 43.48441926 263.51558074] ; [ 6.51558074 39.48441926],0
a4,1,0.056133,3.648097,[153 157] ; [17 32],[146.79665738 163.20334262] ; [23.20334262 25.79665738],0
r4,1,0.084693,2.972456,[289  22] ; [42  7],[285.94722222  25.05277778] ; [45.05277778  3.94722222],0
p8,1,0.093777,2.808308,[182 123] ; [23 26],[176.62429379 128.37570621] ; [28.37570621 20.62429379],0
r1,1,0.09933,2.716267,[258  52] ; [36 13],[253.8718663  56.1281337] ; [40.1281337  8.8718663],0
a3,1,0.114628,2.489229,[240  69] ; [33 16],[235.63407821  73.36592179] ; [37.36592179 11.63407821],0
d5,1,0.153316,2.038949,[259  50] ; [37 12],[255.48603352  53.51396648] ; [40.51396648  8.48603352],0
p2,1,0.163494,1.941613,[268  41] ; [38 10],[264.85714286  44.14285714] ; [41.14285714  6.85714286],0
d1,1,0.167577,1.904482,[209 102] ; [28 21],[204.74166667 106.25833333] ; [32.25833333 16.74166667],0
