Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-05,16.460478,[ 1 10] ; [56 22],[7.04494382 3.95505618] ; [49.95505618 28.04494382],1
s2,1,0.000105,15.04968,[ 1 10] ; [55 24],[6.84444444 4.15555556] ; [49.15555556 29.84444444],1
s7,1,0.002184,9.388165,[4 7] ; [59 15],[8.15294118 2.84705882] ; [54.84705882 19.15294118],0
p6,1,0.011823,6.337158,[3 8] ; [52 26],[6.79775281 4.20224719] ; [48.20224719 29.79775281],0
n4,1,0.041531,4.1542,[8 3] ; [73  6],[9.9 1.1] ; [71.1  7.9],0
v3,1,0.056395,3.640342,[9 1] ; [46 32],[6.25 3.75] ; [48.75 29.25],0
n5,1,0.068686,3.314154,[8 3] ; [72  7],[9.77777778 1.22222222] ; [70.22222222  8.77777778],0
v1,1,0.101561,2.680859,[10  1] ; [52 26],[7.66292135 3.33707865] ; [54.33707865 23.66292135],0
b5,1,0.168774,1.893802,[3 8] ; [39 40],[5.13333333 5.86666667] ; [36.86666667 42.13333333],0
p8,1,0.185813,1.75051,[7 4] ; [64 15],[8.67777778 2.32222222] ; [62.32222222 16.67777778],0
a5,1,0.205977,1.599478,[10  1] ; [58 21],[8.31111111 2.68888889] ; [59.68888889 19.31111111],0
a3,1,0.263513,1.250205,[10  1] ; [60 19],[8.55555556 2.44444444] ; [61.44444444 17.55555556],0
b4,1,0.423148,0.641555,[5 6] ; [46 33],[6.23333333 4.76666667] ; [44.76666667 34.23333333],0
p4,1,0.446226,0.58022,[9 2] ; [69  8],[9.75 1.25] ; [68.25  8.75],0
p12,1,0.448201,0.575197,[2 9] ; [23 56],[3.05555556 7.94444444] ; [21.94444444 57.05555556],0
r1,1,0.471766,0.517837,[10  1] ; [65 14],[9.16666667 1.83333333] ; [65.83333333 13.16666667],0
s8,1,0.483098,0.491863,[6 5] ; [51 27],[7.04494382 3.95505618] ; [49.95505618 28.04494382],0
b2,1,0.492331,0.471429,[6 4] ; [27 29],[5. 5.] ; [28. 28.],0
b3,1,0.492331,0.471429,[6 4] ; [27 29],[5. 5.] ; [28. 28.],0
a2,1,0.527764,0.398695,[ 1 10] ; [13 66],[1.71111111 9.28888889] ; [12.28888889 66.71111111],0
a8,1,0.536317,0.382409,[1 9] ; [13 60],[1.68674699 8.31325301] ; [12.31325301 60.68674699],0
a7,1,0.559353,0.340826,[7 4] ; [57 22],[7.82222222 3.17777778] ; [56.17777778 22.82222222],0
p1,1,0.559353,0.340826,[4 7] ; [22 57],[3.17777778 7.82222222] ; [22.82222222 56.17777778],0
n6,1,0.593117,0.285503,[10  1] ; [74  4],[10.38202247  0.61797753] ; [73.61797753  4.38202247],0
d5,1,0.715758,0.132593,[9 2] ; [60 18],[8.52808989 2.47191011] ; [60.47191011 17.52808989],0
d2,1,0.717427,0.130972,[6 5] ; [38 40],[5.43820225 5.56179775] ; [38.56179775 39.43820225],0
s5,1,0.750882,0.100791,[7 4] ; [52 24],[7.45977011 3.54022989] ; [51.54022989 24.45977011],0
a4,1,0.754665,0.097652,[5 6] ; [32 47],[4.52222222 6.47777778] ; [32.47777778 46.52222222],0
a6,1,0.768046,0.086985,[7 4] ; [46 32],[6.5505618 4.4494382] ; [46.4494382 31.5505618],0
d3,1,0.775124,0.081613,[7 4] ; [53 25],[7.41573034 3.58426966] ; [52.58426966 25.41573034],0
p3,1,0.784261,0.07495,[9 2] ; [61 17],[8.65168539 2.34831461] ; [61.34831461 16.65168539],0
b1,1,0.792733,0.069045,[4 7] ; [32 47],[4.4 6.6] ; [31.6 47.4],0
p7,1,0.841658,0.039909,[9 2] ; [61 16],[8.75 2.25] ; [61.25 15.75],0
d1,1,0.854505,0.033626,[7 4] ; [48 31],[6.72222222 4.27777778] ; [48.27777778 30.72222222],0
r2,1,0.862206,0.030125,[10  1] ; [73  6],[10.14444444  0.85555556] ; [72.85555556  6.14444444],0
d4,1,0.899993,0.015793,[9 2] ; [65 13],[9.14606742 1.85393258] ; [64.85393258 13.14606742],0
