Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.366152,[20  4] ; [31 76],[ 9.34351145 14.65648855] ; [41.65648855 65.34351145],1
s2,1,2e-06,22.497182,[17  7] ; [23 84],[ 7.32824427 16.67175573] ; [32.67175573 74.32824427],1
s7,1,0.000127,14.684789,[13  9] ; [20 83],[ 5.808 16.192] ; [27.192 75.808],1
b4,1,0.000525,12.024206,[21  3] ; [52 55],[13.3740458 10.6259542] ; [59.6259542 47.3740458],1
s4,1,0.000725,11.424193,[11 13] ; [16 91],[ 4.94656489 19.05343511] ; [22.05343511 84.94656489],1
s3,1,0.006115,7.51604,[14 10] ; [30 74],[ 8.25 15.75] ; [35.75 68.25],0
r4,1,0.012237,6.276247,[18  6] ; [50 57],[12.45801527 11.54198473] ; [55.54198473 51.45801527],0
p6,1,0.013811,6.062116,[11 13] ; [22 81],[ 6.23622047 17.76377953] ; [26.76377953 76.23622047],0
s1,1,0.014027,6.034774,[ 3 21] ; [  2 105],[ 0.91603053 23.08396947] ; [  4.08396947 102.91603053],0
a1,1,0.02827,4.811497,[ 5 19] ; [  7 100],[ 2.19847328 21.80152672] ; [ 9.80152672 97.19847328],0
p1,1,0.038592,4.278748,[ 5 18] ; [ 8 99],[ 2.3 20.7] ; [10.7 96.3],0
n6,1,0.065483,3.392756,[21  3] ; [73 33],[17.35384615  6.64615385] ; [76.64615385 29.35384615],0
p5,1,0.075252,3.164572,[ 3 20] ; [  4 102],[ 1.24806202 21.75193798] ; [  5.75193798 100.24806202],0
b5,1,0.087693,2.916212,[10 14] ; [65 42],[13.74045802 10.25954198] ; [61.25954198 45.74045802],0
n2,1,0.179912,1.798347,[9 2] ; [24 16],[7.11764706 3.88235294] ; [25.88235294 14.11764706],0
d3,1,0.188354,1.730447,[15  9] ; [50 55],[12.09302326 11.90697674] ; [52.90697674 52.09302326],0
u3,1,0.190016,1.717491,[5 5] ; [15 37],[3.22580645 6.77419355] ; [16.77419355 35.22580645],0
p12,1,0.201327,1.632723,[ 2 22] ; [  3 104],[ 0.91603053 23.08396947] ; [  4.08396947 102.91603053],0
a6,1,0.210881,1.565366,[11 13] ; [64 43],[13.74045802 10.25954198] ; [61.25954198 45.74045802],0
d4,1,0.212382,1.555115,[17  7] ; [61 46],[14.29007634  9.70992366] ; [63.70992366 43.29007634],0
r2,1,0.223325,1.482879,[20  4] ; [74 30],[17.625  6.375] ; [76.375 27.625],0
p10,1,0.257327,1.283083,[16  7] ; [59 45],[13.58267717  9.41732283] ; [61.41732283 42.58267717],0
a5,1,0.266508,1.234635,[14 10] ; [49 58],[11.54198473 12.45801527] ; [51.45801527 55.54198473],0
u2,1,0.28045,1.164906,[6 4] ; [22 31],[4.44444444 5.55555556] ; [23.55555556 29.44444444],0
a8,1,0.29789,1.083617,[ 1 22] ; [12 91],[ 2.37301587 20.62698413] ; [10.62698413 92.37301587],0
d5,1,0.299956,1.074391,[17  7] ; [63 43],[14.76923077  9.23076923] ; [65.23076923 40.76923077],0
s8,1,0.302821,1.061728,[ 7 17] ; [21 86],[ 5.12977099 18.87022901] ; [22.87022901 84.12977099],0
p3,1,0.310384,1.02904,[ 9 15] ; [29 78],[ 6.96183206 17.03816794] ; [31.03816794 75.96183206],0
p11,1,0.315197,1.008775,[17  7] ; [64 43],[14.83969466  9.16030534] ; [66.16030534 40.83969466],0
d1,1,0.353809,0.859749,[10 14] ; [34 73],[ 8.0610687 15.9389313] ; [35.9389313 71.0610687],0
d2,1,0.362088,0.83064,[11 13] ; [38 68],[ 9.04615385 14.95384615] ; [39.95384615 66.04615385],0
n5,1,0.411035,0.675806,[13 11] ; [67 39],[14.76923077  9.23076923] ; [65.23076923 40.76923077],0
r3,1,0.421272,0.646764,[20  4] ; [81 26],[18.50381679  5.49618321] ; [82.49618321 24.50381679],0
v4,1,0.4233,0.641135,[19  4] ; [80 27],[17.51538462  5.48461538] ; [81.48461538 25.51538462],0
n4,1,0.426846,0.631389,[12 12] ; [63 44],[13.74045802 10.25954198] ; [61.25954198 45.74045802],0
v2,1,0.448394,0.574707,[ 6 16] ; [21 84],[ 4.67716535 17.32283465] ; [22.32283465 82.67716535],0
n1,1,0.459489,0.547138,[5 6] ; [13 26],[3.96 7.04] ; [14.04 24.96],0
p4,1,0.46317,0.538224,[11 13] ; [40 66],[ 9.41538462 14.58461538] ; [41.58461538 64.41538462],0
p9,1,0.465061,0.533686,[17  6] ; [68 35],[15.51587302  7.48412698] ; [69.48412698 33.51587302],0
a3,1,0.485771,0.485881,[14 10] ; [54 53],[12.45801527 11.54198473] ; [55.54198473 51.45801527],0
p7,1,0.600749,0.273868,[12 11] ; [48 56],[10.86614173 12.13385827] ; [49.13385827 54.86614173],0
a4,1,0.62458,0.239483,[ 8 16] ; [30 76],[ 7.01538462 16.98461538] ; [30.98461538 75.01538462],0
v3,1,0.699861,0.148617,[ 3 18] ; [19 88],[ 3.609375 17.390625] ; [18.390625 88.609375],0
a2,1,0.773091,0.083136,[ 2 22] ; [11 96],[ 2.38167939 21.61832061] ; [10.61832061 96.38167939],0
b2,1,0.814672,0.054945,[ 6 10] ; [22 42],[ 5.6 10.4] ; [22.4 41.6],0
b3,1,0.814672,0.054945,[ 6 10] ; [22 42],[ 5.6 10.4] ; [22.4 41.6],0
p8,1,0.831575,0.045233,[ 8 15] ; [39 66],[ 8.4453125 14.5546875] ; [38.5546875 66.4453125],0
a7,1,0.839975,0.040774,[13 11] ; [55 51],[12.55384615 11.44615385] ; [55.44615385 50.55384615],0
p2,1,0.855929,0.032964,[15  8] ; [67 39],[14.62015504  8.37984496] ; [67.37984496 38.62015504],0
b1,1,0.893809,0.017819,[10 14] ; [43 64],[ 9.70992366 14.29007634] ; [43.29007634 63.70992366],0
u1,1,0.921152,0.009798,[ 1 23] ; [  4 103],[ 0.91603053 23.08396947] ; [  4.08396947 102.91603053],0
n3,1,0.933204,0.007025,[7 4] ; [26 14],[7.11764706 3.88235294] ; [25.88235294 14.11764706],0
