Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.004193,8.19831,[13  5] ; [40 70],[ 7.453125 10.546875] ; [45.546875 64.453125],0
s6,1,0.007212,7.219424,[14  4] ; [48 62],[8.71875 9.28125] ; [53.28125 56.71875],0
p3,1,0.007668,7.109449,[11  7] ; [32 78],[ 6.046875 11.953125] ; [36.953125 73.046875],0
u3,1,0.020363,5.380546,[8 1] ; [17 20],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
a6,1,0.023719,5.115098,[ 7 11] ; [74 37],[11.30232558  6.69767442] ; [69.69767442 41.30232558],0
p4,1,0.027655,4.849431,[11  7] ; [37 72],[ 6.80314961 11.19685039] ; [41.19685039 67.80314961],0
s2,1,0.041259,4.165359,[10  8] ; [34 76],[ 6.1875 11.8125] ; [37.8125 72.1875],0
r1,1,0.060411,3.526065,[10  8] ; [85 26],[13.25581395  4.74418605] ; [81.74418605 29.25581395],0
n4,1,0.082568,3.013611,[ 8 10] ; [73 38],[11.30232558  6.69767442] ; [69.69767442 41.30232558],0
n5,1,0.10281,2.661402,[ 6 12] ; [60 51],[9.20930233 8.79069767] ; [56.79069767 54.20930233],0
p8,1,0.105867,2.614865,[9 9] ; [34 77],[ 6. 12.] ; [37. 74.],0
s7,1,0.148487,2.087723,[7 8] ; [30 76],[ 4.58677686 10.41322314] ; [32.41322314 73.58677686],0
a7,1,0.156972,2.003157,[10  8] ; [80 31],[12.55813953  5.44186047] ; [77.44186047 33.55813953],0
a3,1,0.170881,1.875196,[9 9] ; [74 37],[11.58139535  6.41860465] ; [71.41860465 39.58139535],0
a5,1,0.170881,1.875196,[9 9] ; [74 37],[11.58139535  6.41860465] ; [71.41860465 39.58139535],0
p11,1,0.177558,1.817942,[ 6 12] ; [56 55],[8.65116279 9.34883721] ; [53.34883721 57.65116279],0
v2,1,0.201939,1.628294,[ 6 12] ; [54 55],[8.50393701 9.49606299] ; [51.49606299 57.50393701],0
p6,1,0.212968,1.551136,[ 5 13] ; [17 91],[ 3.14285714 14.85714286] ; [18.85714286 89.14285714],0
n1,1,0.222225,1.489947,[4 4] ; [10 26],[2.54545455 5.45454545] ; [11.45454545 24.54545455],0
s5,1,0.287407,1.131726,[ 5 12] ; [20 89],[ 3.37301587 13.62698413] ; [21.62698413 87.37301587],0
r4,1,0.301993,1.065372,[11  7] ; [81 30],[12.8372093  5.1627907] ; [79.1627907 31.8372093],0
a2,1,0.302482,1.063218,[ 2 16] ; [24 87],[ 3.62790698 14.37209302] ; [22.37209302 88.62790698],0
r3,1,0.333492,0.93529,[14  4] ; [96 15],[15.34883721  2.65116279] ; [94.65116279 16.34883721],0
b3,1,0.338094,0.917647,[2 8] ; [24 44],[3.33333333 6.66666667] ; [22.66666667 45.33333333],0
b2,1,0.338094,0.917647,[2 8] ; [24 44],[3.33333333 6.66666667] ; [22.66666667 45.33333333],0
s1,1,0.358052,0.844714,[ 2 16] ; [  6 104],[ 1.125 16.875] ; [  6.875 103.125],0
v4,1,0.37846,0.775697,[16  2] ; [89 22],[14.65116279  3.34883721] ; [90.34883721 20.65116279],0
u2,1,0.412886,0.670476,[6 3] ; [18 17],[4.90909091 4.09090909] ; [19.09090909 15.90909091],0
d5,1,0.422093,0.64448,[16  2] ; [90 21],[14.79069767  3.20930233] ; [91.20930233 19.79069767],0
b1,1,0.429201,0.624985,[12  6] ; [63 48],[10.46511628  7.53488372] ; [64.53488372 46.46511628],0
p2,1,0.441698,0.591868,[11  7] ; [57 54],[9.48837209 8.51162791] ; [58.51162791 52.48837209],0
v1,1,0.451726,0.566318,[ 5 13] ; [41 70],[ 6.41860465 11.58139535] ; [39.58139535 71.41860465],0
a1,1,0.457929,0.550951,[ 2 16] ; [  7 104],[ 1.25581395 16.74418605] ; [  7.74418605 103.25581395],0
p7,1,0.488353,0.480154,[9 9] ; [45 64],[ 7.65354331 10.34645669] ; [46.34645669 62.65354331],0
b4,1,0.495288,0.465019,[13  5] ; [71 40],[11.72093023  6.27906977] ; [72.27906977 38.72093023],0
s8,1,0.513447,0.427036,[ 5 13] ; [23 87],[ 3.9375 14.0625] ; [24.0625 85.9375],0
d1,1,0.515352,0.423185,[12  6] ; [65 46],[10.74418605  7.25581395] ; [66.25581395 44.74418605],0
d3,1,0.541351,0.373042,[13  5] ; [72 39],[11.86046512  6.13953488] ; [73.13953488 37.86046512],0
d2,1,0.554809,0.348772,[11  7] ; [59 51],[9.84375 8.15625] ; [60.15625 49.84375],0
r2,1,0.579283,0.307395,[14  3] ; [96 14],[14.72440945  2.27559055] ; [95.27559055 14.72440945],0
b5,1,0.643167,0.214625,[9 9] ; [62 49],[9.90697674 8.09302326] ; [61.09302326 49.90697674],0
p10,1,0.652892,0.202273,[ 4 14] ; [30 80],[ 4.78125 13.21875] ; [29.21875 80.78125],0
a4,1,0.667138,0.184968,[ 8 10] ; [43 67],[ 7.171875 10.828125] ; [43.828125 66.171875],0
n6,1,0.720502,0.128012,[11  7] ; [72 38],[11.671875  6.328125] ; [71.328125 38.671875],0
v3,1,0.875825,0.024419,[ 6 12] ; [34 74],[ 5.71428571 12.28571429] ; [34.28571429 73.71428571],0
u1,1,0.883181,0.021591,[ 3 15] ; [17 94],[ 2.79069767 15.20930233] ; [17.20930233 93.79069767],0
n3,1,0.944724,0.004807,[4 4] ; [19 18],[4.08888889 3.91111111] ; [18.91111111 18.08888889],0
n2,1,0.985741,0.000319,[5 3] ; [23 14],[4.97777778 3.02222222] ; [23.02222222 13.97777778],0
