Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-05,19.585386,[44 83] ; [28  9],[55.75609756 71.24390244] ; [16.24390244 20.75609756],1
b1,1,0.00108,10.685624,[58 73] ; [ 6 33],[49.31764706 81.68235294] ; [14.68235294 24.31764706],0
p12,1,0.010894,6.482531,[  1 130] ; [ 3 35],[  3.10059172 127.89940828] ; [ 0.89940828 37.10059172],0
v1,1,0.011238,6.427299,[41 89] ; [21 18],[47.69230769 82.30769231] ; [14.30769231 24.69230769],0
u2,1,0.015452,5.864208,[28 34] ; [10  2],[31.83783784 30.16216216] ; [6.16216216 5.83783784],0
r1,1,0.044359,4.042855,[77 53] ; [30  9],[82.30769231 47.69230769] ; [24.69230769 14.30769231],0
s6,1,0.046483,3.963993,[52 79] ; [22 16],[57.36094675 73.63905325] ; [16.63905325 21.36094675],0
a3,1,0.061719,3.490583,[68 62] ; [27 12],[73.07692308 56.92307692] ; [21.92307692 17.07692308],0
p6,1,0.068617,3.315807,[ 27 100] ; [ 3 34],[ 23.23170732 103.76829268] ; [ 6.76829268 30.23170732],0
s7,1,0.088287,2.905341,[ 16 109] ; [ 9 28],[ 19.29012346 105.70987654] ; [ 5.70987654 31.29012346],0
b4,1,0.12231,2.387483,[69 62] ; [26 13],[73.20588235 57.79411765] ; [21.79411765 17.20588235],0
a2,1,0.126238,2.338165,[ 12 119] ; [ 7 32],[ 14.64117647 116.35882353] ; [ 4.35882353 34.64117647],0
d4,1,0.140389,2.173685,[95 35] ; [33  6],[98.46153846 31.53846154] ; [29.53846154  9.46153846],0
a7,1,0.150217,2.070048,[84 46] ; [30  9],[87.69230769 42.30769231] ; [26.30769231 12.69230769],0
p2,1,0.153082,2.041273,[92 39] ; [22 16],[88.36686391 42.63313609] ; [25.63313609 12.36686391],0
p5,1,0.191079,1.709277,[  4 126] ; [ 3 35],[  5.41666667 124.58333333] ; [ 1.58333333 36.41666667],0
r4,1,0.191784,1.703863,[90 41] ; [31  8],[93.24117647 37.75882353] ; [27.75882353 11.24117647],0
b3,1,0.211199,1.563186,[12 50] ; [ 6 12],[13.95 48.05] ; [ 4.05 13.95],0
b2,1,0.211199,1.563186,[12 50] ; [ 6 12],[13.95 48.05] ; [ 4.05 13.95],0
p4,1,0.219428,1.508111,[44 86] ; [17 21],[47.20238095 82.79761905] ; [13.79761905 24.20238095],0
a6,1,0.223891,1.479255,[73 58] ; [26 13],[76.28823529 54.71176471] ; [22.71176471 16.28823529],0
r2,1,0.226751,1.461128,[106  24] ; [35  4],[108.46153846  21.53846154] ; [32.53846154  6.46153846],0
d3,1,0.229727,1.442548,[79 50] ; [28 11],[82.16071429 46.83928571] ; [24.83928571 14.16071429],0
u1,1,0.374474,0.788763,[  8 123] ; [ 4 35],[  9.24705882 121.75294118] ; [ 2.75294118 36.24705882],0
p10,1,0.397775,0.715041,[75 54] ; [25 13],[77.24550898 51.75449102] ; [22.75449102 15.24550898],0
d1,1,0.471842,0.517658,[52 79] ; [18 21],[53.94117647 77.05882353] ; [16.05882353 22.94117647],0
n5,1,0.491178,0.473944,[44 85] ; [11 28],[42.23214286 86.76785714] ; [12.76785714 26.23214286],0
u3,1,0.499439,0.456128,[35 27] ; [5 6],[33.97260274 28.02739726] ; [6.02739726 4.97260274],0
d5,1,0.509617,0.434854,[86 44] ; [28 11],[87.69230769 42.30769231] ; [26.30769231 12.69230769],0
p11,1,0.543023,0.369965,[81 50] ; [22 17],[79.37058824 51.62941176] ; [23.62941176 15.37058824],0
s5,1,0.545578,0.365299,[ 29 100] ; [ 7 32],[ 27.64285714 101.35714286] ; [ 8.35714286 30.64285714],0
v4,1,0.548689,0.359671,[111  18] ; [35  4],[112.10714286  16.89285714] ; [33.89285714  5.10714286],0
a5,1,0.563315,0.333997,[67 64] ; [22 17],[68.58235294 62.41764706] ; [20.41764706 18.58235294],0
n2,1,0.563502,0.333677,[36 19] ; [8 6],[35.07246377 19.92753623] ; [8.92753623 5.07246377],0
n3,1,0.563502,0.333677,[36 19] ; [8 6],[35.07246377 19.92753623] ; [8.92753623 5.07246377],0
p9,1,0.597544,0.278716,[84 44] ; [26 11],[85.33333333 42.66666667] ; [24.66666667 12.33333333],0
p8,1,0.62664,0.236644,[45 83] ; [15 23],[46.26506024 81.73493976] ; [13.73493976 24.26506024],0
s3,1,0.659767,0.193807,[45 85] ; [15 24],[46.15384615 83.84615385] ; [13.84615385 25.15384615],0
b5,1,0.663682,0.189081,[79 52] ; [22 17],[77.82941176 53.17058824] ; [23.17058824 15.82941176],0
s4,1,0.740705,0.109508,[ 27 104] ; [ 9 30],[ 27.74117647 103.25882353] ; [ 8.25882353 30.74117647],0
r3,1,0.778221,0.07932,[111  19] ; [34  5],[111.53846154  18.46153846] ; [33.46153846  5.53846154],0
s2,1,0.780574,0.077602,[37 93] ; [12 27],[37.69230769 92.30769231] ; [11.30769231 27.69230769],0
a4,1,0.850567,0.035493,[39 92] ; [11 28],[38.52941176 92.47058824] ; [11.47058824 27.52941176],0
