Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,30.699766,[169 157] ; [ 75 183],[136.20547945 189.79452055] ; [107.79452055 150.20547945],1
v2,1,0.0,29.821513,[232  98] ; [122 132],[200.03424658 129.96575342] ; [153.96575342 100.03424658],1
p6,1,7e-06,20.313173,[148 182] ; [ 71 193],[121.66666667 208.33333333] ; [ 97.33333333 166.66666667],1
p9,1,1.6e-05,18.593084,[298  35] ; [200  62],[278.71260504  54.28739496] ; [219.28739496  42.71260504],1
n5,1,2.5e-05,17.767871,[278  59] ; [178  85],[256.12  80.88] ; [199.88  63.12],1
p4,1,7.9e-05,15.584361,[233 104] ; [141 123],[209.71381032 127.28618968] ; [164.28618968  99.71381032],1
p3,1,0.000159,14.268343,[194 143] ; [111 153],[171.02329451 165.97670549] ; [133.97670549 130.02329451],1
s8,1,0.0006,11.776339,[181 155] ; [105 159],[160.16 175.84] ; [125.84 138.16],1
s5,1,0.000779,11.291085,[139 190] ; [ 74 183],[119.58532423 209.41467577] ; [ 93.41467577 163.58532423],1
p10,1,0.001033,10.767872,[288  46] ; [200  64],[272.56187291  61.43812709] ; [215.43812709  48.56187291],0
p8,1,0.002158,9.409767,[196 135] ; [122 140],[177.50084317 153.49915683] ; [140.49915683 121.50084317],0
p2,1,0.00217,9.40008,[299  37] ; [212  53],[285.68386023  50.31613977] ; [225.31613977  39.68386023],0
p7,1,0.00258,9.083205,[230  95] ; [153 107],[212.77777778 112.22222222] ; [170.22222222  89.77777778],0
b3,1,0.002936,8.846788,[ 90 125] ; [ 41 112],[ 76.53532609 138.46467391] ; [54.46467391 98.53532609],0
b2,1,0.002936,8.846788,[ 90 125] ; [ 41 112],[ 76.53532609 138.46467391] ; [54.46467391 98.53532609],0
a5,1,0.003931,8.315605,[284  56] ; [196  69],[269.75206612  70.24793388] ; [210.24793388  54.75206612],0
p12,1,0.007704,7.100959,[ 35 299] ; [ 12 251],[ 26.29480737 307.70519263] ; [ 20.70519263 242.29480737],0
