Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00116,10.552961,[566 124] ; [8 8],[560.99150142 129.00849858] ; [13.00849858  2.99150142],0
p9,1,0.01478,5.942463,[584 104] ; [10  6],[580.5 107.5] ; [13.5  2.5],0
n5,1,0.016103,5.791646,[530 166] ; [8 8],[525.91011236 170.08988764] ; [12.08988764  3.91011236],0
a6,1,0.019253,5.478358,[495 204] ; [7 9],[490.76643357 208.23356643] ; [11.23356643  4.76643357],0
s2,1,0.025685,4.977069,[369 325] ; [ 4 12],[364.5943662 329.4056338] ; [8.4056338 7.5943662],0
d1,1,0.044883,4.023034,[437 266] ; [ 6 10],[433.1418637 269.8581363] ; [9.8581363 6.1418637],0
a5,1,0.047758,3.918473,[543 159] ; [9 7],[539.69916435 162.30083565] ; [12.30083565  3.69916435],0
p4,1,0.048957,3.876816,[428 265] ; [ 6 10],[424.20592384 268.79407616] ; [9.79407616 6.20592384],0
d3,1,0.055829,3.657152,[503 197] ; [8 8],[499.58100559 200.41899441] ; [11.41899441  4.58100559],0
v3,1,0.057573,3.605956,[284 385] ; [ 3 13],[280.29635036 388.70364964] ; [6.70364964 9.29635036],0
p7,1,0.06253,3.468983,[449 230] ; [7 9],[445.50215827 233.49784173] ; [10.49784173  5.50215827],0
a2,1,0.064175,3.426057,[189 514] ; [ 1 15],[185.77190542 517.22809458] ; [ 4.22809458 11.77190542],0
a4,1,0.074637,3.177984,[332 367] ; [ 4 12],[328.48111888 370.51888112] ; [7.51888112 8.48111888],0
n6,1,0.076376,3.140373,[592 105] ; [11  5],[589.4684432 107.5315568] ; [13.5315568  2.4684432],0
p11,1,0.083806,2.989501,[563 140] ; [10  6],[560.24895688 142.75104312] ; [12.75104312  3.24895688],0
p2,1,0.105729,2.616934,[584 112] ; [11  5],[581.62921348 114.37078652] ; [13.37078652  2.62921348],0
a3,1,0.115692,2.474692,[516 183] ; [9 7],[513.25174825 185.74825175] ; [11.74825175  4.25174825],0
r2,1,0.12104,2.403813,[690  10] ; [15  1],[689.24581006  10.75418994] ; [15.75418994  0.24581006],0
v1,1,0.13017,2.290475,[387 298] ; [ 6 10],[384.0299572 300.9700428] ; [8.9700428 7.0299572],0
b1,1,0.13401,2.245423,[266 437] ; [9 7],[268.88038943 434.11961057] ; [6.11961057 9.88038943],0
s7,1,0.172882,1.85777,[341 326] ; [ 5 10],[338.39002933 328.60997067] ; [7.60997067 7.39002933],0
b5,1,0.201967,1.628092,[419 284] ; [7 9],[416.5201669 286.4798331] ; [9.4798331 6.5201669],0
s8,1,0.210401,1.568668,[327 368] ; [ 5 11],[324.52883263 370.47116737] ; [7.47116737 8.52883263],0
u3,1,0.220791,1.499224,[121  64] ; [3 4],[119.47916667  65.52083333] ; [4.52083333 2.47916667],0
a7,1,0.25374,1.302592,[526 175] ; [10  6],[524.0390516 176.9609484] ; [11.9609484  4.0390516],0
s3,1,0.257215,1.283685,[399 290] ; [7 9],[396.7858156 292.2141844] ; [9.2141844 6.7858156],0
p3,1,0.277764,1.177999,[357 340] ; [ 6 10],[354.85413745 342.14586255] ; [8.14586255 7.85413745],0
u4,1,0.30089,1.070243,[ 16 687] ; [ 1 15],[ 16.6216968 686.3783032] ; [ 0.3783032 15.6216968],0
p6,1,0.30982,1.031441,[257 430] ; [ 4 12],[255.05974395 431.94025605] ; [ 5.94025605 10.05974395],0
n4,1,0.313647,1.015256,[554 146] ; [11  5],[552.37430168 147.62569832] ; [12.62569832  3.37430168],0
s5,1,0.378172,0.776637,[240 433] ; [ 4 12],[238.33381713 434.66618287] ; [ 5.66618287 10.33381713],0
u2,1,0.387692,0.746169,[109  75] ; [3 4],[107.89528796  76.10471204] ; [4.10471204 2.89528796],0
a8,1,0.567349,0.327138,[ 93 540] ; [ 3 12],[ 93.77777778 539.22222222] ; [ 2.22222222 12.77777778],0
b2,1,0.590948,0.288866,[163 262] ; [3 7],[162.18390805 262.81609195] ; [3.81609195 6.18390805],0
b3,1,0.590948,0.288866,[163 262] ; [3 7],[162.18390805 262.81609195] ; [3.81609195 6.18390805],0
n1,1,0.64386,0.213729,[54 86] ; [2 2],[54.44444444 85.55555556] ; [1.55555556 2.44444444],0
s4,1,0.678022,0.172361,[113 577] ; [ 2 14],[112.39376771 577.60623229] ; [ 2.60623229 13.39376771],0
d4,1,0.703505,0.144851,[587 112] ; [14  2],[587.55104895 111.44895105] ; [13.44895105  2.55104895],0
b4,1,0.70374,0.144611,[406 297] ; [10  6],[406.74269819 296.25730181] ; [9.25730181 6.74269819],0
p8,1,0.711052,0.137228,[375 311] ; [8 8],[374.27065527 311.72934473] ; [8.72934473 7.27065527],0
s6,1,0.770044,0.08545,[482 205] ; [10  5],[481.48717949 205.51282051] ; [10.51282051  4.48717949],0
v2,1,0.782756,0.076027,[401 271] ; [9 7],[400.46511628 271.53488372] ; [9.53488372 6.46511628],0
p5,1,0.891202,0.01871,[ 79 614] ; [ 2 14],[ 79.17207334 613.82792666] ; [ 1.82792666 14.17207334],0
d5,1,0.914601,0.0115,[576 124] ; [13  3],[575.83798883 124.16201117] ; [13.16201117  2.83798883],0
d2,1,0.954938,0.003193,[355 345] ; [8 8],[354.88826816 345.11173184] ; [8.11173184 7.88826816],0
n2,1,0.980802,0.000579,[105  36] ; [3 1],[105.02068966  35.97931034] ; [2.97931034 1.02068966],0
