Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000258,13.349994,[14 11] ; [12 56],[ 6.98924731 18.01075269] ; [19.01075269 48.98924731],1
s7,1,0.000383,12.615641,[15  8] ; [16 50],[ 8.01123596 14.98876404] ; [22.98876404 43.01123596],1
s6,1,0.004706,7.98891,[17  7] ; [25 42],[11.07692308 12.92307692] ; [30.92307692 36.07692308],0
p7,1,0.005729,7.633522,[18  7] ; [27 41],[12.09677419 12.90322581] ; [32.90322581 35.09677419],0
d5,1,0.00911,6.801061,[19  6] ; [31 37],[13.44086022 11.55913978] ; [36.55913978 31.44086022],0
p4,1,0.010698,6.514733,[17  8] ; [26 42],[11.55913978 13.44086022] ; [31.44086022 36.55913978],0
p3,1,0.012166,6.286452,[14 11] ; [19 49],[ 8.87096774 16.12903226] ; [24.12903226 43.87096774],0
p8,1,0.018254,5.5716,[14 11] ; [20 48],[ 9.13978495 15.86021505] ; [24.86021505 43.13978495],0
v3,1,0.019556,5.451079,[ 9 15] ; [10 57],[ 5.01098901 18.98901099] ; [13.98901099 53.01098901],0
p11,1,0.024701,5.044698,[20  5] ; [37 31],[15.32258065  9.67741935] ; [41.67741935 26.32258065],0
r2,1,0.031267,4.638242,[22  3] ; [43 23],[17.85714286  7.14285714] ; [47.14285714 18.85714286],0
d1,1,0.033772,4.506191,[12 13] ; [17 51],[ 7.79569892 17.20430108] ; [21.20430108 46.79569892],0
s2,1,0.037926,4.308328,[14 11] ; [22 46],[ 9.67741935 15.32258065] ; [26.32258065 41.67741935],0
v2,1,0.042644,4.109465,[12 11] ; [19 47],[ 8.01123596 14.98876404] ; [22.98876404 43.01123596],0
u2,1,0.045657,3.994223,[6 3] ; [11 25],[3.4 5.6] ; [13.6 22.4],0
p9,1,0.054804,3.688054,[21  4] ; [41 24],[17.22222222  7.77777778] ; [44.77777778 20.22222222],0
s5,1,0.067872,3.333742,[ 8 15] ; [11 55],[ 4.91011236 18.08988764] ; [14.08988764 51.91011236],0
v4,1,0.101766,2.677648,[22  3] ; [48 19],[19.02173913  5.97826087] ; [50.97826087 16.02173913],0
n1,1,0.105023,2.627566,[7 4] ; [11 20],[4.71428571 6.28571429] ; [13.28571429 17.71428571],0
r3,1,0.119259,2.427032,[21  4] ; [46 22],[18.01075269  6.98924731] ; [48.98924731 19.01075269],0
p10,1,0.138559,2.193889,[17  8] ; [34 33],[13.85869565 11.14130435] ; [37.14130435 29.85869565],0
a3,1,0.165411,1.924052,[16  9] ; [32 35],[13.04347826 11.95652174] ; [34.95652174 32.04347826],0
r4,1,0.202831,1.621869,[14 11] ; [28 40],[11.29032258 13.70967742] ; [30.70967742 37.29032258],0
p1,1,0.215772,1.532271,[ 5 20] ; [ 7 61],[ 3.22580645 21.77419355] ; [ 8.77419355 59.22580645],0
p2,1,0.244898,1.352178,[18  7] ; [40 28],[15.59139785  9.40860215] ; [42.40860215 25.59139785],0
v1,1,0.2907,1.116378,[10 14] ; [20 47],[ 7.91208791 16.08791209] ; [22.08791209 44.91208791],0
a5,1,0.308905,1.035352,[14 11] ; [30 38],[11.82795699 13.17204301] ; [32.17204301 35.82795699],0
a4,1,0.320603,0.986485,[11 14] ; [22 45],[ 8.9673913 16.0326087] ; [24.0326087 42.9673913],0
p5,1,0.321487,0.982888,[ 3 22] ; [ 4 64],[ 1.88172043 23.11827957] ; [ 5.11827957 62.88172043],0
u3,1,0.334038,0.93318,[4 5] ; [10 26],[2.8 6.2] ; [11.2 24.8],0
d4,1,0.340937,0.906907,[16  9] ; [36 32],[13.97849462 11.02150538] ; [38.02150538 29.97849462],0
s3,1,0.341344,0.905377,[13 12] ; [27 39],[10.98901099 14.01098901] ; [29.01098901 36.98901099],0
a1,1,0.478584,0.502087,[ 3 22] ; [ 5 63],[ 2.15053763 22.84946237] ; [ 5.84946237 62.15053763],0
n4,1,0.496473,0.462467,[17  8] ; [41 27],[15.59139785  9.40860215] ; [42.40860215 25.59139785],0
b4,1,0.522926,0.408118,[14 11] ; [33 35],[12.6344086 12.3655914] ; [34.3655914 33.6344086],0
n5,1,0.60616,0.265804,[19  6] ; [48 20],[18.01075269  6.98924731] ; [48.98924731 19.01075269],0
b1,1,0.607726,0.2635,[14 11] ; [34 34],[12.90322581 12.09677419] ; [35.09677419 32.90322581],0
a2,1,0.721232,0.127316,[ 1 24] ; [ 4 64],[ 1.34408602 23.65591398] ; [ 3.65591398 64.34408602],0
a8,1,0.729859,0.119241,[ 2 22] ; [ 4 60],[ 1.63636364 22.36363636] ; [ 4.36363636 59.63636364],0
n2,1,0.754867,0.097487,[7 4] ; [22 10],[7.41860465 3.58139535] ; [21.58139535 10.41860465],0
n6,1,0.788204,0.07217,[18  7] ; [47 21],[17.47311828  7.52688172] ; [47.52688172 20.47311828],0
s4,1,0.794646,0.067747,[ 5 20] ; [12 56],[ 4.56989247 20.43010753] ; [12.43010753 55.56989247],0
s1,1,0.797783,0.065647,[ 1 24] ; [ 2 66],[ 0.80645161 24.19354839] ; [ 2.19354839 65.80645161],0
