Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.4e-05,18.935259,[86 22] ; [ 9 16],[77.14285714 30.85714286] ; [17.85714286  7.14285714],1
s2,1,0.004202,8.19444,[76 32] ; [10 15],[69.83458647 38.16541353] ; [16.16541353  8.83458647],0
b5,1,0.0082,6.98918,[70 38] ; [ 9 16],[64.15037594 43.84962406] ; [14.84962406 10.15037594],0
s7,1,0.013969,6.042069,[84 23] ; [13 11],[79.22900763 27.77099237] ; [17.77099237  6.22900763],0
s5,1,0.023276,5.147821,[46 58] ; [ 4 18],[41.26984127 62.73015873] ; [ 8.73015873 13.26984127],0
a6,1,0.038024,4.303964,[71 36] ; [11 14],[66.46969697 40.53030303] ; [15.53030303  9.46969697],0
r3,1,0.045284,4.008036,[105   3] ; [22  3],[103.12781955   4.87218045] ; [23.87218045  1.12781955],0
a2,1,0.089733,2.879154,[25 83] ; [ 2 23],[21.92481203 86.07518797] ; [ 5.07518797 19.92481203],0
r4,1,0.11946,2.424385,[101   7] ; [21  4],[99.06766917  8.93233083] ; [22.93233083  2.06766917],0
r1,1,0.121534,2.397434,[91 16] ; [18  7],[88.35606061 18.64393939] ; [20.64393939  4.35606061],0
v1,1,0.129766,2.2953,[58 44] ; [10 15],[54.61417323 47.38582677] ; [13.38582677 11.61417323],0
d3,1,0.154506,2.027193,[61 47] ; [18  7],[64.15037594 43.84962406] ; [14.84962406 10.15037594],0
p6,1,0.227112,1.458857,[23 83] ; [ 8 16],[25.27692308 80.72307692] ; [ 5.72307692 18.27692308],0
d5,1,0.265348,1.240639,[92 16] ; [19  6],[90.13533835 17.86466165] ; [20.86466165  4.13533835],0
p9,1,0.303101,1.060502,[94 13] ; [20  5],[92.40909091 14.59090909] ; [21.59090909  3.40909091],0
p7,1,0.304636,1.053787,[58 43] ; [11 13],[55.752 45.248] ; [13.248 10.752],0
v3,1,0.308097,1.038815,[46 57] ; [14 11],[48.28125 54.71875] ; [11.71875 13.28125],0
p5,1,0.35704,0.848278,[  4 103] ; [ 2 23],[  4.86363636 102.13636364] ; [ 1.13636364 23.86363636],0
r2,1,0.3632,0.826799,[102   4] ; [23  2],[101.14503817   4.85496183] ; [23.85496183  1.14503817],0
s4,1,0.373413,0.792274,[21 86] ; [ 3 22],[19.45454545 87.54545455] ; [ 4.54545455 20.45454545],0
n1,1,0.375954,0.78389,[13 16] ; [5 3],[14.10810811 14.89189189] ; [3.89189189 4.10810811],0
p2,1,0.377441,0.779021,[77 31] ; [20  5],[78.76691729 29.23308271] ; [18.23308271  6.76691729],0
d4,1,0.383094,0.760751,[87 21] ; [22  3],[88.5112782 19.4887218] ; [20.4887218  4.5112782],0
a4,1,0.393565,0.7279,[46 62] ; [13 12],[47.90977444 60.09022556] ; [11.09022556 13.90977444],0
d1,1,0.394562,0.724836,[59 49] ; [16  9],[60.90225564 47.09774436] ; [14.09774436 10.90225564],0
v2,1,0.518092,0.41769,[61 39] ; [17  8],[62.4 37.6] ; [15.6  9.4],0
d2,1,0.532541,0.38954,[53 55] ; [14 11],[54.40601504 53.59398496] ; [12.59398496 12.40601504],0
a5,1,0.537923,0.379404,[80 28] ; [17  8],[78.76691729 29.23308271] ; [18.23308271  6.76691729],0
p10,1,0.547586,0.36166,[90 16] ; [20  5],[89.00763359 16.99236641] ; [20.99236641  4.00763359],0
a8,1,0.60014,0.274785,[16 82] ; [ 5 19],[16.86885246 81.13114754] ; [ 4.13114754 19.86885246],0
u1,1,0.605506,0.266771,[17 91] ; [ 5 20],[17.86466165 90.13533835] ; [ 4.13533835 20.86466165],0
a7,1,0.607428,0.263938,[72 36] ; [18  7],[73.08270677 34.91729323] ; [16.91729323  8.08270677],0
n3,1,0.611982,0.257299,[19 10] ; [6 2],[19.59459459  9.40540541] ; [5.40540541 2.59459459],0
n6,1,0.619388,0.246729,[90 17] ; [20  5],[89.16666667 17.83333333] ; [20.83333333  4.16666667],0
n4,1,0.648,0.208431,[81 26] ; [20  5],[81.87121212 25.12878788] ; [19.12878788  5.87121212],0
p11,1,0.664168,0.1885,[82 26] ; [20  5],[82.82706767 25.17293233] ; [19.17293233  5.82706767],0
b4,1,0.68635,0.163065,[60 48] ; [15 10],[60.90225564 47.09774436] ; [14.09774436 10.90225564],0
u3,1,0.71249,0.135802,[20  7] ; [4 2],[19.63636364  7.36363636] ; [4.36363636 1.63636364],0
n2,1,0.736319,0.113389,[24  5] ; [7 2],[23.65789474  5.34210526] ; [7.34210526 1.65789474],0
b1,1,0.812972,0.055976,[46 62] ; [10 15],[45.47368421 62.52631579] ; [10.52631579 14.47368421],0
u2,1,0.815076,0.054701,[16 10] ; [4 2],[16.25  9.75] ; [3.75 2.25],0
v4,1,0.891281,0.018682,[103   5] ; [24  1],[103.12781955   4.87218045] ; [23.87218045  1.12781955],0
a1,1,0.891281,0.018682,[  5 103] ; [ 1 24],[  4.87218045 103.12781955] ; [ 1.12781955 23.87218045],0
b2,1,0.912456,0.012087,[29 44] ; [ 7 10],[29.2 43.8] ; [ 6.8 10.2],0
b3,1,0.912456,0.012087,[29 44] ; [ 7 10],[29.2 43.8] ; [ 6.8 10.2],0
p8,1,0.930155,0.007682,[41 64] ; [10 15],[41.19230769 63.80769231] ; [ 9.80769231 15.19230769],0
p1,1,0.956515,0.002973,[ 9 99] ; [ 2 23],[ 8.93233083 99.06766917] ; [ 2.06766917 22.93233083],0
p3,1,0.968695,0.00154,[35 73] ; [ 8 17],[34.91729323 73.08270677] ; [ 8.08270677 16.91729323],0
a3,1,0.974938,0.000987,[81 26] ; [19  6],[81.06060606 25.93939394] ; [18.93939394  6.06060606],0
n5,1,0.984844,0.000361,[76 31] ; [17  7],[75.96183206 31.03816794] ; [17.03816794  6.96183206],0
