Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.7e-05,16.214791,[30 20] ; [81 10],[39.36170213 10.63829787] ; [71.63829787 19.36170213],1
p2,1,0.000101,15.123707,[23 26] ; [72 19],[33.25 15.75] ; [61.75 29.25],1
p9,1,0.000145,14.435519,[20 28] ; [67 23],[30.26086957 17.73913043] ; [56.73913043 33.26086957],1
r3,1,0.001181,10.519884,[39 11] ; [87  4],[44.68085106  5.31914894] ; [81.31914894  9.68085106],0
p7,1,0.001237,10.43407,[14 35] ; [52 39],[23.1 25.9] ; [42.9 48.1],0
b1,1,0.001897,9.646764,[30 20] ; [30 61],[21.27659574 28.72340426] ; [38.72340426 52.27659574],0
n4,1,0.00963,6.702175,[12 38] ; [42 49],[19.14893617 30.85106383] ; [34.85106383 56.14893617],0
s4,1,0.014869,5.931876,[11 39] ; [ 7 84],[ 6.38297872 43.61702128] ; [11.61702128 79.38297872],0
p8,1,0.016979,5.698587,[13 36] ; [43 48],[19.6 29.4] ; [36.4 54.6],0
s2,1,0.029976,4.710647,[11 39] ; [ 8 82],[ 6.78571429 43.21428571] ; [12.21428571 77.78571429],0
v4,1,0.031784,4.61013,[40 10] ; [84  7],[43.97163121  6.02836879] ; [80.02836879 10.97163121],0
a2,1,0.031784,4.61013,[10 40] ; [ 7 84],[ 6.02836879 43.97163121] ; [10.97163121 80.02836879],0
s1,1,0.034029,4.493224,[ 4 46] ; [ 1 90],[ 1.77304965 48.22695035] ; [ 3.22695035 87.77304965],0
n6,1,0.034103,4.489548,[25 25] ; [62 29],[30.85106383 19.14893617] ; [56.14893617 34.85106383],0
a8,1,0.038515,4.282153,[ 1 46] ; [11 74],[ 4.27272727 42.72727273] ; [ 7.72727273 77.27272727],0
p10,1,0.044849,4.024313,[21 27] ; [56 35],[26.58992806 21.41007194] ; [50.41007194 40.58992806],0
r1,1,0.056873,3.626295,[29 21] ; [67 24],[34.04255319 15.95744681] ; [61.95744681 29.04255319],0
s5,1,0.081032,3.044077,[13 35] ; [13 75],[ 9.17647059 38.82352941] ; [16.82352941 71.17647059],0
b2,1,0.102703,2.663065,[ 5 23] ; [18 33],[ 8.15189873 19.84810127] ; [14.84810127 36.15189873],0
b3,1,0.102703,2.663065,[ 5 23] ; [18 33],[ 8.15189873 19.84810127] ; [14.84810127 36.15189873],0
n3,1,0.105278,2.62371,[10  9] ; [19  6],[12.52272727  6.47727273] ; [16.47727273  8.52272727],0
d5,1,0.107058,2.597114,[41  8] ; [65 26],[37.1 11.9] ; [68.9 22.1],0
n2,1,0.107267,2.594029,[ 8 11] ; [16  8],[10.60465116  8.39534884] ; [13.39534884 10.60465116],0
p6,1,0.116496,2.463809,[ 9 40] ; [27 61],[12.87591241 36.12408759] ; [23.12408759 64.87591241],0
r2,1,0.135686,2.226214,[39 10] ; [80 10],[41.94964029  7.05035971] ; [77.05035971 12.94964029],0
a6,1,0.145599,2.117764,[25 25] ; [57 34],[29.07801418 20.92198582] ; [52.92198582 38.07801418],0
d2,1,0.15149,2.057184,[22 28] ; [29 62],[18.08510638 31.91489362] ; [32.91489362 58.08510638],0
p5,1,0.169415,1.888112,[ 1 48] ; [ 7 84],[ 2.8 46.2] ; [ 5.2 85.8],0
a7,1,0.260452,1.266353,[34 15] ; [71 20],[36.75 12.25] ; [68.25 22.75],0
