Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000415,12.463544,[59 12] ; [6 9],[53.6627907 17.3372093] ; [11.3372093  3.6627907],1
s2,1,0.012552,6.231166,[52 19] ; [6 9],[47.88372093 23.11627907] ; [10.11627907  4.88372093],0
d5,1,0.029198,4.755927,[54 18] ; [7 8],[50.48275862 21.51724138] ; [10.51724138  4.48275862],0
b3,1,0.048845,3.880662,[ 9 36] ; [5 5],[11.45454545 33.54545455] ; [2.54545455 7.45454545],0
b2,1,0.048845,3.880662,[ 9 36] ; [5 5],[11.45454545 33.54545455] ; [2.54545455 7.45454545],0
r1,1,0.055041,3.680838,[55 16] ; [8 7],[52.01162791 18.98837209] ; [10.98837209  4.01162791],0
s5,1,0.066792,3.36014,[22 45] ; [ 1 12],[19.2625 47.7375] ; [3.7375 9.2625],0
n5,1,0.069143,3.303257,[55 17] ; [8 7],[52.13793103 19.86206897] ; [10.86206897  4.13793103],0
r4,1,0.072436,3.226944,[65  7] ; [11  4],[62.89655172  9.10344828] ; [13.10344828  1.89655172],0
r2,1,0.121719,2.39506,[65  5] ; [12  3],[63.41176471  6.58823529] ; [13.58823529  1.41176471],0
r3,1,0.165233,1.925671,[69  3] ; [13  2],[67.86206897  4.13793103] ; [14.13793103  0.86206897],0
a1,1,0.214683,1.539559,[ 1 71] ; [ 1 14],[ 1.65517241 70.34482759] ; [ 0.34482759 14.65517241],0
a3,1,0.239441,1.383881,[36 36] ; [10  5],[38.06896552 33.93103448] ; [7.93103448 7.06896552],0
p4,1,0.301453,1.067756,[44 28] ; [7 8],[42.20689655 29.79310345] ; [8.79310345 6.20689655],0
n1,1,0.347756,0.881629,[ 6 10] ; [2 1],[6.73684211 9.26315789] ; [1.26315789 1.73684211],0
b1,1,0.374564,0.788467,[33 39] ; [ 5 10],[31.44827586 40.55172414] ; [6.55172414 8.44827586],0
a8,1,0.386043,0.75137,[ 9 57] ; [ 3 10],[10.02531646 55.97468354] ; [ 1.97468354 11.02531646],0
p8,1,0.407241,0.686842,[42 30] ; [7 8],[40.55172414 31.44827586] ; [8.44827586 6.55172414],0
a6,1,0.422213,0.644146,[37 35] ; [6 9],[35.5862069 36.4137931] ; [7.4137931 7.5862069],0
d2,1,0.430651,0.621066,[17 55] ; [ 5 10],[18.20689655 53.79310345] ; [ 3.79310345 11.20689655],0
a4,1,0.444171,0.585483,[13 59] ; [ 4 11],[14.06896552 57.93103448] ; [ 2.93103448 12.06896552],0
d4,1,0.469916,0.522173,[51 21] ; [12  3],[52.13793103 19.86206897] ; [10.86206897  4.13793103],0
p9,1,0.491039,0.47425,[56 15] ; [13  2],[56.96511628 14.03488372] ; [12.03488372  2.96511628],0
p11,1,0.534335,0.386141,[52 20] ; [12  3],[52.96551724 19.03448276] ; [11.03448276  3.96551724],0
v3,1,0.543298,0.369462,[28 40] ; [7 7],[29.02439024 38.97560976] ; [5.97560976 8.02439024],0
u3,1,0.548262,0.36044,[24 12] ; [4 1],[24.58536585 11.41463415] ; [3.41463415 1.58536585],0
b5,1,0.549331,0.358516,[42 30] ; [10  5],[43.03448276 28.96551724] ; [8.96551724 6.03448276],0
n6,1,0.578362,0.308891,[58 14] ; [13  2],[58.75862069 13.24137931] ; [12.24137931  2.75862069],0
a7,1,0.592018,0.287204,[47 24] ; [11  4],[47.88372093 23.11627907] ; [10.11627907  4.88372093],0
b4,1,0.596547,0.280236,[39 33] ; [7 8],[38.06896552 33.93103448] ; [7.93103448 7.06896552],0
u2,1,0.601921,0.272109,[24 11] ; [4 1],[24.5 10.5] ; [3.5 1.5],0
s7,1,0.638432,0.220799,[48 18] ; [10  5],[47.25925926 18.74074074] ; [10.74074074  4.25925926],0
u1,1,0.674066,0.176883,[ 3 69] ; [ 1 14],[ 3.31034483 68.68965517] ; [ 0.68965517 14.31034483],0
p3,1,0.679408,0.170793,[33 39] ; [6 9],[32.27586207 39.72413793] ; [6.72413793 8.27586207],0
s4,1,0.680574,0.169481,[18 54] ; [ 3 12],[17.37931034 54.62068966] ; [ 3.62068966 11.37931034],0
p7,1,0.734728,0.114815,[44 27] ; [8 6],[43.43529412 27.56470588] ; [8.56470588 5.43529412],0
n4,1,0.748432,0.102853,[51 21] ; [10  5],[50.48275862 21.51724138] ; [10.51724138  4.48275862],0
p2,1,0.755867,0.096667,[60 12] ; [12  3],[59.5862069 12.4137931] ; [12.4137931  2.5862069],0
p6,1,0.764381,0.08984,[28 42] ; [5 9],[27.5 42.5] ; [5.5 8.5],0
v1,1,0.775732,0.081159,[34 35] ; [8 7],[34.5 34.5] ; [7.5 7.5],0
p1,1,0.847611,0.036928,[11 61] ; [ 2 13],[10.75862069 61.24137931] ; [ 2.24137931 12.75862069],0
v4,1,0.876566,0.024126,[67  4] ; [14  1],[66.87209302  4.12790698] ; [14.12790698  0.87209302],0
n3,1,0.8908,0.018849,[10  6] ; [2 1],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
p10,1,0.897796,0.016498,[57 13] ; [12  3],[56.82352941 13.17647059] ; [12.17647059  2.82352941],0
d1,1,0.936052,0.006437,[28 44] ; [6 9],[28.13793103 43.86206897] ; [5.86206897 9.13793103],0
s1,1,0.969191,0.001492,[ 5 67] ; [ 1 14],[ 4.96551724 67.03448276] ; [ 1.03448276 13.96551724],0
v2,1,0.983063,0.000451,[35 31] ; [8 7],[35.03703704 30.96296296] ; [7.96296296 7.03703704],0
d3,1,0.984076,0.000398,[43 29] ; [9 6],[43.03448276 28.96551724] ; [8.96551724 6.03448276],0
