Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,41.497436,[ 9 43] ; [47 13],[26. 26.] ; [30. 30.],1
d3,1,0.0,31.589744,[22 30] ; [55  5],[35.75 16.25] ; [41.25 18.75],1
d4,1,1e-06,24.756345,[32 20] ; [59  1],[42.25  9.75] ; [48.75 11.25],1
a4,1,2e-06,22.983295,[10 42] ; [38 21],[22.48648649 29.51351351] ; [25.51351351 33.48648649],1
a2,1,6e-06,20.485311,[ 3 49] ; [26 34],[13.46428571 38.53571429] ; [15.53571429 44.46428571],1
u1,1,1.2e-05,19.145299,[ 3 49] ; [25 35],[13. 39.] ; [15. 45.],1
a3,1,0.000161,14.24311,[32 20] ; [54  5],[40.28828829 11.71171171] ; [45.71171171 13.28828829],1
a5,1,0.001544,10.025175,[34 18] ; [54  6],[40.85714286 11.14285714] ; [47.14285714 12.85714286],0
v2,1,0.009696,6.68998,[23 28] ; [41 18],[29.67272727 21.32727273] ; [34.32727273 24.67272727],0
r2,1,0.015562,5.851754,[43  9] ; [56  2],[46.8  5.2] ; [52.2  5.8],0
b1,1,0.019099,5.492421,[24 28] ; [15 45],[18.10714286 33.89285714] ; [20.89285714 39.10714286],0
p11,1,0.049784,3.848706,[34 18] ; [49 11],[38.53571429 13.46428571] ; [44.46428571 15.53571429],0
v3,1,0.050392,3.828351,[19 32] ; [33 26],[24.10909091 26.89090909] ; [27.89090909 31.10909091],0
p3,1,0.071089,3.257692,[25 27] ; [39 21],[29.71428571 22.28571429] ; [34.28571429 25.71428571],0
r1,1,0.077903,3.108114,[36 16] ; [50 10],[39.92857143 12.07142857] ; [46.07142857 13.92857143],0
a6,1,0.081231,3.040099,[30 22] ; [44 16],[34.35714286 17.64285714] ; [39.64285714 20.35714286],0
u2,1,0.105414,2.621667,[14  6] ; [2 4],[12.30769231  7.69230769] ; [3.69230769 2.30769231],0
r3,1,0.170762,1.876239,[47  5] ; [58  2],[48.75  3.25] ; [56.25  3.75],0
n4,1,0.188771,1.727187,[37 15] ; [49 11],[39.92857143 12.07142857] ; [46.07142857 13.92857143],0
v1,1,0.189874,1.718597,[26 24] ; [38 21],[29.35779817 20.64220183] ; [34.64220183 24.35779817],0
v4,1,0.204274,1.611551,[46  6] ; [57  3],[47.82142857  4.17857143] ; [55.17857143  4.82142857],0
n1,1,0.212977,1.551073,[ 9 10] ; [3 9],[ 7.35483871 11.64516129] ; [4.64516129 7.35483871],0
n6,1,0.240214,1.379338,[42  9] ; [54  6],[44.10810811  6.89189189] ; [51.89189189  8.10810811],0
r4,1,0.257428,1.282538,[43  9] ; [54  6],[45.03571429  6.96428571] ; [51.96428571  8.03571429],0
p5,1,0.257428,1.282538,[ 9 43] ; [ 6 54],[ 6.96428571 45.03571429] ; [ 8.03571429 51.96428571],0
s8,1,0.324609,0.970286,[26 26] ; [35 24],[28.57657658 23.42342342] ; [32.42342342 26.57657658],0
p6,1,0.324891,0.969154,[22 29] ; [31 28],[24.57272727 26.42727273] ; [28.42727273 30.57272727],0
n2,1,0.332275,0.940012,[11  8] ; [9 3],[12.25806452  6.74193548] ; [7.74193548 4.25806452],0
n3,1,0.332275,0.940012,[11  8] ; [9 3],[12.25806452  6.74193548] ; [7.74193548 4.25806452],0
p8,1,0.344851,0.892313,[24 28] ; [32 26],[26.47272727 25.52727273] ; [29.52727273 28.47272727],0
p4,1,0.345552,0.889725,[32 20] ; [42 18],[34.35714286 17.64285714] ; [39.64285714 20.35714286],0
p2,1,0.357843,0.845449,[45  7] ; [48 12],[43.17857143  8.82142857] ; [49.82142857 10.17857143],0
b4,1,0.36386,0.824527,[25 27] ; [34 26],[27.39285714 24.60714286] ; [31.60714286 28.39285714],0
p7,1,0.370318,0.802596,[31 21] ; [40 19],[33.26126126 18.73873874] ; [37.73873874 21.26126126],0
b5,1,0.415456,0.663132,[29 23] ; [38 22],[31.10714286 20.89285714] ; [35.89285714 24.10714286],0
p10,1,0.41801,0.655904,[46  6] ; [49 10],[44.5045045  7.4954955] ; [50.4954955  8.5045045],0
n5,1,0.44427,0.585229,[39 12] ; [42 18],[37.21621622 13.78378378] ; [43.78378378 16.21621622],0
s2,1,0.496346,0.462741,[11 41] ; [16 44],[12.53571429 39.46428571] ; [14.46428571 45.53571429],0
a1,1,0.533586,0.387558,[ 3 49] ; [ 2 58],[ 2.32142857 49.67857143] ; [ 2.67857143 57.32142857],0
p12,1,0.601617,0.272565,[ 3 48] ; [ 5 54],[ 3.70909091 47.29090909] ; [ 4.29090909 54.70909091],0
a8,1,0.704579,0.143753,[ 6 43] ; [ 7 40],[ 6.63541667 42.36458333] ; [ 6.36458333 40.63541667],0
b3,1,0.709736,0.138541,[17 17] ; [22 26],[16.17073171 17.82926829] ; [22.82926829 25.17073171],0
b2,1,0.709736,0.138541,[17 17] ; [22 26],[16.17073171 17.82926829] ; [22.82926829 25.17073171],0
a7,1,0.777931,0.079533,[36 16] ; [43 17],[36.67857143 15.32142857] ; [42.32142857 17.67857143],0
s4,1,0.788443,0.072003,[ 7 45] ; [ 9 50],[ 7.4954955 44.5045045] ; [ 8.5045045 50.4954955],0
s5,1,0.804833,0.061057,[17 35] ; [18 41],[16.3963964 35.6036036] ; [18.6036036 40.3963964],0
p9,1,0.813143,0.055872,[44  8] ; [50  8],[44.43636364  7.56363636] ; [49.56363636  8.43636364],0
p1,1,0.844861,0.038291,[ 3 49] ; [ 4 56],[ 3.25 48.75] ; [ 3.75 56.25],0
s6,1,0.867951,0.027643,[32 20] ; [36 24],[31.57142857 20.42857143] ; [36.42857143 23.57142857],0
u3,1,0.940006,0.005664,[13  7] ; [4 2],[13.07692308  6.92307692] ; [3.92307692 2.07692308],0
