Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,43.007538,[20 60] ; [36  5],[37.02479339 42.97520661] ; [18.97520661 22.02479339],1
s7,1,5e-06,20.740515,[11 64] ; [22 18],[21.52173913 53.47826087] ; [11.47826087 28.52173913],1
s6,1,1e-05,19.448868,[23 59] ; [28 12],[34.27868852 47.72131148] ; [16.72131148 23.27868852],1
p10,1,0.000432,12.388654,[32 48] ; [29 10],[41.00840336 38.99159664] ; [19.99159664 19.00840336],1
r3,1,0.00067,11.571669,[55 27] ; [38  2],[62.50819672 19.49180328] ; [30.49180328  9.50819672],1
v4,1,0.000786,11.273292,[54 26] ; [38  2],[61.33333333 18.66666667] ; [30.66666667  9.33333333],1
s8,1,0.001218,10.463542,[11 71] ; [16 25],[18. 64.] ; [ 9. 32.],0
u3,1,0.001652,9.900576,[15 21] ; [12  1],[19.83673469 16.16326531] ; [7.16326531 5.83673469],0
v2,1,0.004437,8.095652,[23 53] ; [22 16],[30. 46.] ; [15. 23.],0
p9,1,0.005093,7.846154,[40 40] ; [30  9],[47.05882353 32.94117647] ; [22.94117647 16.05882353],0
r2,1,0.006708,7.349585,[60 21] ; [37  2],[65.475 15.525] ; [31.525  7.475],0
s4,1,0.007967,7.040888,[ 6 76] ; [10 31],[10.66666667 71.33333333] ; [ 5.33333333 35.66666667],0
d4,1,0.008958,6.831279,[50 31] ; [34  6],[56.23140496 24.76859504] ; [27.76859504 12.23140496],0
n2,1,0.012512,6.236768,[23 18] ; [13  1],[26.83636364 14.16363636] ; [9.16363636 4.83636364],0
v1,1,0.014329,5.997207,[23 58] ; [20 19],[29.025 51.975] ; [13.975 25.025],0
s5,1,0.033853,4.502134,[ 7 72] ; [ 9 30],[10.71186441 68.28813559] ; [ 5.28813559 33.71186441],0
r4,1,0.037184,4.341975,[44 38] ; [30 11],[49.33333333 32.66666667] ; [24.66666667 16.33333333],0
d1,1,0.049932,3.84375,[27 55] ; [21 20],[32. 50.] ; [16. 25.],0
a8,1,0.071547,3.247167,[ 6 73] ; [ 7 30],[ 8.85344828 70.14655172] ; [ 4.14655172 32.85344828],0
p7,1,0.083819,2.989254,[26 52] ; [19 19],[30.25862069 47.74137931] ; [14.74137931 23.25862069],0
d3,1,0.098372,2.731739,[44 37] ; [28 12],[48.19834711 32.80165289] ; [23.80165289 16.19834711],0
a4,1,0.10665,2.603175,[32 50] ; [10 31],[28. 54.] ; [14. 27.],0
d2,1,0.211008,1.564494,[32 50] ; [11 29],[28.90163934 53.09836066] ; [14.09836066 25.90163934],0
p12,1,0.214847,1.538462,[ 1 79] ; [ 2 38],[ 2. 78.] ; [ 1. 39.],0
n4,1,0.250977,1.317857,[43 39] ; [17 24],[40. 42.] ; [20. 21.],0
p6,1,0.252172,1.311229,[10 70] ; [ 8 31],[12.10084034 67.89915966] ; [ 5.89915966 33.10084034],0
p8,1,0.268421,1.224801,[19 61] ; [13 26],[21.51260504 58.48739496] ; [10.48739496 28.51260504],0
r1,1,0.287278,1.132336,[50 32] ; [29 12],[52.66666667 29.33333333] ; [26.33333333 14.66666667],0
u1,1,0.301044,1.069565,[ 4 78] ; [ 4 37],[ 5.33333333 76.66666667] ; [ 2.66666667 38.33333333],0
a3,1,0.334739,0.930476,[46 35] ; [27 14],[48.46721311 32.53278689] ; [24.53278689 16.46721311],0
a1,1,0.350735,0.870796,[ 8 74] ; [ 2 39],[ 6.66666667 75.33333333] ; [ 3.33333333 37.66666667],0
n3,1,0.409561,0.680075,[23 16] ; [10  4],[24.28301887 14.71698113] ; [8.71698113 5.28301887],0
b5,1,0.437458,0.602941,[46 36] ; [26 15],[48. 34.] ; [24. 17.],0
a2,1,0.448371,0.574766,[12 70] ; [ 4 37],[10.66666667 71.33333333] ; [ 5.33333333 35.66666667],0
n5,1,0.481484,0.4955,[38 43] ; [22 19],[39.83606557 41.16393443] ; [20.16393443 20.83606557],0
v3,1,0.481798,0.49479,[16 62] ; [10 28],[17.48275862 60.51724138] ; [ 8.51724138 29.48275862],0
u2,1,0.494963,0.465719,[22 14] ; [10  4],[23.04 12.96] ; [8.96 5.04],0
p11,1,0.523406,0.407177,[41 41] ; [23 18],[42.66666667 39.33333333] ; [21.33333333 19.66666667],0
d5,1,0.54344,0.369201,[55 27] ; [29 11],[56.45901639 25.54098361] ; [27.54098361 12.45901639],0
b2,1,0.578385,0.308853,[13 34] ; [ 4 15],[12.10606061 34.89393939] ; [ 4.89393939 14.10606061],0
b3,1,0.578385,0.308853,[13 34] ; [ 4 15],[12.10606061 34.89393939] ; [ 4.89393939 14.10606061],0
a7,1,0.598141,0.277809,[50 32] ; [27 14],[51.33333333 30.66666667] ; [25.66666667 15.33333333],0
p4,1,0.599945,0.275079,[22 59] ; [13 28],[23.23770492 57.76229508] ; [11.76229508 29.23770492],0
b4,1,0.796791,0.066307,[46 36] ; [24 17],[46.66666667 35.33333333] ; [23.33333333 17.66666667],0
b1,1,0.798536,0.065148,[40 42] ; [19 22],[39.33333333 42.66666667] ; [19.66666667 21.33333333],0
p2,1,0.853812,0.03395,[46 35] ; [24 17],[46.47540984 34.52459016] ; [23.52459016 17.47540984],0
a5,1,0.898449,0.016287,[43 39] ; [21 20],[42.66666667 39.33333333] ; [21.33333333 19.66666667],0
n1,1,0.921516,0.009707,[16 24] ; [5 8],[15.8490566 24.1509434] ; [5.1509434 7.8490566],0
s1,1,0.955742,0.00308,[ 6 75] ; [ 3 36],[ 6.075 74.925] ; [ 2.925 36.075],0
a6,1,0.973979,0.001064,[51 31] ; [25 15],[51.08196721 30.91803279] ; [24.91803279 15.08196721],0
