Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.014306,6.0,[ 1 26] ; [3 6],[ 3. 24.] ; [1. 8.],0
a4,1,0.014306,6.0,[ 6 21] ; [6 3],[ 9. 18.] ; [3. 6.],0
v2,1,0.020137,5.4,[15 12] ; [1 8],[12. 15.] ; [4. 5.],0
p10,1,0.025557,4.985755,[14 12] ; [1 8],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
n3,1,0.036331,4.381481,[7 2] ; [1 4],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
d4,1,0.060103,3.534545,[21  6] ; [4 5],[18.75  8.25] ; [6.25 2.75],0
s6,1,0.06076,3.516526,[12 14] ; [1 8],[ 9.65714286 16.34285714] ; [3.34285714 5.65714286],0
r1,1,0.082789,3.009288,[15 12] ; [2 7],[12.75 14.25] ; [4.25 4.75],0
a5,1,0.10247,2.666667,[16 11] ; [8 1],[18.  9.] ; [6. 3.],0
p11,1,0.121335,2.4,[14 13] ; [2 7],[12. 15.] ; [4. 5.],0
n1,1,0.157504,1.998025,[2 7] ; [3 2],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
p9,1,0.169327,1.888889,[15 10] ; [3 6],[13.23529412 11.76470588] ; [4.76470588 4.23529412],0
n5,1,0.171857,1.866667,[14 13] ; [7 2],[15.75 11.25] ; [5.25 3.75],0
d5,1,0.224114,1.477833,[23  4] ; [6 3],[21.75  5.25] ; [7.25 1.75],0
a2,1,0.224114,1.477833,[ 4 23] ; [3 6],[ 5.25 21.75] ; [1.75 7.25],0
s7,1,0.256372,1.288245,[ 7 16] ; [1 8],[ 5.75 17.25] ; [2.25 6.75],0
n2,1,0.333998,0.933333,[6 3] ; [2 3],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
d2,1,0.335177,0.928793,[13 14] ; [6 3],[14.25 12.75] ; [4.75 4.25],0
p5,1,0.346484,0.886293,[ 1 26] ; [1 7],[ 1.54285714 25.45714286] ; [0.45714286 7.54285714],0
a6,1,0.414216,0.666667,[17 10] ; [7 2],[18.  9.] ; [6. 3.],0
p4,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
b5,1,0.438578,0.6,[16 11] ; [4 5],[15. 12.] ; [5. 4.],0
s5,1,0.439231,0.598291,[ 6 20] ; [1 8],[ 5.2 20.8] ; [1.8 7.2],0
v3,1,0.504985,0.444444,[ 6 21] ; [3 6],[ 6.75 20.25] ; [2.25 6.75],0
p8,1,0.611196,0.258437,[ 9 17] ; [2 6],[ 8.41176471 17.58823529] ; [2.58823529 5.41176471],0
a8,1,0.6247,0.239316,[ 8 18] ; [2 7],[ 7.42857143 18.57142857] ; [2.57142857 6.42857143],0
s3,1,0.635738,0.224359,[11 15] ; [3 6],[10.4 15.6] ; [3.6 5.4],0
r2,1,0.654865,0.199821,[16  9] ; [5 4],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
d3,1,0.693012,0.155844,[17 10] ; [5 4],[16.5 10.5] ; [5.5 3.5],0
b1,1,0.700311,0.148148,[13 14] ; [5 4],[13.5 13.5] ; [4.5 4.5],0
n4,1,0.841219,0.040134,[17 10] ; [6 3],[17.25  9.75] ; [5.75 3.25],0
b2,1,0.857561,0.032213,[ 4 12] ; [2 5],[ 4.17391304 11.82608696] ; [1.82608696 5.17391304],0
b3,1,0.857561,0.032213,[ 4 12] ; [2 5],[ 4.17391304 11.82608696] ; [1.82608696 5.17391304],0
v1,1,0.886436,0.020396,[ 8 18] ; [3 6],[ 8.17142857 17.82857143] ; [2.82857143 6.17142857],0
p3,1,1.0,0.0,[ 6 21] ; [2 7],[ 6. 21.] ; [2. 7.],0
p7,1,1.0,0.0,[ 9 18] ; [3 6],[ 9. 18.] ; [3. 6.],0
d1,1,1.0,0.0,[12 15] ; [4 5],[12. 15.] ; [4. 5.],0
b4,1,1.0,0.0,[21  6] ; [7 2],[21.  6.] ; [7. 2.],0
