Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.021917,5.252382,[19 65] ; [10 11],[23.2 60.8] ; [ 5.8 15.2],0
s2,1,0.024537,5.056291,[28 57] ; [13  9],[32.57009346 52.42990654] ; [ 8.42990654 13.57009346],0
p10,1,0.036016,4.396346,[57 26] ; [20  2],[60.86666667 22.13333333] ; [16.13333333  5.86666667],0
s6,1,0.048819,3.881562,[42 41] ; [15  5],[45.93203883 37.06796117] ; [11.06796117  8.93203883],0
v2,1,0.050688,3.818545,[43 39] ; [ 6 15],[39.00970874 42.99029126] ; [ 9.99029126 11.00970874],0
b5,1,0.05949,3.55154,[50 35] ; [ 8 14],[46.07476636 38.92523364] ; [11.92523364 10.07476636],0
s7,1,0.088078,2.909158,[32 46] ; [13  8],[35.45454545 42.54545455] ; [ 9.54545455 11.45454545],0
n6,1,0.092396,2.832123,[63 22] ; [20  2],[65.93457944 19.06542056] ; [17.06542056  4.93457944],0
v3,1,0.124427,2.360698,[30 55] ; [ 4 18],[27.00934579 57.99065421] ; [ 6.99065421 15.00934579],0
s1,1,0.149692,2.075388,[ 2 80] ; [ 2 20],[ 3.15384615 78.84615385] ; [ 0.84615385 21.15384615],0
p9,1,0.152358,2.048478,[60 24] ; [19  3],[62.60377358 21.39622642] ; [16.39622642  5.60377358],0
a5,1,0.19227,1.700135,[48 37] ; [ 9 13],[45.28037383 39.71962617] ; [11.71962617 10.28037383],0
p6,1,0.234977,1.410477,[39 46] ; [ 7 15],[36.54205607 48.45794393] ; [ 9.45794393 12.54205607],0
u1,1,0.270641,1.213497,[ 3 82] ; [ 2 20],[ 3.97196262 81.02803738] ; [ 1.02803738 20.97196262],0
n5,1,0.378011,0.777161,[61 23] ; [18  4],[62.60377358 21.39622642] ; [16.39622642  5.60377358],0
a2,1,0.385456,0.75323,[ 9 76] ; [ 1 21],[ 7.94392523 77.05607477] ; [ 2.05607477 19.94392523],0
p2,1,0.406132,0.690096,[72 13] ; [17  5],[70.70093458 14.29906542] ; [18.29906542  3.70093458],0
d5,1,0.407803,0.685197,[40 45] ; [12  9],[41.69811321 43.30188679] ; [10.30188679 10.69811321],0
b1,1,0.418174,0.655441,[43 42] ; [ 9 13],[41.30841121 43.69158879] ; [10.69158879 11.30841121],0
p8,1,0.43435,0.611164,[49 34] ; [15  7],[50.59047619 32.40952381] ; [13.40952381  8.59047619],0
p4,1,0.439799,0.596806,[54 31] ; [12 10],[52.42990654 32.57009346] ; [13.57009346  8.42990654],0
p11,1,0.49876,0.457573,[64 21] ; [15  7],[62.75700935 22.24299065] ; [16.24299065  5.75700935],0
s3,1,0.508735,0.436668,[43 41] ; [13  9],[44.37735849 39.62264151] ; [11.62264151 10.37735849],0
a4,1,0.514372,0.425163,[25 59] ; [ 5 17],[23.77358491 60.22641509] ; [ 6.22641509 15.77358491],0
a6,1,0.519482,0.414921,[49 36] ; [11 11],[47.6635514 37.3364486] ; [12.3364486  9.6635514],0
r1,1,0.531139,0.392212,[55 28] ; [13  9],[53.75238095 29.24761905] ; [14.24761905  7.75238095],0
a3,1,0.539308,0.376824,[41 44] ; [ 9 13],[39.71962617 45.28037383] ; [10.28037383 11.71962617],0
r4,1,0.585906,0.296784,[70 15] ; [17  5],[69.11214953 15.88785047] ; [17.88785047  4.11214953],0
p12,1,0.587497,0.29427,[ 5 80] ; [ 2 20],[ 5.56074766 79.43925234] ; [ 1.43925234 20.56074766],0
a7,1,0.588731,0.29233,[54 31] ; [12  9],[52.9245283 32.0754717] ; [13.0754717  7.9245283],0
p5,1,0.610257,0.259801,[11 73] ; [ 2 20],[10.30188679 73.69811321] ; [ 2.69811321 19.30188679],0
u2,1,0.698216,0.150335,[23 21] ; [6 7],[22.38596491 21.61403509] ; [6.61403509 6.38596491],0
p3,1,0.730082,0.119036,[46 39] ; [11 11],[45.28037383 39.71962617] ; [11.71962617 10.28037383],0
d3,1,0.750473,0.101134,[25 59] ; [ 7 14],[25.6 58.4] ; [ 6.4 14.6],0
v4,1,0.758139,0.094818,[78  6] ; [20  2],[77.66037736  6.33962264] ; [20.33962264  1.66037736],0
d2,1,0.761382,0.092213,[22 63] ; [ 5 17],[21.44859813 63.55140187] ; [ 5.55140187 16.44859813],0
r2,1,0.825549,0.048582,[74 10] ; [19  3],[73.69811321 10.30188679] ; [19.30188679  2.69811321],0
r3,1,0.836706,0.042481,[76  9] ; [20  2],[76.26168224  8.73831776] ; [19.73831776  2.26168224],0
p1,1,0.845913,0.037766,[13 72] ; [ 3 19],[12.71028037 72.28971963] ; [ 3.28971963 18.71028037],0
u3,1,0.849518,0.035999,[19 25] ; [6 7],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
n4,1,0.851643,0.034978,[59 25] ; [15  7],[58.64150943 25.35849057] ; [15.35849057  6.64150943],0
v1,1,0.881131,0.022361,[35 47] ; [ 9 13],[34.69230769 47.30769231] ; [ 9.30769231 12.69230769],0
n1,1,0.904201,0.014486,[10 12] ; [3 4],[ 9.86206897 12.13793103] ; [3.13793103 3.86206897],0
n3,1,0.932534,0.007167,[20  3] ; [6 1],[19.93333333  3.06666667] ; [6.06666667 0.93333333],0
s8,1,0.970635,0.001355,[34 50] ; [ 9 13],[34.0754717 49.9245283] ; [ 8.9245283 13.0754717],0
b4,1,0.971365,0.001289,[39 46] ; [10 12],[38.92523364 46.07476636] ; [10.07476636 11.92523364],0
d1,1,0.97465,0.00101,[ 4 81] ; [ 1 21],[ 3.97196262 81.02803738] ; [ 1.02803738 20.97196262],0
