Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.846057,[38 23] ; [ 3 29],[26.89247312 34.10752688] ; [14.10752688 17.89247312],1
a3,1,1.5e-05,18.67623,[50 11] ; [12 20],[40.66666667 20.33333333] ; [21.33333333 10.66666667],1
d3,1,0.000212,13.720612,[41 20] ; [ 9 24],[32.44680851 28.55319149] ; [17.55319149 15.44680851],1
a6,1,0.000388,12.588797,[40 21] ; [ 9 24],[31.79787234 29.20212766] ; [17.20212766 15.79787234],1
d1,1,0.00099,10.847046,[37 25] ; [ 8 25],[29.36842105 32.63157895] ; [15.63157895 17.36842105],1
d2,1,0.003798,8.378095,[37 23] ; [10 23],[30.32258065 29.67741935] ; [16.67741935 16.32258065],0
d5,1,0.008367,6.953128,[49 12] ; [18 15],[43.4787234 17.5212766] ; [23.5212766  9.4787234],0
s5,1,0.019849,5.425096,[16 43] ; [ 2 29],[11.8 47.2] ; [ 6.2 24.8],0
d4,1,0.030827,4.662549,[48 13] ; [19 14],[43.4787234 17.5212766] ; [23.5212766  9.4787234],0
r3,1,0.035151,4.437838,[43 18] ; [16 17],[38.28723404 22.71276596] ; [20.71276596 12.28723404],0
v2,1,0.059846,3.541654,[27 33] ; [ 8 24],[22.82608696 37.17391304] ; [12.17391304 19.82608696],0
s8,1,0.068324,3.322823,[15 46] ; [ 3 30],[11.68085106 49.31914894] ; [ 6.31914894 26.68085106],0
u2,1,0.075391,3.161565,[ 2 10] ; [10 11],[4.36363636 7.63636364] ; [ 7.63636364 13.36363636],0
p9,1,0.078887,3.087676,[26 34] ; [ 7 22],[22.24719101 37.75280899] ; [10.75280899 18.24719101],0
r2,1,0.088717,2.897505,[51  8] ; [23  9],[47.97802198 11.02197802] ; [26.02197802  5.97802198],0
a8,1,0.092305,2.833704,[ 9 50] ; [ 1 29],[ 6.62921348 52.37078652] ; [ 3.37078652 26.62921348],0
s7,1,0.111211,2.536923,[18 37] ; [ 5 25],[14.88235294 40.11764706] ; [ 8.11764706 21.88235294],0
p4,1,0.125783,2.343796,[16 45] ; [ 4 28],[13.11827957 47.88172043] ; [ 6.88172043 25.11827957],0
s2,1,0.150376,2.068434,[22 40] ; [ 7 26],[18.92631579 43.07368421] ; [10.07368421 22.92631579],0
s3,1,0.175476,1.835526,[27 35] ; [ 9 22],[24. 38.] ; [12. 19.],0
a7,1,0.182975,1.773292,[40 21] ; [17 16],[36.9893617 24.0106383] ; [20.0106383 12.9893617],0
r4,1,0.184817,1.758459,[37 25] ; [15 18],[33.93684211 28.06315789] ; [18.06315789 14.93684211],0
v4,1,0.187182,1.73966,[45 16] ; [20 13],[42.18085106 18.81914894] ; [22.81914894 10.18085106],0
n2,1,0.187619,1.736219,[21 12] ; [6 8],[18.95744681 14.04255319] ; [8.04255319 5.95744681],0
n3,1,0.201537,1.631198,[19 11] ; [6 8],[17.04545455 12.95454545] ; [7.95454545 6.04545455],0
s1,1,0.247141,1.339392,[ 6 55] ; [ 6 27],[ 7.78723404 53.21276596] ; [ 4.21276596 28.78723404],0
b4,1,0.306726,1.044721,[27 35] ; [18 15],[29.36842105 32.63157895] ; [15.63157895 17.36842105],0
v1,1,0.326163,0.964074,[19 43] ; [ 7 26],[16.96842105 45.03157895] ; [ 9.03157895 23.96842105],0
n4,1,0.326946,0.960955,[36 25] ; [16 17],[33.74468085 27.25531915] ; [18.25531915 14.74468085],0
s6,1,0.3568,0.849125,[27 34] ; [11 21],[24.92473118 36.07526882] ; [13.07526882 18.92473118],0
u3,1,0.424427,0.638024,[4 8] ; [10 11],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
p7,1,0.430233,0.622195,[18 43] ; [ 7 25],[16.39784946 44.60215054] ; [ 8.60215054 23.39784946],0
p3,1,0.476484,0.506899,[15 46] ; [ 6 27],[13.62765957 47.37234043] ; [ 7.37234043 25.62765957],0
r1,1,0.566038,0.329357,[37 24] ; [18 15],[35.69148936 25.30851064] ; [19.30851064 13.69148936],0
n5,1,0.585321,0.297711,[35 26] ; [17 16],[33.74468085 27.25531915] ; [18.25531915 14.74468085],0
b5,1,0.588932,0.292014,[34 28] ; [20 13],[35.24210526 26.75789474] ; [18.75789474 14.24210526],0
p6,1,0.617911,0.248814,[10 51] ; [ 4 28],[ 9.1827957 51.8172043] ; [ 4.8172043 27.1827957],0
p10,1,0.672853,0.178283,[21 40] ; [ 9 21],[20.10989011 40.89010989] ; [ 9.89010989 20.10989011],0
v3,1,0.733758,0.115689,[18 39] ; [ 9 23],[17.29213483 39.70786517] ; [ 9.70786517 22.29213483],0
p1,1,0.739442,0.110618,[ 7 55] ; [ 3 30],[ 6.52631579 55.47368421] ; [ 3.47368421 29.52631579],0
n6,1,0.810663,0.057394,[33 28] ; [17 16],[32.44680851 28.55319149] ; [17.55319149 15.44680851],0
s4,1,0.88952,0.019296,[12 50] ; [ 6 27],[11.74736842 50.25263158] ; [ 6.25263158 26.74736842],0
a1,1,0.913009,0.011934,[ 8 54] ; [ 4 29],[ 7.83157895 54.16842105] ; [ 4.16842105 28.83157895],0
b2,1,0.913677,0.011751,[15 22] ; [ 9 14],[14.8 22.2] ; [ 9.2 13.8],0
b3,1,0.913677,0.011751,[15 22] ; [ 9 14],[14.8 22.2] ; [ 9.2 13.8],0
