Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9e-06,19.759168,[ 5 39] ; [11  5],[11.73333333 32.26666667] ; [ 4.26666667 11.73333333],1
p10,1,2.5e-05,17.729138,[10 33] ; [14  3],[17.2 25.8] ; [ 6.8 10.2],1
p7,1,4.7e-05,16.551312,[ 8 35] ; [12  4],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],1
p6,1,6.6e-05,15.913922,[ 1 42] ; [ 7 10],[ 5.73333333 37.26666667] ; [ 2.26666667 14.73333333],1
r4,1,0.000286,13.162256,[ 1 43] ; [ 6 11],[ 5.04918033 38.95081967] ; [ 1.95081967 15.04918033],1
n6,1,0.002092,9.466579,[16 28] ; [13  3],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
p9,1,0.003634,8.458435,[12 29] ; [12  5],[16.96551724 24.03448276] ; [7.03448276 9.96551724],0
p11,1,0.003716,8.417617,[ 9 35] ; [10  7],[13.70491803 30.29508197] ; [ 5.29508197 11.70491803],0
v4,1,0.005912,7.576899,[19 25] ; [14  3],[23.80327869 20.19672131] ; [9.19672131 7.80327869],0
p5,1,0.00741,7.17075,[ 1 42] ; [ 4 13],[ 3.58333333 39.41666667] ; [ 1.41666667 15.58333333],0
p3,1,0.024709,5.044149,[ 8 35] ; [8 9],[11.46666667 31.53333333] ; [ 4.53333333 12.46666667],0
v1,1,0.037136,4.344171,[11 33] ; [9 8],[14.42622951 29.57377049] ; [ 5.57377049 11.42622951],0
a7,1,0.052893,3.747296,[14 30] ; [10  7],[17.31147541 26.68852459] ; [ 6.68852459 10.31147541],0
v2,1,0.062573,3.467852,[ 6 37] ; [ 6 11],[ 8.6 34.4] ; [ 3.4 13.6],0
s2,1,0.087801,2.914242,[ 5 39] ; [ 5 12],[ 7.21311475 36.78688525] ; [ 2.78688525 14.21311475],0
v3,1,0.09739,2.747765,[ 7 37] ; [ 6 11],[ 9.37704918 34.62295082] ; [ 3.62295082 13.37704918],0
r2,1,0.099298,2.716783,[25 18] ; [13  3],[27.69491525 15.30508475] ; [10.30508475  5.69491525],0
b1,1,0.126957,2.32933,[30 14] ; [8 9],[27.40983607 16.59016393] ; [10.59016393  6.40983607],0
p2,1,0.143381,2.141297,[14 29] ; [9 8],[16.48333333 26.51666667] ; [ 6.51666667 10.48333333],0
a1,1,0.168099,1.899814,[ 9 35] ; [ 1 16],[ 7.21311475 36.78688525] ; [ 2.78688525 14.21311475],0
u3,1,0.168598,1.895363,[ 4 15] ; [3 3],[ 5.32 13.68] ; [1.68 4.32],0
s3,1,0.184544,1.760643,[10 33] ; [ 1 13],[ 8.29824561 34.70175439] ; [ 2.70175439 11.29824561],0
s1,1,0.2029,1.621378,[ 3 41] ; [ 3 14],[ 4.32786885 39.67213115] ; [ 1.67213115 15.32786885],0
