Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.098648,2.727273,[ 9 13] ; [6 2],[11. 11.] ; [4. 4.],0
p11,1,0.129279,2.301136,[ 7 15] ; [5 3],[ 8.8 13.2] ; [3.2 4.8],0
p8,1,0.237552,1.395061,[ 8 13] ; [5 3],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
p3,1,0.697418,0.151172,[10 12] ; [3 5],[ 9.53333333 12.46666667] ; [3.46666667 4.53333333],0
b1,1,0.718567,0.12987,[15  7] ; [6 2],[15.4  6.6] ; [5.6 2.4],0
