Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-05,17.40544,[235  11] ; [8 4],[231.69767442  14.30232558] ; [11.30232558  0.69767442],1
r2,1,0.000112,14.92395,[237   7] ; [9 3],[234.46875   9.53125] ; [11.53125  0.46875],1
r1,1,0.000782,11.284517,[210  34] ; [6 6],[205.875  38.125] ; [10.125  1.875],1
p7,1,0.001917,9.627408,[177  61] ; [4 8],[172.312  65.688] ; [8.688 3.312],0
p1,1,0.025405,4.996097,[ 28 216] ; [4 8],[ 30.5 213.5] ; [ 1.5 10.5],0
s1,1,0.031489,4.626087,[  9 233] ; [ 2 10],[ 10.48031496 231.51968504] ; [ 0.51968504 11.48031496],0
d3,1,0.063814,3.435384,[182  63] ; [6 6],[179.22178988  65.77821012] ; [8.77821012 3.22178988],0
v2,1,0.07688,3.129646,[142  98] ; [4 8],[139.04761905 100.95238095] ; [6.95238095 5.04761905],0
d5,1,0.093843,2.807177,[207  37] ; [8 4],[204.921875  39.078125] ; [10.078125  1.921875],0
s7,1,0.103229,2.654937,[169  66] ; [6 6],[166.49797571  68.50202429] ; [8.50202429 3.49797571],0
s3,1,0.115828,2.472842,[183  59] ; [6 5],[180.7826087  61.2173913] ; [8.2173913 2.7826087],0
a2,1,0.115917,2.471643,[ 72 174] ; [ 1 11],[ 69.60465116 176.39534884] ; [3.39534884 8.60465116],0
a7,1,0.126778,2.33152,[174  72] ; [6 6],[171.62790698  74.37209302] ; [8.37209302 3.62790698],0
b1,1,0.128824,2.306619,[ 90 156] ; [7 5],[ 92.48837209 153.51162791] ; [4.51162791 7.48837209],0
s8,1,0.161064,1.964209,[151  93] ; [5 7],[148.6875  95.3125] ; [7.3125 4.6875],0
b3,1,0.167295,1.907017,[62 85] ; [2 8],[59.92356688 87.07643312] ; [4.07643312 5.92356688],0
b2,1,0.167295,1.907017,[62 85] ; [2 8],[59.92356688 87.07643312] ; [4.07643312 5.92356688],0
d4,1,0.179882,1.798595,[215  29] ; [9 3],[213.5  30.5] ; [10.5  1.5],0
n4,1,0.215089,1.536836,[186  58] ; [11  1],[187.765625  56.234375] ; [9.234375 2.765625],0
u1,1,0.219539,1.507382,[ 58 188] ; [ 1 11],[ 56.25581395 189.74418605] ; [2.74418605 9.25581395],0
p3,1,0.241058,1.374396,[144 101] ; [5 7],[142.04280156 102.95719844] ; [6.95719844 5.04280156],0
n5,1,0.258298,1.277856,[191  54] ; [11  1],[192.56809339  52.43190661] ; [9.43190661 2.56809339],0
v4,1,0.286183,1.137492,[238   7] ; [11  1],[237.37354086   7.62645914] ; [11.62645914  0.37354086],0
d1,1,0.288167,1.128167,[160  86] ; [6 6],[158.27906977  87.72093023] ; [7.72093023 4.27906977],0
s2,1,0.340806,0.907398,[192  53] ; [8 4],[190.6614786  54.3385214] ; [9.3385214 2.6614786],0
b4,1,0.342578,0.900761,[151  95] ; [9 3],[152.55813953  93.44186047] ; [7.44186047 4.55813953],0
p9,1,0.346542,0.886081,[221  21] ; [10  2],[220.08661417  21.91338583] ; [10.91338583  1.08661417],0
p11,1,0.356383,0.850597,[192  54] ; [8 4],[190.69767442  55.30232558] ; [9.30232558 2.69767442],0
p4,1,0.431125,0.619792,[168  75] ; [7 5],[166.76470588  76.23529412] ; [8.23529412 3.76470588],0
v1,1,0.443861,0.586281,[149  95] ; [6 6],[147.734375  96.265625] ; [7.265625 4.734375],0
v3,1,0.45822,0.55024,[107 135] ; [4 8],[105.75590551 136.24409449] ; [5.24409449 6.75590551],0
n6,1,0.483281,0.491451,[218  25] ; [10  2],[217.27058824  25.72941176] ; [10.72941176  1.27058824],0
p8,1,0.532486,0.389645,[143  99] ; [6 6],[141.96062992 100.03937008] ; [7.03937008 4.96062992],0
a4,1,0.536059,0.382893,[125 121] ; [5 7],[123.95348837 122.04651163] ; [6.04651163 5.95348837],0
a5,1,0.586877,0.295248,[200  46] ; [9 3],[199.27906977  46.72093023] ; [9.72093023 2.27906977],0
p12,1,0.587749,0.293874,[ 34 212] ; [ 1 11],[ 33.37209302 212.62790698] ; [ 1.62790698 10.37209302],0
p10,1,0.654847,0.199844,[214  30] ; [10  2],[213.5  30.5] ; [10.5  1.5],0
p6,1,0.671348,0.180029,[116 126] ; [5 7],[115.28346457 126.71653543] ; [5.71653543 6.28346457],0
s4,1,0.677184,0.173314,[ 67 174] ; [4 8],[ 67.63241107 173.36758893] ; [3.36758893 8.63241107],0
n1,1,0.696932,0.151684,[27 28] ; [2 3],[26.58333333 28.41666667] ; [2.41666667 2.58333333],0
d2,1,0.711133,0.137148,[129 115] ; [7 5],[129.625 114.375] ; [6.375 5.625],0
p5,1,0.722662,0.125956,[ 51 195] ; [3 9],[ 51.48837209 194.51162791] ; [2.51162791 9.48837209],0
a6,1,0.737833,0.112041,[154  90] ; [7 5],[153.453125  90.546875] ; [7.546875 4.453125],0
n3,1,0.741182,0.109091,[37 18] ; [3 2],[36.66666667 18.33333333] ; [3.33333333 1.66666667],0
a3,1,0.782633,0.076115,[192  53] ; [9 3],[191.61478599  53.38521401] ; [9.38521401 2.61478599],0
a1,1,0.895291,0.017322,[ 18 228] ; [ 1 11],[ 18.11627907 227.88372093] ; [ 0.88372093 11.11627907],0
b5,1,0.900649,0.015585,[139 107] ; [7 5],[139.20930233 106.79069767] ; [6.79069767 5.20930233],0
n2,1,0.904947,0.01426,[46 10] ; [4 1],[45.90163934 10.09836066] ; [4.09836066 0.90163934],0
p2,1,0.940039,0.005658,[207  39] ; [10  2],[206.90697674  39.09302326] ; [10.09302326  1.90697674],0
u3,1,1.0,0.0,[36 18] ; [2 1],[36. 18.] ; [2. 1.],0
