Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,69.577585,[111  22] ; [ 2 29],[91.6402439 41.3597561] ; [21.3597561  9.6402439],1
v4,1,0.0,25.702671,[119  11] ; [17 14],[109.8136646  20.1863354] ; [26.1863354  4.8136646],1
p11,1,2e-06,22.9224,[102  31] ; [10 21],[90.82926829 42.17073171] ; [21.17073171  9.82926829],1
p9,1,1.1e-05,19.340659,[99 33] ; [ 9 19],[89.1 42.9] ; [18.9  9.1],1
r2,1,2.4e-05,17.820206,[118  13] ; [17 12],[110.53125  20.46875] ; [24.46875  4.53125],1
r1,1,5.2e-05,16.391647,[91 42] ; [ 9 22],[81.09756098 51.90243902] ; [18.90243902 12.09756098],1
p10,1,0.000442,12.344806,[89 42] ; [10 20],[80.55279503 50.44720497] ; [18.44720497 11.55279503],1
s6,1,0.000627,11.693747,[69 60] ; [ 6 25],[60.46875 68.53125] ; [14.53125 16.46875],1
s3,1,0.001212,10.471374,[69 62] ; [ 6 24],[61.02484472 69.97515528] ; [13.97515528 16.02484472],0
d4,1,0.001235,10.437708,[92 40] ; [12 19],[84.2208589 47.7791411] ; [19.7791411 11.2208589],0
n6,1,0.001301,10.34054,[102  30] ; [15 16],[94.74846626 37.25153374] ; [22.25153374  8.74846626],0
v1,1,0.002259,9.325799,[65 66] ; [ 6 25],[57.41358025 73.58641975] ; [13.58641975 17.41358025],0
n3,1,0.004013,8.277716,[35 12] ; [ 7 12],[29.90909091 17.09090909] ; [12.09090909  6.90909091],0
p2,1,0.006397,7.434848,[90 42] ; [13 18],[83.41104294 48.58895706] ; [19.58895706 11.41104294],0
d1,1,0.007044,7.261768,[56 77] ; [ 5 26],[49.4695122 83.5304878] ; [11.5304878 19.4695122],0
s8,1,0.007283,7.201847,[45 87] ; [ 3 28],[38.87116564 93.12883436] ; [ 9.12883436 21.87116564],0
s2,1,0.007346,7.186364,[55 76] ; [ 5 26],[48.51851852 82.48148148] ; [11.48148148 19.51851852],0
d3,1,0.010368,6.570513,[59 74] ; [ 6 25],[52.71341463 80.28658537] ; [12.28658537 18.71341463],0
d5,1,0.012498,6.238778,[88 45] ; [13 18],[81.90853659 51.09146341] ; [19.09146341 11.90853659],0
p7,1,0.013866,6.055063,[67 63] ; [ 8 22],[60.9375 69.0625] ; [14.0625 15.9375],0
v2,1,0.013939,6.045848,[56 70] ; [ 6 24],[50.07692308 75.92307692] ; [11.92307692 18.07692308],0
s7,1,0.031272,4.637993,[50 77] ; [ 5 23],[45.06451613 81.93548387] ; [ 9.93548387 18.06451613],0
a4,1,0.03766,4.320311,[58 74] ; [ 7 23],[52.96296296 79.03703704] ; [12.03703704 17.96296296],0
n2,1,0.038009,4.304607,[39 10] ; [11  9],[35.50724638 13.49275362] ; [14.49275362  5.50724638],0
a5,1,0.043122,4.090596,[74 59] ; [11 20],[68.93292683 64.06707317] ; [16.06707317 14.93292683],0
p4,1,0.050092,3.838367,[46 85] ; [ 5 25],[41.49689441 89.50310559] ; [ 9.50310559 20.49689441],0
p8,1,0.092128,2.836793,[41 90] ; [ 5 26],[37.19753086 93.80246914] ; [ 8.80246914 22.19753086],0
b5,1,0.100039,2.704921,[69 64] ; [11 20],[64.87804878 68.12195122] ; [15.12195122 15.87804878],0
u3,1,0.104402,2.63697,[22 29] ; [ 3 12],[19.31818182 31.68181818] ; [5.68181818 9.31818182],0
s5,1,0.10528,2.623688,[34 93] ; [ 4 27],[30.5443038 96.4556962] ; [ 7.4556962 23.5443038],0
b1,1,0.107821,2.585878,[56 77] ; [18 13],[60.01219512 72.98780488] ; [13.98780488 17.01219512],0
v3,1,0.141704,2.159356,[37 90] ; [ 5 26],[33.75949367 93.24050633] ; [ 8.24050633 22.75949367],0
p6,1,0.152713,2.044943,[33 96] ; [ 4 26],[30.01886792 98.98113208] ; [ 6.98113208 23.01886792],0
a6,1,0.233018,1.422346,[54 79] ; [ 9 22],[51.09146341 81.90853659] ; [11.90853659 19.09146341],0
d2,1,0.239046,1.386211,[60 73] ; [10 20],[57.11656442 75.88343558] ; [12.88343558 17.11656442],0
n5,1,0.253401,1.304456,[93 39] ; [25  6],[95.55828221 36.44171779] ; [22.44171779  8.55828221],0
a1,1,0.255377,1.293646,[  6 127] ; [ 3 28],[  7.29878049 125.70121951] ; [ 1.70121951 29.29878049],0
a3,1,0.282246,1.156244,[82 50] ; [16 15],[79.36196319 52.63803681] ; [18.63803681 12.36196319],0
u2,1,0.316231,1.00447,[24 26] ; [ 5 10],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
n4,1,0.446778,0.578814,[91 42] ; [19 12],[89.20731707 43.79268293] ; [20.79268293 10.20731707],0
p1,1,0.504268,0.445942,[  5 128] ; [ 2 29],[  5.67682927 127.32317073] ; [ 1.32317073 29.67682927],0
s1,1,0.522689,0.408583,[  5 125] ; [ 2 29],[  5.65217391 124.34782609] ; [ 1.34782609 29.65217391],0
p5,1,0.624582,0.239479,[  7 124] ; [ 1 30],[  6.4691358 124.5308642] ; [ 1.5308642 29.4691358],0
b4,1,0.629765,0.23238,[75 58] ; [16 15],[73.79878049 59.20121951] ; [17.20121951 13.79878049],0
p12,1,0.629974,0.232096,[  7 125] ; [ 1 30],[  6.47852761 125.52147239] ; [ 1.52147239 29.47852761],0
b2,1,0.696172,0.152485,[29 47] ; [ 9 12],[29.77319588 46.22680412] ; [ 8.22680412 12.77319588],0
b3,1,0.696172,0.152485,[29 47] ; [ 9 12],[29.77319588 46.22680412] ; [ 8.22680412 12.77319588],0
s4,1,0.719778,0.128705,[ 18 114] ; [ 5 26],[ 18.62576687 113.37423313] ; [ 4.37423313 26.62576687],0
n1,1,0.72306,0.12558,[19 29] ; [ 7 13],[18.35294118 29.64705882] ; [ 7.64705882 12.35294118],0
