Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,39.876258,[23 43] ; [123  33],[43.40540541 22.59459459] ; [102.59459459  53.40540541],1
d3,1,0.0,25.948511,[28 38] ; [121  35],[44.2972973 21.7027027] ; [104.7027027  51.2972973],1
u1,1,0.000231,13.5639,[ 5 61] ; [ 48 109],[15.68609865 50.31390135] ; [ 37.31390135 119.68609865],1
a2,1,0.000286,13.159911,[ 8 58] ; [ 57 100],[19.23766816 46.76233184] ; [ 45.76233184 111.23766816],1
r4,1,0.000316,12.971923,[50 16] ; [146  11],[58.00896861  7.99103139] ; [137.99103139  19.00896861],1
r3,1,0.001284,10.365847,[59  7] ; [154   2],[63.32432432  2.67567568] ; [149.67567568   6.32432432],0
r2,1,0.00151,10.066074,[58  8] ; [151   3],[62.7  3.3] ; [146.3   7.7],0
b5,1,0.003343,8.610185,[36 30] ; [117  40],[45.28251121 20.71748879] ; [107.71748879  49.28251121],0
a1,1,0.003827,8.364133,[ 8 58] ; [  4 153],[ 3.55156951 62.44843049] ; [  8.44843049 148.55156951],0
p9,1,0.004776,7.962276,[48 17] ; [137  17],[54.9086758 10.0913242] ; [130.0913242  23.9086758],0
r1,1,0.017509,5.644621,[45 21] ; [128  27],[51.66515837 14.33484163] ; [121.33484163  33.66515837],0
p4,1,0.025044,5.020861,[27 39] ; [90 67],[34.62780269 31.37219731] ; [82.37219731 74.62780269],0
v1,1,0.025563,4.985352,[42 22] ; [73 76],[34.55399061 29.44600939] ; [80.44600939 68.55399061],0
v4,1,0.025818,4.96814,[59  7] ; [151   5],[62.43243243  3.56756757] ; [147.56756757   8.43243243],0
d1,1,0.0292,4.755795,[33 33] ; [103  54],[40.25112108 25.74887892] ; [95.74887892 61.25112108],0
p2,1,0.029675,4.728033,[42 24] ; [122  35],[48.53811659 17.46188341] ; [115.46188341  41.53811659],0
u2,1,0.055835,3.656983,[4 8] ; [27 15],[6.88888889 5.11111111] ; [24.11111111 17.88888889],0
p10,1,0.064727,3.411911,[47 18] ; [129  26],[52. 13.] ; [124.  31.],0
a3,1,0.101457,2.682489,[54 12] ; [112  45],[49.13004484 16.86995516] ; [116.86995516  40.13004484],0
s3,1,0.104004,2.643048,[54 12] ; [140  16],[57.67567568  8.32432432] ; [136.32432432  19.67567568],0
n3,1,0.121948,2.39212,[18  9] ; [34  7],[20.64705882  6.35294118] ; [31.35294118  9.64705882],0
d4,1,0.148883,2.083659,[51 15] ; [133  23],[54.7027027 11.2972973] ; [129.2972973  26.7027027],0
a5,1,0.160526,1.969267,[44 22] ; [119  38],[48.24215247 17.75784753] ; [114.75784753  42.24215247],0
b4,1,0.183018,1.772948,[34 32] ; [96 61],[38.47533632 27.52466368] ; [91.52466368 65.47533632],0
d5,1,0.188999,1.725405,[52 14] ; [134  22],[55.2972973 10.7027027] ; [130.7027027  25.2972973],0
n6,1,0.191291,1.70765,[48 16] ; [129  27],[51.49090909 12.50909091] ; [125.50909091  30.49090909],0
s8,1,0.251331,1.31589,[40 26] ; [82 75],[36.10762332 29.89237668] ; [85.89237668 71.10762332],0
p11,1,0.259681,1.270455,[48 18] ; [102  55],[44.39461883 21.60538117] ; [105.60538117  51.39461883],0
p6,1,0.28772,1.130258,[15 50] ; [ 47 109],[18.23529412 46.76470588] ; [ 43.76470588 112.23529412],0
b1,1,0.301138,1.069149,[31 35] ; [62 95],[27.52466368 38.47533632] ; [65.47533632 91.52466368],0
v3,1,0.302114,1.064837,[26 37] ; [49 96],[22.71634615 40.28365385] ; [52.28365385 92.71634615],0
u3,1,0.336429,0.923991,[7 5] ; [32 12],[8.35714286 3.64285714] ; [30.64285714 13.35714286],0
n1,1,0.360235,0.837073,[12 13] ; [15 26],[10.22727273 14.77272727] ; [16.77272727 24.22727273],0
