Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.703719,[187  85] ; [ 3 50],[159.01538462 112.98461538] ; [30.98461538 22.01538462],1
d3,1,0.0,66.33783,[231  41] ; [17 35],[208.19753086  63.80246914] ; [39.80246914 12.19753086],1
u1,1,6.3e-05,16.018544,[ 74 198] ; [ 1 52],[ 62.76923077 209.23076923] ; [12.23076923 40.76923077],1
d5,1,0.000299,13.077609,[235  37] ; [35 18],[225.96923077  46.03076923] ; [44.03076923  8.96923077],1
d2,1,0.000447,12.325811,[143 128] ; [14 39],[131.31790123 139.68209877] ; [25.68209877 27.31790123],1
a4,1,0.000662,11.591643,[136 136] ; [13 40],[124.70153846 147.29846154] ; [24.29846154 28.70153846],1
a6,1,0.001067,10.708387,[220  52] ; [32 21],[210.90461538  61.09538462] ; [41.09538462 11.90461538],0
a2,1,0.001274,10.379719,[ 91 181] ; [ 6 47],[ 81.18153846 190.81846154] ; [15.81846154 37.18153846],0
a5,1,0.003865,8.345964,[198  74] ; [28 25],[189.14461538  82.85538462] ; [36.85538462 16.14461538],0
r1,1,0.010126,6.612509,[215  56] ; [32 19],[207.87888199  63.12111801] ; [39.12111801 11.87888199],0
u2,1,0.014506,5.975494,[50 24] ; [ 8 13],[45.17894737 28.82105263] ; [12.82105263  8.17894737],0
v4,1,0.019972,5.414372,[254  16] ; [45  8],[249.9380805  20.0619195] ; [49.0619195  3.9380805],0
p1,1,0.045124,4.01399,[ 12 259] ; [ 6 47],[ 15.05555556 255.94444444] ; [ 2.94444444 50.05555556],0
s5,1,0.04794,3.912083,[ 75 187] ; [ 8 44],[ 69.25477707 192.74522293] ; [13.74522293 38.25477707],0
n5,1,0.059015,3.56484,[171  99] ; [40 12],[176.92546584  93.07453416] ; [34.07453416 17.92546584],0
b3,1,0.059843,3.541723,[60 96] ; [ 7 26],[ 55.3015873 100.6984127] ; [11.6984127 21.3015873],0
b2,1,0.059843,3.541723,[60 96] ; [ 7 26],[ 55.3015873 100.6984127] ; [11.6984127 21.3015873],0
s7,1,0.088649,2.898743,[114 147] ; [15 34],[108.60967742 152.39032258] ; [20.39032258 28.60967742],0
b4,1,0.092911,2.823205,[172 100] ; [27 26],[166.54769231 105.45230769] ; [32.45230769 20.54769231],0
a3,1,0.159273,1.981118,[194  78] ; [32 20],[189.72839506  82.27160494] ; [36.27160494 15.72839506],0
n2,1,0.174101,1.84727,[50 31] ; [12  3],[52.3125 28.6875] ; [9.6875 5.3125],0
v1,1,0.189637,1.720437,[113 150] ; [27 24],[117.2611465 145.7388535] ; [22.7388535 28.2611465],0
n3,1,0.192029,1.701978,[57 24] ; [13  2],[59.0625 21.9375] ; [10.9375  4.0625],0
v2,1,0.211258,1.562788,[146 112] ; [24 27],[141.94174757 116.05825243] ; [28.05825243 22.94174757],0
p11,1,0.217084,1.523544,[183  89] ; [31 22],[179.10153846  92.89846154] ; [34.89846154 18.10153846],0
n6,1,0.227863,1.454152,[210  61] ; [45  8],[213.28703704  57.71296296] ; [41.71296296 11.28703704],0
u3,1,0.243115,1.362442,[51 26] ; [11 10],[48.71428571 28.28571429] ; [13.28571429  7.71428571],0
s6,1,0.28541,1.141146,[173  99] ; [29 23],[169.58024691 102.41975309] ; [32.41975309 19.58024691],0
b5,1,0.301298,1.068439,[189  83] ; [33 20],[185.79692308  86.20307692] ; [36.20307692 16.79692308],0
s1,1,0.31323,1.017007,[  8 260] ; [ 3 49],[  9.2125 258.7875] ; [ 1.7875 50.2125],0
p3,1,0.316945,1.001512,[ 93 178] ; [22 31],[ 96.1882716 174.8117284] ; [18.8117284 34.1882716],0
v3,1,0.365461,0.819041,[ 90 169] ; [15 38],[ 87.16346154 171.83653846] ; [17.83653846 35.16346154],0
s3,1,0.379942,0.77089,[142 126] ; [31 21],[144.8875 123.1125] ; [28.1125 23.8875],0
b1,1,0.396081,0.720193,[104 168] ; [17 36],[101.26769231 170.73230769] ; [19.73230769 33.26769231],0
r3,1,0.466975,0.529124,[257  14] ; [48  4],[255.89783282  15.10216718] ; [49.10216718  2.89783282],0
n1,1,0.474395,0.51172,[29 51] ; [ 4 11],[27.78947368 52.21052632] ; [5.21052632 9.78947368],0
s4,1,0.479696,0.499553,[ 45 224] ; [11 42],[ 46.7826087 222.2173913] ; [ 9.2173913 43.7826087],0
r2,1,0.493041,0.469883,[248  18] ; [48  5],[246.82131661  19.17868339] ; [49.17868339  3.82131661],0
s2,1,0.506431,0.441434,[133 137] ; [23 29],[130.80745342 139.19254658] ; [25.19254658 26.80745342],0
r4,1,0.518631,0.416615,[235  37] ; [44  9],[233.50153846  38.49846154] ; [45.49846154  7.50153846],0
a1,1,0.595981,0.281101,[ 11 261] ; [ 3 50],[ 11.71692308 260.28307692] ; [ 2.28307692 50.71692308],0
p2,1,0.610246,0.259817,[196  76] ; [40 13],[197.51384615  74.48615385] ; [38.48615385 14.51384615],0
p6,1,0.632576,0.228584,[ 64 205] ; [11 42],[ 62.6552795 206.3447205] ; [12.3447205 40.6552795],0
n4,1,0.638488,0.220725,[197  75] ; [36 16],[195.60493827  76.39506173] ; [37.39506173 14.60493827],0
p9,1,0.681242,0.168731,[208  60] ; [39 13],[206.8625  61.1375] ; [40.1375 11.8625],0
a8,1,0.795077,0.067456,[ 33 214] ; [ 6 44],[ 32.43434343 214.56565657] ; [ 6.56565657 43.43434343],0
p10,1,0.863907,0.029379,[199  71] ; [37 14],[198.5046729  71.4953271] ; [37.4953271 13.5046729],0
u4,1,0.883613,0.02143,[  6 266] ; [ 1 52],[  5.85846154 266.14153846] ; [ 1.14153846 51.85846154],0
s8,1,0.893384,0.017962,[100 172] ; [20 33],[100.43076923 171.56923077] ; [19.56923077 33.43076923],0
p5,1,0.915025,0.011385,[ 11 258] ; [ 2 51],[ 10.86024845 258.13975155] ; [ 2.13975155 50.86024845],0
p7,1,0.966749,0.001738,[107 160] ; [21 31],[107.13479624 159.86520376] ; [20.86520376 31.13479624],0
p4,1,0.988856,0.000195,[123 148] ; [24 29],[122.9537037 148.0462963] ; [24.0462963 28.9537037],0
