Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8e-06,19.997861,[11 17] ; [69 14],[20.18018018  7.81981982] ; [59.81981982 23.18018018],1
p10,1,1.6e-05,18.608046,[10 18] ; [66 17],[19.17117117  8.82882883] ; [56.82882883 26.17117117],1
r4,1,0.004568,8.04299,[17 11] ; [72 12],[22.25  5.75] ; [66.75 17.25],0
p8,1,0.009454,6.735057,[11 16] ; [57 26],[16.69090909 10.30909091] ; [51.30909091 31.69090909],0
r1,1,0.013449,6.109091,[14 14] ; [63 21],[19.25  8.75] ; [57.75 26.25],0
v4,1,0.014807,5.939313,[21  6] ; [78  5],[24.3  2.7] ; [74.7  8.3],0
b3,1,0.016508,5.747925,[ 1 14] ; [22 34],[ 4.85915493 10.14084507] ; [18.14084507 37.85915493],0
b2,1,0.016508,5.747925,[ 1 14] ; [22 34],[ 4.85915493 10.14084507] ; [18.14084507 37.85915493],0
a3,1,0.023591,5.124487,[10 17] ; [52 32],[15.08108108 11.91891892] ; [46.91891892 37.08108108],0
s8,1,0.029676,4.727963,[ 6 22] ; [37 46],[10.84684685 17.15315315] ; [32.15315315 50.84684685],0
s7,1,0.02989,4.715618,[ 8 19] ; [42 36],[12.85714286 14.14285714] ; [37.14285714 40.85714286],0
r3,1,0.034294,4.48,[22  6] ; [78  6],[25.  3.] ; [75.  9.],0
a5,1,0.049389,3.862069,[ 9 19] ; [45 39],[13.5 14.5] ; [40.5 43.5],0
n5,1,0.051568,3.78972,[14 14] ; [59 25],[18.25  9.75] ; [54.75 29.25],0
p1,1,0.078067,3.104696,[ 1 27] ; [14 70],[ 3.75 24.25] ; [11.25 72.75],0
v2,1,0.095069,2.786378,[ 9 18] ; [42 39],[12.75 14.25] ; [38.25 42.75],0
b5,1,0.097279,2.749591,[20  8] ; [45 39],[16.25 11.75] ; [48.75 35.25],0
n6,1,0.110612,2.545455,[19  9] ; [69 15],[22.  6.] ; [66. 18.],0
b4,1,0.156003,2.012547,[11 17] ; [46 38],[14.25 13.75] ; [42.75 41.25],0
b1,1,0.156003,2.012547,[17 11] ; [38 46],[13.75 14.25] ; [41.25 42.75],0
s4,1,0.171195,1.872446,[ 2 26] ; [15 69],[ 4.25 23.75] ; [12.75 71.25],0
s6,1,0.17911,1.804992,[13 15] ; [50 32],[16.03636364 11.96363636] ; [46.96363636 35.03636364],0
n3,1,0.184317,1.762465,[6 3] ; [15  2],[7.26923077 1.73076923] ; [13.73076923  3.26923077],0
p2,1,0.190807,1.711375,[21  7] ; [72 12],[23.25  4.75] ; [69.75 14.25],0
n4,1,0.220935,1.498286,[14 14] ; [53 31],[16.75 11.25] ; [50.25 33.75],0
a7,1,0.259796,1.269841,[15 13] ; [55 29],[17.5 10.5] ; [52.5 31.5],0
p3,1,0.274927,1.191997,[12 16] ; [46 38],[14.5 13.5] ; [43.5 40.5],0
u3,1,0.315041,1.009424,[10  7] ; [14 18],[8.32653061 8.67346939] ; [15.67346939 16.32653061],0
a4,1,0.331271,0.943922,[ 4 24] ; [19 64],[ 5.8018018 22.1981982] ; [17.1981982 65.8018018],0
p5,1,0.395705,0.721339,[ 3 24] ; [15 68],[ 4.41818182 22.58181818] ; [13.58181818 69.41818182],0
d1,1,0.396818,0.717949,[ 1 27] ; [ 7 77],[ 2. 26.] ; [ 6. 78.],0
s1,1,0.436316,0.605953,[ 2 26] ; [ 3 80],[ 1.26126126 26.73873874] ; [ 3.73873874 79.26126126],0
p6,1,0.447684,0.57651,[11 17] ; [39 43],[12.72727273 15.27272727] ; [37.27272727 44.72727273],0
a8,1,0.478441,0.502415,[ 2 24] ; [10 68],[ 3. 23.] ; [ 9. 69.],0
n2,1,0.49205,0.472041,[7 2] ; [11  6],[6.23076923 2.76923077] ; [11.76923077  5.23076923],0
v1,1,0.499995,0.454948,[11 16] ; [40 43],[12.51818182 14.48181818] ; [38.48181818 44.51818182],0
s5,1,0.503689,0.447154,[ 7 21] ; [26 56],[ 8.4 19.6] ; [24.6 57.4],0
r2,1,0.548641,0.359758,[23  5] ; [72 11],[23.96396396  4.03603604] ; [71.03603604 11.96396396],0
a6,1,0.580449,0.30551,[15 13] ; [50 34],[16.25 11.75] ; [48.75 35.25],0
d3,1,0.580449,0.30551,[13 15] ; [34 50],[11.75 16.25] ; [35.25 48.75],0
s3,1,0.62338,0.241145,[18 10] ; [49 34],[16.9009009 11.0990991] ; [50.0990991 32.9009009],0
s2,1,0.66171,0.191453,[12 16] ; [40 44],[13. 15.] ; [39. 45.],0
u2,1,0.682831,0.166957,[9 7] ; [16 16],[8.33333333 7.66666667] ; [16.66666667 15.33333333],0
p4,1,0.738507,0.111443,[16 12] ; [51 33],[16.75 11.25] ; [50.25 33.75],0
a1,1,0.791655,0.069782,[ 1 27] ; [ 4 80],[ 1.25 26.75] ; [ 3.75 80.25],0
u1,1,0.791655,0.069782,[ 1 27] ; [ 4 80],[ 1.25 26.75] ; [ 3.75 80.25],0
d2,1,0.805386,0.060705,[ 8 20] ; [22 62],[ 7.5 20.5] ; [22.5 61.5],0
n1,1,0.92036,0.009996,[3 6] ; [ 6 11],[3.11538462 5.88461538] ; [ 5.88461538 11.11538462],0
d4,1,0.952304,0.003578,[14 13] ; [43 41],[13.86486486 13.13513514] ; [43.13513514 40.86486486],0
v3,1,0.969805,0.001433,[ 9 19] ; [27 56],[ 9.08108108 18.91891892] ; [26.91891892 56.08108108],0
