Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.926567,[125   6] ; [41 27],[109.27638191  21.72361809] ; [56.72361809 11.27638191],1
r2,1,1e-05,19.493329,[127   4] ; [51 15],[118.36548223  12.63451777] ; [59.63451777  6.36548223],1
r3,1,0.001228,10.447046,[129   1] ; [61  7],[124.74747475   5.25252525] ; [65.25252525  2.74747475],0
v4,1,0.004743,7.975024,[127   4] ; [57  9],[122.35532995   8.64467005] ; [61.64467005  4.35532995],0
a6,1,0.023379,5.140132,[78 53] ; [29 39],[70.43718593 60.56281407] ; [36.56281407 31.43718593],0
s3,1,0.024676,5.046509,[77 51] ; [29 38],[69.57948718 58.42051282] ; [36.42051282 30.57948718],0
u3,1,0.028567,4.793516,[39 24] ; [15 23],[33.68316832 29.31683168] ; [20.31683168 17.68316832],0
d4,1,0.04088,4.180995,[95 35] ; [40 28],[88.63636364 41.36363636] ; [46.36363636 21.63636364],0
s2,1,0.069281,3.299968,[61 68] ; [23 45],[55.00507614 73.99492386] ; [28.99492386 39.00507614],0
v1,1,0.087374,2.922104,[61 66] ; [24 44],[55.35897436 71.64102564] ; [29.64102564 38.35897436],0
d5,1,0.093211,2.818027,[89 42] ; [38 30],[83.60301508 47.39698492] ; [43.39698492 24.60301508],0
p7,1,0.093713,2.80941,[84 40] ; [36 29],[78.73015873 45.26984127] ; [41.26984127 23.73015873],0
n5,1,0.098439,2.73065,[92 36] ; [41 27],[86.85714286 41.14285714] ; [46.14285714 21.85714286],0
v3,1,0.107982,2.583509,[46 79] ; [17 50],[41.015625 83.984375] ; [21.984375 45.015625],0
s6,1,0.113704,2.501964,[80 48] ; [34 33],[74.83076923 53.16923077] ; [39.16923077 27.83076923],0
n4,1,0.114496,2.49104,[91 39] ; [40 28],[86.01010101 43.98989899] ; [44.98989899 23.01010101],0
s5,1,0.119734,2.420802,[36 89] ; [12 53],[31.57894737 93.42105263] ; [16.42105263 48.57894737],0
a7,1,0.123193,2.376249,[90 39] ; [40 28],[85.12690355 43.87309645] ; [44.87309645 23.12690355],0
d3,1,0.134367,2.241315,[80 51] ; [34 34],[75.04522613 55.95477387] ; [38.95477387 29.04522613],0
b4,1,0.154643,2.02584,[73 58] ; [45 23],[77.67839196 53.32160804] ; [40.32160804 27.67839196],0
v2,1,0.171891,1.866377,[65 58] ; [28 38],[60.52380952 62.47619048] ; [32.47619048 33.52380952],0
d1,1,0.176725,1.824949,[45 86] ; [17 51],[40.81407035 90.18592965] ; [21.18592965 46.81407035],0
n2,1,0.194329,1.684492,[20  4] ; [14  7],[18.13333333  5.86666667] ; [15.86666667  5.13333333],0
n1,1,0.203335,1.618256,[13 12] ; [ 7 14],[10.86956522 14.13043478] ; [ 9.13043478 11.86956522],0
a4,1,0.219564,1.507216,[ 31 100] ; [11 57],[ 27.64824121 103.35175879] ; [14.35175879 53.64824121],0
s8,1,0.256991,1.284895,[45 86] ; [18 50],[41.47236181 89.52763819] ; [21.52763819 46.47236181],0
p10,1,0.273877,1.197226,[101  28] ; [47 19],[97.90769231 31.09230769] ; [50.09230769 15.90769231],0
p4,1,0.277913,1.177269,[65 63] ; [29 39],[61.3877551 66.6122449] ; [32.6122449 35.3877551],0
d2,1,0.280952,1.162479,[ 24 106] ; [17 51],[ 26.91919192 103.08080808] ; [14.08080808 53.91919192],0
a3,1,0.297129,1.087037,[68 63] ; [30 38],[64.51256281 66.48743719] ; [33.48743719 34.51256281],0
p3,1,0.340812,0.907376,[51 79] ; [22 46],[47.92929293 82.07070707] ; [25.07070707 42.92929293],0
s7,1,0.354906,0.855837,[48 80] ; [20 45],[45.0984456 82.9015544] ; [22.9015544 42.0984456],0
u1,1,0.358635,0.842669,[  5 126] ; [ 1 67],[  3.94974874 127.05025126] ; [ 2.05025126 65.94974874],0
p1,1,0.390919,0.736082,[  9 121] ; [ 7 60],[ 10.55837563 119.44162437] ; [ 5.44162437 61.55837563],0
s4,1,0.406801,0.688129,[ 22 106] ; [15 53],[ 24.16326531 103.83673469] ; [12.83673469 55.16326531],0
a8,1,0.41961,0.651407,[ 19 104] ; [ 7 56],[ 17.19354839 105.80645161] ; [ 8.80645161 54.19354839],0
p12,1,0.432337,0.616536,[  6 123] ; [ 5 63],[  7.20304569 121.79695431] ; [ 3.79695431 64.20304569],0
u2,1,0.449183,0.572712,[38 25] ; [20 18],[36.17821782 26.82178218] ; [21.82178218 16.17821782],0
b1,1,0.625749,0.23787,[38 93] ; [22 46],[39.49748744 91.50251256] ; [20.50251256 47.49748744],0
n6,1,0.637395,0.222166,[106  23] ; [54 14],[104.7715736  24.2284264] ; [55.2284264 12.7715736],0
p5,1,0.671008,0.180426,[ 11 117] ; [ 7 60],[ 11.81538462 116.18461538] ; [ 6.18461538 60.81538462],0
b5,1,0.679755,0.170402,[75 56] ; [41 27],[76.36180905 54.63819095] ; [39.63819095 28.36180905],0
a1,1,0.69604,0.152624,[  3 128] ; [ 1 67],[  2.63316583 128.36683417] ; [ 1.36683417 66.63316583],0
b2,1,0.720768,0.127758,[16 50] ; [12 32],[16.8 49.2] ; [11.2 32.8],0
b3,1,0.720768,0.127758,[16 50] ; [12 32],[16.8 49.2] ; [11.2 32.8],0
p9,1,0.756666,0.096014,[104  24] ; [54 14],[103.18367347  24.81632653] ; [54.81632653 13.18367347],0
p8,1,0.80575,0.060473,[64 65] ; [32 35],[63.18367347 65.81632653] ; [32.81632653 34.18367347],0
p6,1,0.825916,0.048375,[44 82] ; [22 44],[43.3125 82.6875] ; [22.6875 43.3125],0
s1,1,0.86481,0.028986,[  5 123] ; [ 3 65],[  5.2244898 122.7755102] ; [ 2.7755102 65.2244898],0
p2,1,0.89122,0.018703,[102  28] ; [52 15],[101.62436548  28.37563452] ; [52.37563452 14.62436548],0
n3,1,0.987964,0.000228,[19  6] ; [16  5],[19.02173913  5.97826087] ; [15.97826087  5.02173913],0
