Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,52.284674,[148  77] ; [ 38 103],[114.3442623 110.6557377] ; [71.6557377 69.3442623],1
p6,1,0.0,35.472632,[ 91 134] ; [ 16 125],[ 65.77868852 159.22131148] ; [41.22131148 99.77868852],1
p4,1,2.6e-05,17.66387,[142  85] ; [57 85],[122.4200542 104.5799458] ; [76.5799458 65.4200542],1
p3,1,6.2e-05,16.044293,[114 114] ; [ 41 101],[ 95.51351351 132.48648649] ; [59.48648649 82.51351351],1
a2,1,0.009263,6.771457,[ 52 176] ; [ 17 125],[ 42.51891892 185.48108108] ; [ 26.48108108 115.51891892],0
v4,1,0.02379,5.109893,[218   8] ; [129  13],[213.10326087  12.89673913] ; [133.89673913   8.10326087],0
r4,1,0.027729,4.844861,[207  21] ; [118  24],[200.27027027  27.72972973] ; [124.72972973  17.27027027],0
r1,1,0.032305,4.582255,[180  45] ; [99 42],[171.51639344  53.48360656] ; [107.48360656  33.51639344],0
u1,1,0.040284,4.205897,[ 34 194] ; [ 11 131],[ 27.72972973 200.27027027] ; [ 17.27027027 124.72972973],0
s5,1,0.045459,4.001513,[ 58 165] ; [ 23 113],[ 50.31476323 172.68523677] ; [ 30.68523677 105.31476323],0
d2,1,0.04817,3.904061,[107 121] ; [51 89],[ 97.89130435 130.10869565] ; [60.10869565 79.89130435],0
v1,1,0.05495,3.683615,[121  99] ; [62 77],[112.1448468 107.8551532] ; [70.8551532 68.1448468],0
a1,1,0.061373,3.499892,[  9 219] ; [  1 141],[  6.16216216 221.83783784] ; [  3.83783784 138.16216216],0
a3,1,0.096164,2.768044,[146  81] ; [79 63],[138.41463415  88.58536585] ; [86.58536585 55.41463415],0
n4,1,0.102557,2.665325,[166  62] ; [92 50],[158.98378378  69.01621622] ; [99.01621622 42.98378378],0
s8,1,0.102676,2.663477,[ 53 175] ; [ 23 119],[ 46.83243243 181.16756757] ; [ 29.16756757 112.83243243],0
a5,1,0.1231,2.377426,[159  69] ; [88 54],[152.20540541  75.79459459] ; [94.79459459 47.20540541],0
d1,1,0.125416,2.348342,[131  97] ; [70 72],[123.85945946 104.14054054] ; [77.14054054 64.85945946],0
s6,1,0.140311,2.174543,[121 100] ; [66 75],[114.16298343 106.83701657] ; [72.83701657 68.16298343],0
v2,1,0.159274,1.981102,[118  99] ; [63 72],[111.58238636 105.41761364] ; [69.41761364 65.58238636],0
n5,1,0.159817,1.975959,[160  68] ; [89 52],[153.85365854  74.14634146] ; [95.14634146 45.85365854],0
n3,1,0.167428,1.905823,[38  8] ; [28 12],[35.30232558 10.69767442] ; [30.69767442  9.30232558],0
b1,1,0.169599,1.886483,[ 90 138] ; [46 96],[ 83.80540541 144.19459459] ; [52.19459459 89.80540541],0
p10,1,0.175788,1.832882,[183  44] ; [106  36],[177.78590786  49.21409214] ; [111.21409214  30.78590786],0
b4,1,0.178393,1.810961,[135  93] ; [94 48],[141.11351351  86.88648649] ; [87.88648649 54.11351351],0
v3,1,0.188201,1.731641,[ 74 146] ; [ 37 100],[ 68.40336134 151.59663866] ; [42.59663866 94.40336134],0
d3,1,0.193235,1.692781,[158  68] ; [90 52],[152.30434783  73.69565217] ; [95.69565217 46.30434783],0
d5,1,0.246474,1.343178,[187  40] ; [110  32],[182.70731707  44.29268293] ; [114.29268293  27.70731707],0
n6,1,0.267605,1.228984,[188  39] ; [111  31],[183.93766938  43.06233062] ; [115.06233062  26.93766938],0
p5,1,0.269139,1.22113,[ 18 210] ; [  7 135],[ 15.40540541 212.59459459] ; [  9.59459459 132.40540541],0
p9,1,0.334617,0.930946,[190  36] ; [113  28],[186.58855586  39.41144414] ; [116.41144414  24.58855586],0
d4,1,0.37368,0.791389,[185  43] ; [109  32],[181.65853659  46.34146341] ; [112.34146341  28.65853659],0
n1,1,0.374241,0.789533,[10 35] ; [12 27],[11.78571429 33.21428571] ; [10.21428571 28.78571429],0
r3,1,0.395454,0.722107,[217  10] ; [131   9],[215.2479564  11.7520436] ; [132.7520436   7.2479564],0
a4,1,0.435378,0.608434,[ 94 133] ; [53 89],[ 90.43089431 136.56910569] ; [56.56910569 85.43089431],0
u3,1,0.442473,0.589861,[38 42] ; [34 29],[40.27972028 39.72027972] ; [31.72027972 31.27972028],0
r2,1,0.487403,0.482255,[208  16] ; [129  13],[206.25136612  17.74863388] ; [130.74863388  11.25136612],0
a6,1,0.487502,0.482035,[156  72] ; [102  40],[158.98378378  69.01621622] ; [99.01621622 42.98378378],0
u2,1,0.562217,0.335881,[38 42] ; [33 30],[39.72027972 40.27972028] ; [31.27972028 31.72027972],0
p1,1,0.567873,0.326255,[ 18 209] ; [  9 133],[ 16.6097561 210.3902439] ; [ 10.3902439 131.6097561],0
s1,1,0.577893,0.309653,[  3 221] ; [  1 139],[  2.46153846 221.53846154] ; [  1.53846154 138.46153846],0
n2,1,0.624668,0.23936,[32 14] ; [29 10],[33.01176471 12.98823529] ; [27.98823529 11.01176471],0
s4,1,0.668763,0.183052,[ 30 192] ; [ 17 125],[ 28.66483516 193.33516484] ; [ 18.33516484 123.66483516],0
b2,1,0.687049,0.162299,[40 89] ; [23 45],[41.25380711 87.74619289] ; [21.74619289 46.25380711],0
b3,1,0.687049,0.162299,[40 89] ; [23 45],[41.25380711 87.74619289] ; [21.74619289 46.25380711],0
b5,1,0.715027,0.133308,[144  84] ; [87 55],[142.34594595  85.65405405] ; [88.65405405 53.34594595],0
s3,1,0.734746,0.114798,[ 90 133] ; [54 86],[ 88.46280992 134.53719008] ; [55.53719008 84.46280992],0
u4,1,0.737111,0.112682,[  1 226] ; [  1 141],[  1.2303523 225.7696477] ; [  0.7696477 141.2303523],0
p12,1,0.73894,0.11106,[ 11 216] ; [  8 134],[ 11.68834688 215.31165312] ; [  7.31165312 134.68834688],0
p11,1,0.756687,0.095997,[186  42] ; [114  28],[184.86486486  43.13513514] ; [115.13513514  26.86486486],0
a8,1,0.841947,0.039762,[ 23 182] ; [ 14 119],[ 22.4408284 182.5591716] ; [ 14.5591716 118.4408284],0
s2,1,0.859421,0.031368,[ 67 159] ; [40 99],[ 66.25205479 159.74794521] ; [40.74794521 98.25205479],0
a7,1,0.946935,0.00443,[169  57] ; [105  36],[168.73024523  57.26975477] ; [105.26975477  35.73024523],0
