Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,36.353792,[253  32] ; [20 19],[240.13888889  44.86111111] ; [32.86111111  6.13888889],1
n5,1,0.0,30.558322,[244  41] ; [19 20],[231.34259259  53.65740741] ; [31.65740741  7.34259259],1
s7,1,0.00208,9.4776,[212  59] ; [21 17],[204.34627832  66.65372168] ; [28.65372168  9.34627832],0
p6,1,0.004531,8.057751,[133 149] ; [ 9 30],[124.74766355 157.25233645] ; [17.25233645 21.74766355],0
b1,1,0.005251,7.790739,[109 177] ; [24 15],[117.04 168.96] ; [15.96 23.04],0
a4,1,0.014816,5.938178,[140 146] ; [11 28],[132.88 153.12] ; [18.12 20.88],0
r4,1,0.03103,4.651304,[269  17] ; [33  6],[265.76  20.24] ; [36.24  2.76],0
s2,1,0.034396,4.474927,[198  86] ; [20 18],[192.27329193  91.72670807] ; [25.72670807 12.27329193],0
u1,1,0.040524,4.195804,[ 62 224] ; [ 3 36],[ 57.2 228.8] ; [ 7.8 31.2],0
a3,1,0.04352,4.075077,[230  55] ; [26 13],[225.18518519  59.81481481] ; [30.81481481  8.18518519],0
v3,1,0.054907,3.684897,[144 129] ; [12 22],[138.72312704 134.27687296] ; [17.27687296 16.72312704],0
r2,1,0.084611,2.974029,[271  12] ; [33  4],[268.85  14.15] ; [35.15  1.85],0
p3,1,0.10536,2.622469,[171 115] ; [18 21],[166.32 119.68] ; [22.68 16.32],0
a2,1,0.11165,2.530716,[ 78 208] ; [ 6 33],[ 73.92 212.08] ; [10.08 28.92],0
r1,1,0.123956,2.366608,[245  39] ; [30  9],[241.79566563  42.20433437] ; [33.20433437  5.79566563],0
u3,1,0.156492,2.007801,[36 20] ; [11  2],[38.14492754 17.85507246] ; [8.85507246 4.14492754],0
d4,1,0.158813,1.985497,[244  41] ; [30  9],[241.01851852  43.98148148] ; [32.98148148  6.01851852],0
v2,1,0.16177,1.957598,[178  97] ; [19 17],[174.19614148 100.80385852] ; [22.80385852 13.19614148],0
p12,1,0.183847,1.766248,[ 35 248] ; [ 2 37],[ 32.51863354 250.48136646] ; [ 4.48136646 34.51863354],0
s3,1,0.189343,1.72272,[206  78] ; [23 14],[202.60436137  81.39563863] ; [26.39563863 10.60436137],0
p9,1,0.193529,1.690545,[258  25] ; [33  6],[255.75465839  27.24534161] ; [35.24534161  3.75465839],0
d2,1,0.23239,1.426172,[161 125] ; [18 21],[157.52 128.48] ; [21.48 17.52],0
p8,1,0.236445,1.401662,[165 116] ; [19 20],[161.575 119.425] ; [22.425 16.575],0
p4,1,0.277241,1.180567,[193  92] ; [23 16],[190.  95.] ; [26. 13.],0
