Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.002437,9.187652,[32  7] ; [6 9],[27.44444444 11.55555556] ; [10.55555556  4.44444444],0
p7,1,0.00538,7.747195,[20 18] ; [14  1],[24.37735849 13.62264151] ; [9.62264151 5.37735849],0
d3,1,0.00941,6.743257,[28 11] ; [ 5 10],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
a5,1,0.009937,6.646154,[30  9] ; [6 9],[26. 13.] ; [10.  5.],0
d2,1,0.025286,5.004163,[18 21] ; [ 2 13],[14.44444444 24.55555556] ; [5.55555556 9.44444444],0
a7,1,0.050077,3.838884,[22 17] ; [ 4 11],[18.77777778 20.22222222] ; [7.22222222 7.77777778],0
a6,1,0.062631,3.466313,[24 15] ; [ 5 10],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
u3,1,0.096791,2.757639,[9 7] ; [1 5],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
n4,1,0.108642,2.57387,[25 14] ; [6 9],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
s1,1,0.121757,2.39457,[ 1 38] ; [ 2 13],[ 2.16666667 36.83333333] ; [ 0.83333333 14.16666667],0
s3,1,0.141391,2.162759,[12 23] ; [8 6],[14.28571429 20.71428571] ; [5.71428571 8.28571429],0
a4,1,0.142161,2.154407,[19 20] ; [ 4 11],[16.61111111 22.38888889] ; [6.38888889 8.61111111],0
p8,1,0.143086,2.144457,[19 20] ; [10  4],[21.33962264 17.66037736] ; [7.66037736 6.33962264],0
v2,1,0.146059,2.112935,[18 19] ; [ 4 11],[15.65384615 21.34615385] ; [6.34615385 8.65384615],0
s6,1,0.148042,2.092308,[20 16] ; [ 5 10],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
r2,1,0.1506,2.066163,[21 15] ; [5 9],[18.72 17.28] ; [7.28 6.72],0
v3,1,0.153756,2.034586,[ 9 29] ; [ 1 14],[ 7.16981132 30.83018868] ; [ 2.83018868 12.16981132],0
n3,1,0.156582,2.006932,[7 9] ; [4 1],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
p11,1,0.213652,1.546509,[30  9] ; [9 6],[28.16666667 10.83333333] ; [10.83333333  4.16666667],0
p6,1,0.225672,1.467933,[17 21] ; [ 4 11],[15.05660377 22.94339623] ; [5.94339623 9.05660377],0
r3,1,0.2448,1.352741,[26 11] ; [8 7],[24.19230769 12.80769231] ; [9.80769231 5.19230769],0
b1,1,0.253212,1.305495,[22 17] ; [11  4],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
v4,1,0.30474,1.053338,[26 10] ; [8 6],[24.48 11.52] ; [9.52 4.48],0
p2,1,0.36192,0.83122,[32  6] ; [11  4],[30.83018868  7.16981132] ; [12.16981132  2.83018868],0
b5,1,0.393456,0.728234,[21 18] ; [10  5],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
p9,1,0.472918,0.51515,[29  9] ; [10  5],[27.96226415 10.03773585] ; [11.03773585  3.96226415],0
s4,1,0.504918,0.444585,[ 7 31] ; [ 4 11],[ 7.88679245 30.11320755] ; [ 3.11320755 11.88679245],0
n6,1,0.506983,0.44029,[28  9] ; [10  5],[27.03846154  9.96153846] ; [10.96153846  4.03846154],0
n2,1,0.516937,0.42,[12  4] ; [3 2],[11.42857143  4.57142857] ; [3.57142857 1.42857143],0
p3,1,0.520115,0.413666,[22 17] ; [7 8],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
n1,1,0.525392,0.403295,[7 9] ; [3 2],[7.61904762 8.38095238] ; [2.38095238 2.61904762],0
v1,1,0.556434,0.345917,[16 22] ; [ 5 10],[15.05660377 22.94339623] ; [5.94339623 9.05660377],0
u2,1,0.559847,0.33997,[8 9] ; [2 4],[7.39130435 9.60869565] ; [2.60869565 3.39130435],0
s7,1,0.586211,0.2963,[17 19] ; [5 8],[16.16326531 19.83673469] ; [5.83673469 7.16326531],0
r1,1,0.595994,0.281081,[10 27] ; [ 3 12],[ 9.25 27.75] ; [ 3.75 11.25],0
n5,1,0.603293,0.270058,[25 12] ; [9 6],[24.19230769 12.80769231] ; [9.80769231 5.19230769],0
s8,1,0.69217,0.156746,[13 25] ; [6 9],[13.62264151 24.37735849] ; [5.37735849 9.62264151],0
a3,1,0.81115,0.057094,[22 17] ; [9 6],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
a1,1,0.825044,0.048869,[ 2 37] ; [ 1 14],[ 2.16666667 36.83333333] ; [ 0.83333333 14.16666667],0
p1,1,0.897436,0.016615,[ 3 36] ; [ 1 14],[ 2.88888889 36.11111111] ; [ 1.11111111 13.88888889],0
p10,1,0.901528,0.015309,[24 13] ; [10  5],[24.19230769 12.80769231] ; [9.80769231 5.19230769],0
s2,1,0.971109,0.001312,[17 19] ; [7 8],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
b4,1,0.972996,0.001146,[18 21] ; [7 8],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
