Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,38.76926,[104   5] ; [27 22],[90.37341772 18.62658228] ; [40.62658228  8.37341772],1
r2,1,0.0,25.992008,[106   3] ; [34 15],[96.58227848 12.41772152] ; [43.41772152  5.58227848],1
v2,1,8e-05,15.54899,[59 44] ; [11 37],[47.74834437 55.25165563] ; [22.25165563 25.74834437],1
a5,1,0.000594,11.795811,[65 43] ; [15 34],[55.03184713 52.96815287] ; [24.96815287 24.03184713],1
a7,1,0.000652,11.621836,[77 31] ; [21 28],[67.41401274 40.58598726] ; [30.58598726 18.41401274],1
v4,1,0.001929,9.616134,[106   3] ; [41  8],[101.41139241   7.58860759] ; [45.58860759  3.41139241],0
v1,1,0.00629,7.465182,[55 52] ; [13 34],[47.24675325 59.75324675] ; [20.75324675 26.24675325],0
p11,1,0.006895,7.300191,[92 17] ; [32 17],[85.5443038 23.4556962] ; [38.4556962 10.5443038],0
a6,1,0.00703,7.26525,[73 35] ; [22 27],[65.35031847 42.64968153] ; [29.64968153 19.35031847],0
d3,1,0.010831,6.49278,[52 56] ; [13 36],[44.7133758 63.2866242] ; [20.2866242 28.7133758],0
v3,1,0.013896,6.051278,[43 63] ; [10 39],[36.24516129 69.75483871] ; [16.75483871 32.24516129],0
a3,1,0.01739,5.656556,[60 47] ; [17 31],[53.15483871 53.84516129] ; [23.84516129 24.15483871],0
p10,1,0.021665,5.272454,[82 22] ; [30 19],[76.13071895 27.86928105] ; [35.86928105 13.13071895],0
a4,1,0.03885,4.267433,[23 83] ; [ 4 45],[18.46451613 87.53548387] ; [ 8.53548387 40.46451613],0
s7,1,0.040643,4.190855,[49 54] ; [14 33],[43.26 59.74] ; [19.74 27.26],0
u3,1,0.043546,4.074074,[26 22] ; [10 22],[21.6 26.4] ; [14.4 17.6],0
p6,1,0.070311,3.275736,[40 66] ; [11 37],[35.1038961 70.8961039] ; [15.8961039 32.1038961],0
s6,1,0.088893,2.894308,[64 40] ; [23 26],[59.1372549 44.8627451] ; [27.8627451 21.1372549],0
b2,1,0.092611,2.828389,[28 39] ; [ 6 20],[24.49462366 42.50537634] ; [ 9.50537634 16.49462366],0
b3,1,0.092611,2.828389,[28 39] ; [ 6 20],[24.49462366 42.50537634] ; [ 9.50537634 16.49462366],0
b5,1,0.096302,2.765746,[58 51] ; [33 16],[62.77848101 46.22151899] ; [28.22151899 20.77848101],0
n1,1,0.1113,2.535664,[10 12] ; [ 3 12],[ 7.72972973 14.27027027] ; [5.27027027 9.72972973],0
r3,1,0.118204,2.440958,[100   9] ; [40  8],[97.19745223 11.80254777] ; [42.80254777  5.19745223],0
d2,1,0.127727,2.319915,[30 79] ; [ 8 41],[26.21518987 82.78481013] ; [11.78481013 37.21518987],0
p2,1,0.138673,2.192621,[82 25] ; [32 17],[78.19230769 28.80769231] ; [35.80769231 13.19230769],0
s3,1,0.146033,2.113211,[56 47] ; [20 28],[51.8410596 51.1589404] ; [24.1589404 23.8410596],0
u2,1,0.148032,2.092412,[25 23] ; [11 20],[21.87341772 26.12658228] ; [14.12658228 16.87341772],0
s5,1,0.155394,2.018486,[33 70] ; [10 38],[29.33112583 73.66887417] ; [13.66887417 34.33112583],0
n4,1,0.167962,1.901039,[80 28] ; [31 18],[76.3566879 31.6433121] ; [34.6433121 14.3566879],0
d1,1,0.183783,1.766764,[  8 101] ; [ 1 48],[  6.20886076 102.79113924] ; [ 2.79113924 46.20886076],0
n5,1,0.209014,1.578243,[83 25] ; [33 16],[79.79617834 28.20382166] ; [36.20382166 12.79617834],0
p9,1,0.210367,1.568898,[84 21] ; [34 14],[80.98039216 24.01960784] ; [37.01960784 10.98039216],0
n2,1,0.258535,1.276584,[19  4] ; [10  5],[17.55263158  5.44736842] ; [11.44736842  3.55263158],0
p7,1,0.294266,1.1,[63 42] ; [25 24],[60. 45.] ; [28. 21.],0
p3,1,0.312916,1.018329,[44 63] ; [16 33],[41.15384615 65.84615385] ; [18.84615385 30.15384615],0
s8,1,0.334947,0.929676,[39 68] ; [14 35],[36.3525641 70.6474359] ; [16.6474359 32.3525641],0
d4,1,0.34856,0.878693,[55 53] ; [21 28],[52.28025478 55.71974522] ; [23.71974522 25.28025478],0
b1,1,0.450638,0.569045,[47 62] ; [18 31],[44.84177215 64.15822785] ; [20.15822785 28.84177215],0
s2,1,0.55577,0.347082,[46 59] ; [19 30],[44.31818182 60.68181818] ; [20.68181818 28.31818182],0
p12,1,0.573592,0.31671,[12 94] ; [ 4 44],[11.01298701 94.98701299] ; [ 4.98701299 43.01298701],0
a8,1,0.577867,0.309695,[12 90] ; [ 4 42],[11.02702703 90.97297297] ; [ 4.97297297 41.02702703],0
p5,1,0.636463,0.223398,[16 90] ; [ 6 43],[15.04516129 90.95483871] ; [ 6.95483871 42.04516129],0
p1,1,0.651899,0.203514,[16 91] ; [ 6 43],[15.08974359 91.91025641] ; [ 6.91025641 42.08974359],0
