Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.008823,6.858348,[12  4] ; [ 5 12],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
p2,1,0.023833,5.106739,[11  5] ; [ 5 12],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
n2,1,0.03615,4.390023,[6 3] ; [1 6],[3.9375 5.0625] ; [3.0625 3.9375],0
d5,1,0.049437,3.86046,[12  4] ; [ 7 10],[9.21212121 6.78787879] ; [9.78787879 7.21212121],0
n5,1,0.054619,3.693677,[ 5 11] ; [11  6],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
p8,1,0.070041,3.282051,[ 5 11] ; [ 1 15],[ 3. 13.] ; [ 3. 13.],0
p11,1,0.11415,2.495798,[8 8] ; [ 4 13],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
s4,1,0.166485,1.914312,[ 1 15] ; [ 4 13],[ 2.42424242 13.57575758] ; [ 2.57575758 14.42424242],0
v1,1,0.171187,1.872515,[ 5 11] ; [ 2 15],[ 3.39393939 12.60606061] ; [ 3.60606061 13.39393939],0
p9,1,0.199543,1.645714,[ 5 11] ; [ 2 14],[ 3.5 12.5] ; [ 3.5 12.5],0
v2,1,0.200618,1.637868,[ 6 10] ; [ 3 14],[ 4.36363636 11.63636364] ; [ 4.63636364 12.36363636],0
p4,1,0.218143,1.516544,[7 9] ; [ 4 13],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
n6,1,0.220597,1.500487,[10  6] ; [ 7 10],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
b4,1,0.226398,1.463348,[8 8] ; [12  5],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
p6,1,0.25377,1.302431,[ 3 12] ; [ 1 15],[ 1.93548387 13.06451613] ; [ 2.06451613 13.93548387],0
p3,1,0.306488,1.045752,[ 5 10] ; [ 3 14],[ 3.75 11.25] ; [ 4.25 12.75],0
n3,1,0.340904,0.907029,[6 3] ; [3 4],[5.0625 3.9375] ; [3.9375 3.0625],0
d1,1,0.36214,0.83046,[ 5 11] ; [ 3 14],[ 3.87878788 12.12121212] ; [ 4.12121212 12.87878788],0
a7,1,0.392959,0.729766,[8 8] ; [ 6 11],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
d3,1,0.392959,0.729766,[8 8] ; [ 6 11],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
u2,1,0.462527,0.539773,[3 6] ; [5 5],[3.78947368 5.21052632] ; [4.21052632 5.78947368],0
a4,1,0.475067,0.510165,[ 3 13] ; [ 5 12],[ 3.87878788 12.12121212] ; [ 4.12121212 12.87878788],0
p7,1,0.553564,0.350972,[ 5 11] ; [ 7 10],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
a5,1,0.553564,0.350972,[ 5 11] ; [ 7 10],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
a1,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
v3,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
s5,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
a2,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
p1,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
s1,1,0.581815,0.303309,[ 1 15] ; [ 2 15],[ 1.45454545 14.54545455] ; [ 1.54545455 15.45454545],0
a6,1,0.597504,0.278776,[7 9] ; [9 8],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
b5,1,0.619304,0.246847,[9 7] ; [11  6],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
a8,1,0.624206,0.24,[ 3 12] ; [ 2 13],[ 2.5 12.5] ; [ 2.5 12.5],0
s3,1,0.709749,0.138528,[ 6 10] ; [ 5 11],[ 5.5 10.5] ; [ 5.5 10.5],0
r1,1,0.737139,0.112658,[ 3 13] ; [ 4 13],[ 3.39393939 12.60606061] ; [ 3.60606061 13.39393939],0
n1,1,0.771084,0.084656,[2 7] ; [2 5],[2.25 6.75] ; [1.75 5.25],0
d4,1,0.848698,0.036397,[9 7] ; [9 8],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
b3,1,0.851054,0.035259,[3 8] ; [4 9],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
b2,1,0.851054,0.035259,[3 8] ; [4 9],[3.20833333 7.79166667] ; [3.79166667 9.20833333],0
n4,1,0.86583,0.028547,[8 8] ; [9 8],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
b1,1,0.895261,0.017332,[10  6] ; [11  6],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
u3,1,0.905565,0.014074,[2 7] ; [2 8],[1.89473684 7.10526316] ; [2.10526316 7.89473684],0
s6,1,0.908575,0.013187,[ 5 11] ; [ 5 12],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
d2,1,0.908575,0.013187,[ 5 11] ; [ 5 12],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
s2,1,0.934568,0.00674,[ 3 13] ; [ 3 14],[ 2.90909091 13.09090909] ; [ 3.09090909 13.90909091],0
s7,1,0.940754,0.005524,[ 2 13] ; [ 2 12],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
p12,1,0.964716,0.001957,[ 1 15] ; [ 1 16],[ 0.96969697 15.03030303] ; [ 1.03030303 15.96969697],0
a3,1,1.0,0.0,[7 9] ; [7 9],[7. 9.] ; [7. 9.],0
